Net counts

Spectrum                                 Na   Mg    Al      Si    S    Cl      K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr   Zr    Rh    Cd
-------------------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  6933 7784 10631 1125612 6520     0  27707 1258743 4340   259  1849 82179  2066 10058 4125 23842 7000 85997     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  6534 7794 10411 1124774 6507     0  26412 1259401 4503    66  1467 82215   967  9875 4682 23253 7170 86631     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 6895 7750 10634 1118758 6903   238  24896 1255468 4450   342  1464 81603  1388  9989 4455 24098 7181 86522     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 6724 7681 10649 1120767 6782    96  27443 1255309 4419   121  1380 82082  1994 10254 4418 24318 7223 86071     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 6750 7676 10722 1120391 6570    39  26985 1256524 4340   281  1575 82002  1794 10307 4979 24127 8220 86474     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 6690 7798 10340 1117842 6641     0  25091 1254675 4445     0  1536 82409  1753 10009 4620 23157 6806 86191     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 6842 7711 10463 1121333 6622     8  27040 1253148 4585   337  1812 82383  2354 10060 4277 22973 7138 86903     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 6604 7715 10583 1120906 6618     0  30120 1258483 4567   327  1848 81846  1113 10092 4229 23032 7098 86310     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 6545 7520 10470 1121792 6886   155  25142 1256189 4319   180  1735 82611  1578 10240 4511 23362 7164 85705     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 6568 7542 10590 1121272 6775     0  28158 1257369 4264   287  1466 81742  1201 10127 4289 23809 7482 86596     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 6801 7705 10393 1123361 6849     0  25116 1258054 4439   309  1457 82226   992  9593 4170 23830 8278 86388     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 6876 7480 10606 1124009 6825     0  25892 1256629 4502   167  1324 81732  1559 10643 4160 24015 7060 86918     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  6326 7629 10276 1125028 6819     0  22935 1259005 4271   368  1366 81423  1300 10612 4865 23853 6759 87147     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 6760 7833 10760 1122692 6665     0  29538 1257832 4557    20  1375 81149  1529 10561 5011 23416 7696 86772     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 6920 7874 10660 1122759 6577     0  27066 1259437 4393   201  1275 81879   949  9871 4452 23717 7780 86874     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 6505 7513 10534 1123965 6562    42  27941 1259240 4405   208  1193 81979  1570 10184 4304 24334 7177 86826     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 6672 7711 10561 1123166 6579     0  28830 1257979 4409   273  1245 81579  1466 10645 4296 24224 8375 87796     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 6762 7726 10537 1122291 6819     0  19806 1258373 4416   473  1415 81800  2225 10171 4292 23807 7188 86975     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 6723 7560 10551 1122153 6445     0  25558 1260724 4460   272  1630 82019  1311  9824 4978 23732 6921 87282     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 6802 7857 10584 1122747 6681     0  28034 1258031 4476   232  1563 81887   932 10154 4188 23810 6734 87110     0
