ROI net sum

Spectrum                                 Na   Mg    Al      Si    S    Cl     K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr    Zr    Rh    Cd
-------------------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  8559 8895 12005 1028697 8035 19986 27623 1032185 3975  1490  2778 67667  3590 11034 7148 21440  9697 68954  1636
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  8347 8998 11906 1028067 7859 19946 27676 1031949 4373  1602  2159 67679  2808 11307 7674 21246 10029 69391  1348
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 8575 8987 12147 1022349 8390 20430 27561 1028818 3961  1583  2295 67246  2819 10718 7239 21938 10340 69608  1830
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 8478 8842 12120 1024804 8306 20243 27545 1029267 4208  1331  2005 67794  3801 11478 7155 21864  9400 69158  1548
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 8557 8914 12154 1024480 7930 20118 27602 1030094 4061  1629  2804 67976  3794 11383 7537 22362 10289 68957  1600
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 8462 9023 11834 1022183 7981 19974 27459 1029613 4119  1458  2524 67948  3351 11057 7622 21630  9509 69188  1540
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 8577 8862 11878 1024566 8071 20024 27132 1027201 4365  1659  2838 67885  3497 10821 7185 21329 10131 69367  1396
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 8406 8976 12032 1024554 7992 19907 27481 1031284 4299  1496  2387 67154  3359 11379 7088 21356  9577 68944  1316
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 8389 8880 11967 1025744 8285 20155 27270 1030529 3887  1386  2330 67882  3347 11372 7589 21659  9991 68776  1254
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 8360 8775 11909 1024840 8039 20118 27764 1029851 4006  1690  2540 67145  2799 11087 7110 21875  9825 69404  1591
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 8630 8939 11874 1026131 8084 19803 27647 1030840 4074  1543  2255 67702  3005 10607 7333 21920 10938 69173  1405
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 8613 8748 12060 1026868 8208 20039 27490 1030179 4167  1603  2088 67366  3233 11470 7235 22124 10150 69823  1327
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  8218 8910 11820 1028176 8261 19949 27638 1032143 3974  1627  2128 67018  3360 11912 7741 22118  9917 69614  1605
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 8530 9031 12218 1026174 8023 19829 27522 1031025 4049  1274  2089 66662  3291 11472 8006 21543 10140 69891  1477
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 8555 9003 11998 1026111 7837 20118 27391 1032308 3850  1331  2004 67467  2976 11003 7378 21743 10164 69448  1643
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 8239 8733 11969 1026317 8003 20043 27435 1031729 3966  1429  2444 67786  3071 11224 7384 22441  9700 69900  1725
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 8482 8986 12032 1026067 7938 19952 27588 1031081 4063  1464  1798 66657  3057 11515 7244 22208 10392 69974  1552
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 8627 8937 12019 1025346 8049 19893 27744 1031380 4018  1704  2901 67925  3946 11188 7310 21859  9618 69470  1665
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 8479 8812 11989 1025034 8006 20075 27147 1033680 4056  1622  2415 67708  3484 11294 7740 21928  9849 69712  1620
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 8478 8929 11852 1026081 8144 20284 27545 1030899 4021  1482  2274 67332  3206 11321 7203 21480  9564 69642  1383
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 8722 8956 11952 1026378 7975 19761 27802 1031888 3946  1733  2245 67793  3456 11139 7462 21242  9632 69262  1487
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 8129 9099 11861 1027649 8070 19904 27620 1032317 4079  1549  2421 67648  3391 11210 7652 21418  9546 69964  1269
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 8485 8866 11885 1025690 8069 19955 27313 1031212 3981  1581  2842 67332  3614 10835 8080 21838 10653 69693  1489
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  8423 8948 11928 1026997 8024 20132 27279 1032949 4010  1800  2711 68399  3210 11227 7811 22678 10045 69351  1533
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 8610 9193 12056 1023259 7927 19953 27507 1029856 4196  1251  2644 67510  2645 11205 6869 21750  9781 69188  1544
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 8411 8901 11873 1025511 8144 20326 27246 1032524 4312  1767  2380 67048  3212 11528 7781 21858  9526 69530  1404
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 8481 8759 11995 1026451 8123 20213 27528 1029579 4052  1732  2461 67917  3273 11746 7517 21800  9468 69286  1621
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 8411 8872 11992 1026326 7908 19700 27295 1032641 3835  1299  2376 67861  3194 10775 6994 22584 10124 69973  1795
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 8629 9189 11773 1024771 8196 20200 27311 1031919 4008  1417  2259 67768  3964 11737 6972 21522  8990 69791  1820
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 8437 8811 12079 1028023 8085 20179 27489 1031139 4054  1500  2309 67613  3262 11529 7404 21769 10294 69393  1535
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 8494 9013 12159 1022818 8071 20046 27748 1031005 4151  1459  2562 67420  3241 10659 7401 21857 10447 69261  1269
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 8602 8910 11755 1026249 8049 20033 27584 1031963 4061  1462  2221 68418  3317 11366 7596 21763  9998 69354  1612
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 8359 8871 11961 1026265 8125 20081 27224 1033210 4195  1638  2257 67633  3645 11209 7755 22587 10799 69873  1445
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 8388 8911 11740 1024844 8122 19809 27072 1031457 4073  1498  2308 67350  2663 10813 7890 21779 10334 69841  1374
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  8457 8749 11963 1027194 8048 20042 27544 1030907 4401  1628  2553 67180  3153 11271 7136 21696 10430 69300  1461
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 8349 8957 11832 1025020 8124 19548 27412 1028192 3921  1508  2284 67608  2760 10953 7494 22173 10276 69206  1522
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 8587 8886 11783 1026903 8103 20158 27448 1030813 3864  1282  2773 67651  2833 11035 7654 22032 10660 70238  1394
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 8413 8874 12065 1025321 8145 20181 27316 1030919 4310  1490  2699 67039  3128 10972 7420 21912 10213 69231  1313
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 8388 8758 11960 1022920 8002 19997 27764 1030096 4086  1419  2445 67311  3020 10893 7300 20847  9091 69292  1526
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 8457 8790 11953 1025006 8015 20031 27267 1030253 4031  1808  2788 67329  3301 11376 7550 21680  9702 70103  1265
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 8596 8726 11854 1023163 8347 19900 27503 1027877 4070  1328  2353 67593  2913 11177 7546 21675 10914 69554  1665
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 8679 8907 12141 1023816 8307 19878 27633 1031482 4062  1426  2465 68045  3541 11553 7563 21985  9625 69370  1424
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 8483 8774 11913 1029129 7839 20022 27703 1030542 3819  1172  2264 67824  3918 11624 8061 21605  9767 69757  1248
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 8442 8957 11871 1027290 8113 20070 27452 1031410 4301  1911  2782 67715  3219 10888 7758 22563 10029 69872  1637
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 8432 8989 11828 1026415 8016 19774 27408 1031951 4112  1443  2082 67754  3344 11026 7657 22191  9957 69916  1462
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  8266 8722 11889 1027572 8009 19904 27520 1031436 3930  1659  2861 67221  2581 11286 7812 22192  9837 69413  1576
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 8771 9027 11953 1026898 8021 19977 27503 1030469 4111  1297  1912 67304  3167 11289 7606 21922 10100 69200  1137
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 8420 8821 12119 1026989 8045 20058 27796 1031248 4073  1576  2148 66880  2805 11567 7704 20898  9705 69134  1699
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 8451 8904 11947 1028240 7801 19796 27464 1030972 4293  1737  2330 67483  2886 10849 7995 21679  9757 68987  1519
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 8519 8954 12053 1023266 8000 19916 27291 1030104 3991  1482  2583 67658  3005 11023 7484 21871  9697 69656  1545
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 8529 8942 12074 1026474 8064 19942 27525 1031857 3890  1164  2570 68046  3675 10916 7942 22139  9990 69403  1595
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 8383 9069 11926 1025709 7981 19688 27682 1031789 4039  1678  2804 67373  3472 11527 7545 21841  9321 68628  1635
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 8597 8947 11824 1026125 8092 19783 27629 1031357 3950  1426  1918 67349  4104 11404 7205 21740  9661 69194  1380
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 8672 9020 12140 1028955 8131 20011 27420 1030565 3937  1422  2138 66662  3292 10985 7615 21754  9528 69466  1716
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 8532 8915 12112 1024950 7876 19864 27630 1032137 4152  1613  2701 67936  3059 11678 7286 21882  9608 69715  1577
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 8631 8893 11962 1026587 8096 19782 27740 1031881 4049  1498  2611 68077  3397 11528 7362 22083 10418 69271  1567
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  8527 9067 12043 1025834 7855 19841 27569 1030787 4141  1429  2302 67757  3233 11779 7359 21640  9477 69464  1350
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 8560 8959 11990 1024174 8147 20154 27443 1031167 4206  1596  2362 67546  3219 11256 7645 21944  9508 69366  1457
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 8454 9098 11924 1025080 8069 19997 27943 1033552 4005  1368  2616 67634  3459 10790 7388 21996  9122 69488  1599
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 8403 8825 11957 1025694 8308 20149 27869 1032409 4273  1727  2376 67730  3186 11392 6848 21942 10416 70110  1274
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 8507 9014 11926 1027482 8057 20015 27498 1030330 3912  1387  2514 67452  2673 11409 7948 22122 10292 69511  1630
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 8696 8916 12152 1027736 8296 20079 27648 1032854 4186  1609  2320 68088  3526 11147 7501 21402 10502 69557  1406
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 8653 8940 12025 1026751 8035 20110 27287 1031478 4211  1288  2955 68285  3671 12089 7210 21798 10082 68969  1446
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 8465 8987 12149 1026751 7991 19986 27562 1030712 4274  1483  2372 68045  2762 11563 7326 22086 10419 69254  1672
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 8584 8860 11863 1026592 8230 20165 27476 1032361 3932  1638  2253 67470  3169 10893 7666 22134 10151 69268  1435
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 8450 8973 12194 1027361 8129 20106 27845 1032058 4276  1915  2811 67779  3254 11084 7289 21420  9894 69470  1448
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 8555 8825 11979 1026283 8152 19834 27476 1030844 4218  1464  2543 67031  3693 10916 7547 22403  9200 69455  1336
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  8284 8872 11975 1025104 7917 19786 27623 1031201 3703  1261  2333 67233  3501 11260 7118 21671 10044 69873  1551
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 8517 9051 11906 1028460 8316 20317 27626 1032606 3826  1279  2993 68628  3847 11273 7427 21579  9747 69470  1532
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 8456 8908 11967 1025376 8181 19841 27507 1030080 4118  1704  2256 67770  4009 11061 7260 21794  9861 69531  1410
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 8409 8853 11817 1026739 7973 20177 27433 1031021 3886  1408  2602 67426  3277 11004 7149 22105 10353 69087  1542
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 8365 8882 11735 1026268 7791 20011 27300 1030714 3903  1288  2644 67899  3405 11569 8119 22249 10418 69641  1453
