ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
-------------------------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  10009 10704 14096 1030844 10502 23050 31524 1036422  9828 11473 20724 91129 38968 59307 69871 80417 55873  95531  9631
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1   9785 10795 13993 1030228 10383 23050 31597 1036156 10002 11461 20528 91274 38331 59699 70086 79977 55937  96044  9507
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10  9947 10677 14061 1024260 10500 23188 31293 1032948  9823 11486 20387 90630 38490 59159 69698 80404 55482  95946  9823
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11  9885 10574 14077 1026752 10516 23130 31359 1033405  9836 11310 20531 91372 38659 59213 69460 80302 55137  95688  9656
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12  9952 10643 14140 1026507 10283 23084 31433 1034248  9886 11567 20643 90929 38816 59316 69578 80464 56128  95577  9526
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13  9891 10802 13884 1024282 10411 23023 31376 1033866 10048 11350 20850 91463 38811 59409 69927 80092 55378  95519  9521
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14  9962 10580 13847 1026561 10418 23001 30990 1031411  9942 11429 20690 90898 38704 58893 69632 79874 55623  95299  9513
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15  9847 10774 14111 1026691 10482 23011 31447 1035588  9990 11459 20627 90535 38586 59688 69688 80080 55685  95462  9557
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16  9790 10615 13954 1027763 10652 23173 31208 1034811  9858 11483 20717 91243 38673 59525 69944 80184 55617  95505  9444
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17  9757 10514 13918 1026906 10405 23082 31624 1034087  9945 11549 20675 90731 38680 59645 69522 80488 55775  95598  9630
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 10046 10709 13927 1028248 10558 22840 31499 1035042  9873 11560 20591 91503 38585 59082 69645 80269 56201  95973  9309
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 10027 10508 14088 1028941 10641 23079 31336 1034324  9944 11526 20642 91199 38661 59852 69724 80703 55697  96322  9609
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2   9630 10664 13838 1030239 10621 22918 31494 1036344  9746 11560 20689 90801 38318 59810 70051 80472 55346  96043  9635
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20  9948 10795 14244 1028231 10429 22859 31411 1035254 10005 11423 20562 90431 38532 59720 70428 80075 55928  95915  9527
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21  9988 10797 14087 1028283 10413 23263 31318 1036555  9808 11532 20694 91320 38386 59379 70006 80570 56235  95939  9598
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22  9704 10554 14070 1028476 10494 23100 31315 1035928  9842 11430 20504 91330 38591 59470 69716 80891 55739  96212  9736
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23  9912 10768 14084 1028158 10388 22972 31410 1035199  9849 11562 20606 90848 38738 59917 69665 80759 56230  96214  9604
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 10033 10694 14064 1027474 10568 23003 31702 1035675  9836 11619 20668 91056 39034 59177 69739 80463 55468  95753  9556
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25  9917 10587 14012 1027073 10374 23107 31091 1037948  9919 11632 20788 91398 38403 59560 70199 80345 55405  96462  9616
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26  9911 10708 13885 1028128 10548 23307 31448 1035152  9865 11571 20742 91241 38605 59520 69776 80287 55463  96194  9606
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 10133 10707 13961 1028425 10350 22777 31734 1036198  9827 11605 20597 91373 38732 59505 70054 79952 55613  95951  9703
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28  9543 10858 13891 1029735 10521 22962 31491 1036491  9759 11535 20798 91141 38568 59254 70041 79989 55680  96446  9592
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29  9931 10657 13938 1027780 10494 23013 31281 1035563  9954 11540 20833 90688 38770 59051 70395 80113 55933  96096  9458
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3   9832 10683 13898 1028974 10308 23080 31151 1037148  9665 11720 20770 91707 38600 59591 69720 80478 55857  95842  9501
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 10026 10950 14071 1025303 10332 22997 31416 1034102 10047 11276 20887 91212 38379 59640 69322 80339 55419  95618  9554
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31  9851 10696 13947 1027638 10585 23350 31096 1036693  9923 11490 20510 90743 38775 59647 70058 80315 55502  96239  9465
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32  9893 10521 14038 1028555 10610 23290 31457 1033844  9895 11591 20677 91245 38534 59974 70015 80360 55502  95955  9856
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33  9853 10667 14065 1028456 10387 22790 31300 1037037  9838 11452 20774 91383 38741 59363 69445 80991 55389  96402  9758
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 10044 10944 13785 1026818 10535 23159 31153 1036103  9916 11438 20573 91177 38782 59542 69691 80502 55422  96134  9651
