Net counts

Spectrum                                    Si      Ca    Rh
------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  1112374 1237020 78912
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  1111904 1237905 79185
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 1105829 1233636 79457
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 1107590 1233792 78714
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 1107316 1235131 79068
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 1104730 1232709 79030
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 1107910 1231601 79626
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 1108090 1237311 79087
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 1108973 1234506 78689
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 1108353 1235371 79020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 1110210 1236272 79257
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 1110678 1234655 79623
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  1111903 1236814 80035
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 1109760 1236202 79571
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 1109317 1237822 79810
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 1110844 1237395 80023
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 1110003 1236316 80150
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 1109120 1236556 80061
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 1109142 1239241 79961
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 1109949 1236172 79710
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 1110045 1237697 79606
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 1111447 1237408 80020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 1108292 1236190 79603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  1110797 1237738 78732
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 1106719 1233427 79314
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 1108555 1237312 80483
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 1109971 1235444 79946
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 1109965 1237566 80568
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 1108087 1237266 80719
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 1111718 1236104 79627
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 1107069 1235737 79359
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 1109197 1237071 79418
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 1109548 1238587 79615
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 1108474 1236747 80054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  1111289 1235759 79597
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 1108305 1232451 79620
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 1110700 1235412 80395
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 1108763 1236536 79794
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 1106547 1234680 79245
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 1108584 1234070 79756
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 1107251 1232727 79908
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 1106758 1236077 79644
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 1112644 1236376 79782
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 1111210 1236473 79922
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 1109669 1236317 80139
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  1111883 1237087 79636
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 1110318 1235685 78788
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 1111149 1237021 79431
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 1111650 1235811 78283
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 1106712 1234370 79400
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 1110207 1236256 79863
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 1109704 1236841 78984
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 1109987 1236075 78707
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 1113143 1234818 79320
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 1108771 1236996 79523
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 1110587 1238320 79773
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  1110407 1235548 79225
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 1108726 1236698 79595
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 1108611 1239080 79601
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 1109363 1237770 79537
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 1111417 1235582 79776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 1111384 1238708 79779
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 1110143 1235193 78767
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 1110633 1235497 79054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 1110166 1236677 78900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 1110753 1235915 80002
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 1109255 1235689 79259
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  1108648 1234641 79599
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 1112498 1237047 79966
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 1108803 1235878 79189
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 1110629 1234236 78765
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 1110106 1236278 79236
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 1110211 1235325 78927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 1107964 1236956 79202
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 1109780 1236276 80387
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 1109303 1234160 78789
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 1107890 1231654 78830
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 1111345 1235788 79182
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  1107493 1234452 79677
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 1110322 1237737 79994
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 1112873 1239442 79522
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 1112194 1234815 80322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 1109747 1235244 79855
