ROI net sum

Spectrum                                    Si      Ca    Rh
------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  1028697 1032185 68954
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  1028067 1031949 69391
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 1022349 1028818 69608
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 1024804 1029267 69158
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 1024480 1030094 68957
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 1022183 1029613 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 1024566 1027201 69367
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 1024554 1031284 68944
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 1025744 1030529 68776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 1024840 1029851 69404
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 1026131 1030840 69173
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 1026868 1030179 69823
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  1028176 1032143 69614
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 1026174 1031025 69891
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 1026111 1032308 69448
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 1026317 1031729 69900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 1026067 1031081 69974
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 1025346 1031380 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 1025034 1033680 69712
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 1026081 1030899 69642
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 1026378 1031888 69262
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 1027649 1032317 69964
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 1025690 1031212 69693
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  1026997 1032949 69351
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 1023259 1029856 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 1025511 1032524 69530
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 1026451 1029579 69286
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 1026326 1032641 69973
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 1024771 1031919 69791
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 1028023 1031139 69393
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 1022818 1031005 69261
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 1026249 1031963 69354
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 1026265 1033210 69873
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 1024844 1031457 69841
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  1027194 1030907 69300
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 1025020 1028192 69206
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 1026903 1030813 70238
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 1025321 1030919 69231
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 1022920 1030096 69292
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 1025006 1030253 70103
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 1023163 1027877 69554
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 1023816 1031482 69370
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 1029129 1030542 69757
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 1027290 1031410 69872
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 1026415 1031951 69916
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  1027572 1031436 69413
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 1026898 1030469 69200
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 1026989 1031248 69134
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 1028240 1030972 68987
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 1023266 1030104 69656
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 1026474 1031857 69403
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 1025709 1031789 68628
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 1026125 1031357 69194
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 1028955 1030565 69466
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 1024950 1032137 69715
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 1026587 1031881 69271
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  1025834 1030787 69464
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 1024174 1031167 69366
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 1025080 1033552 69488
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 1025694 1032409 70110
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 1027482 1030330 69511
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 1027736 1032854 69557
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 1026751 1031478 68969
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 1026751 1030712 69254
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 1026592 1032361 69268
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 1027361 1032058 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 1026283 1030844 69455
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  1025104 1031201 69873
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 1028460 1032606 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 1025376 1030080 69531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 1026739 1031021 69087
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 1026268 1030714 69641
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 1027246 1030741 69150
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 1025474 1031714 69560
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 1025852 1030953 70362
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 1026094 1029947 69389
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 1024574 1027732 68956
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 1027716 1030492 69011
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  1023943 1029425 69211
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 1026583 1032310 69661
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 1028987 1033841 69650
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 1028394 1031047 69690
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 1027043 1030767 69521
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 1028253 1031543 69730
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 1027126 1029840 68780
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 1028841 1030839 68880
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 1026982 1032653 69846
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 1025461 1032212 69549
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 1029065 1032022 70041
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  1023816 1030460 69871
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 1026434 1030996 69442
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 1025430 1031422 69679
