ROI sum

Spectrum                                    Si      Ca     Rh
-------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  1030844 1036422  95531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  1030228 1036156  96044
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 1024260 1032948  95946
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 1026752 1033405  95688
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 1026507 1034248  95577
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 1024282 1033866  95519
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 1026561 1031411  95299
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 1026691 1035588  95462
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 1027763 1034811  95505
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 1026906 1034087  95598
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 1028248 1035042  95973
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 1028941 1034324  96322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  1030239 1036344  96043
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 1028231 1035254  95915
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 1028283 1036555  95939
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 1028476 1035928  96212
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 1028158 1035199  96214
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 1027474 1035675  95753
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 1027073 1037948  96462
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 1028128 1035152  96194
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 1028425 1036198  95951
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 1029735 1036491  96446
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 1027780 1035563  96096
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  1028974 1037148  95842
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 1025303 1034102  95618
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 1027638 1036693  96239
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 1028555 1033844  95955
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 1028456 1037037  96402
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 1026818 1036103  96134
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 1030003 1035442  96003
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 1024854 1035159  95747
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 1028322 1036203  95927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 1028358 1037409  95577
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 1026942 1035688  96256
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  1029277 1035043  95905
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 1027091 1032493  95757
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 1028950 1035145  96869
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 1027358 1035208  95623
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 1025027 1034275  95644
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 1027100 1034482  96170
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 1025214 1032134  95971
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 1025842 1035704  95928
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 1031240 1034841  96218
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 1029427 1035654  96128
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 1028533 1036204  96431
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  1029723 1035664  95666
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 1029017 1034743  95388
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 1028996 1035361  95561
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 1030363 1035148  95231
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 1025377 1034308  96134
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 1028569 1036119  96076
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 1027885 1036145  95190
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 1028110 1035518  95640
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 1031024 1034838  96025
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 1027100 1036321  96189
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 1028652 1036095  96045
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  1028001 1035174  96162
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 1026266 1035395  96158
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 1027089 1037726  95907
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 1027700 1036508  95933
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 1029525 1034559  95764
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 1029747 1036971  95999
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 1028793 1035726  95451
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 1028819 1035032  96005
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 1028596 1036645  95277
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 1029495 1036114  95881
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 1028376 1035068  95832
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  1027185 1035560  95945
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 1030432 1037074  95664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 1027429 1034410  96248
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 1028886 1035296  95524
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 1028452 1035042  95664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 1029291 1035075  95928
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 1027552 1035889  96102
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 1028084 1035204  96305
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 1028166 1034078  95600
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 1026717 1031922  95439
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 1029822 1034658  95538
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  1025884 1033642  95886
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 1028708 1036508  96153
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 1030923 1038019  96223
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 1030552 1035162  95927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 1029114 1034913  96181
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 1030295 1035651  96386
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 1029255 1034113  95334
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 1031031 1035187  95727
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 1028960 1036905  96276
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 1027576 1036442  95976
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 1031228 1036380  95960
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  1025910 1034737  96144
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 1028559 1035183  95802
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 1027572 1035671  96151
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 1028797 1035500  95814
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 1028732 1034982  95531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 1028885 1033986  96298
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 1027754 1034874  95799
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 1027216 1034559  95679
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 1029293 1035301  95603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 1028302 1033062  95561
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 1027283 1033321  95486
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  1085189 1093055  99169
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  1080493 1089191  99625
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 1077853 1089887  99523
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 1078829 1088008  99433
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 1078419 1089189  98929
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 1079526 1086873  99030
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 1079823 1087750  98762
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 1080998 1090552  99165
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 1081794 1088287  99264
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 1081630 1089398  99521
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 1080943 1089020  99697
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 1081862 1091862  99631
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  1081099 1089299  99684
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 1080615 1089321  99605
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 1081815 1088766  99608
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 1083236 1089937  99428
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 1082223 1090357  99700
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 1081701 1088865  99746
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 1080912 1091891  99596
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 1080339 1088984  99195
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 1082829 1091442  99518
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 1081675 1090276  99157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 1080046 1090557  99720
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  1080021 1089809  98988
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 1082745 1091603  99463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 1079580 1087278  99107
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 1083830 1091149  99290
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 1082485 1092396  99360
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 1082294 1089982 100452
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 1080163 1090227  98942
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 1081504 1090322  99010
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 1080002 1092524  99209
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 1082379 1092188  99979
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 1079608 1089246  99747
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  1081533 1092178  99548
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 1081734 1090835 100242
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 1080650 1089403  99941
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 1081013 1090170  99072
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 1081324 1088892  99618
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 1077716 1088667  98838
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 1081614 1090264  99595
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 1081755 1090776 100081
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 1081624 1090328  99781
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 1081241 1090181  99657
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 1081403 1092091  99385
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  1083237 1093228  99360
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 1081327 1090733  99671
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 1082513 1090216  99786
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 1081846 1091607  99367
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 1078726 1089477  98555
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 1080129 1090484  99570
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 1082065 1090107  99482
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 1082027 1090120  99659
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 1083401 1092266  99359
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 1082999 1091812  99341
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 1082740 1092081  99990
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  1079640 1090839 100048
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 1083221 1091862  99968
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 1082191 1093054  99295
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 1081153 1092099  98654
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 1082657 1091793  99406
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 1080406 1089015  99375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 1080936 1092801  99771
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 1080424 1089336  99180
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 1084517 1092208  99120
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 1081231 1090935  99410
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 1081591 1091951  99193
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  1080874 1088781  99554
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 1083172 1091116  99476
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 1082392 1091651 100436
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 1081668 1092044  99085
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 1081430 1091025  99597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 1082400 1089546  99557
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 1080954 1090560  99729
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 1082873 1091498 100053
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 1079977 1089999  99491
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 1079679 1091259  99501
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 1084297 1091503 100178
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  1078754 1087384  99484
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 1083210 1091179  99573
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 1082676 1090007  99425
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 1082674 1091635  99614
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 1081325 1090982  99369
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 1081399 1089058  99608
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 1083444 1091233  99590
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 1082056 1090620  99068
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 1082871 1091560  99676
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 1083351 1092162  99150
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 1081462 1090394  99670
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  1077604 1087024  99666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 1082187 1091206 100551
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 1083630 1090412  99597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 1082793 1089248  99329
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 1075974 1085780  98966
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 1083118 1090394  99457
