Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti      V    Fe    Zn    Sr   Zr    Rh
-------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  6335 6236 5546 1112543 6078 27609 1233238 4236      0 82002  2736 20729 6323 78912
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  6014 6438 5587 1112072 6011 27667 1234116 4482      0 82140  3199 20160 6350 79185
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 6321 6279 5771 1105993 6255 27463 1229870 4417    213 81423  3254 21007 6352 79457
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 6211 6214 5667 1107756 6160 27439 1230043 4374      0 81851  2977 20934 6390 78714
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 6232 6226 5772 1107482 6051 27730 1231330 4210     13 81927  3329 20268 7446 79068
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 6161 6348 5449 1104896 6020 27430 1228926 4438      0 82301  3152 20172 5892 79030
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 6308 6367 5620 1108079 6249 27174 1227886 4567     80 82207  2661 20071 6382 79626
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 6020 6291 5680 1108249 6103 27779 1233514 4429      8 81823  3418 20260 6261 79087
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 6021 6190 5745 1109127 6472 27195 1230766 4293     38 82405  3390 20495 6331 78689
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 5998 6064 5644 1108508 6184 27582 1231596 4215     96 81604  3551 20737 6701 79020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 6284 6302 5510 1110374 6281 27663 1232474 4285     39 82206  2908 20699 7356 79257
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 6350 6080 5666 1110846 6347 27437 1230904 4483    109 81626  3595 20892 6276 79623
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  5770 6174 5297 1112064 6313 27546 1233030 4226    279 81410  3540 20797 5803 80035
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 6239 6527 6035 1109926 6240 27241 1232489 4517      0 80975  3589 20356 6867 79571
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 6339 6372 5689 1109484 6214 27301 1234083 4383    113 81807  3127 20493 7073 79810
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 5894 5879 5501 1110992 6170 27324 1233644 4368    129 81983  3269 20973 6291 80023
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 6181 6371 5699 1110197 5992 27576 1232498 4269      1 81593  3635 20930 7505 80150
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 6308 6456 5723 1109288 6378 27738 1232729 4403    232 81761  3268 20791 6237 80061
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 6218 6145 5620 1109301 5987 27051 1235535 4335     15 82025  3098 20549 5823 79961
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 6211 6262 5620 1110112 6071 27611 1232384 4359      0 81900  3244 20817 5891 79710
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 6364 6173 5437 1110214 6052 27921 1233878 4246    241 82469  3069 20126 6790 79606
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 5867 6412 5503 1111606 6057 27472 1233638 4160     75 82184  2908 20096 6626 80020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 6307 6254 5532 1108462 6152 27250 1232433 4343     56 81655  2780 20526 6798 79603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  6111 6183 5485 1110952 6027 27236 1234001 4071    350 82495  3154 20715 6738 78732
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 6301 6596 5754 1106887 6111 27712 1229625 4790      0 81904  3211 21034 5950 79314
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 6153 6208 5490 1108723 6248 27275 1233574 4377      0 81262  3507 20781 6148 80483
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 6242 6163 5610 1110143 6234 27404 1231690 4370    171 82122  3472 20632 6356 79946
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 6029 6086 5622 1110128 6161 27364 1233820 4187     27 82569  3366 20903 6398 80568
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 6295 6512 5288 1108261 6356 27129 1233546 4511    193 81903  3270 20527 6157 80719
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 6145 6105 5775 1111880 6007 27479 1232334 4351    133 81999  4112 19852 6899 79627
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 6181 6402 5793 1107237 6118 27867 1231947 4446      0 81992  2988 20656 7085 79359
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 6448 6330 5440 1109367 6240 27566 1233274 4337     46 82441  3094 19946 5829 79418
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 6122 6284 5594 1109711 6243 27122 1234871 4396    166 81700  2912 20877 7235 79615
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 6116 6179 5407 1108636 6286 27113 1233012 4272      0 81404  2897 20642 6140 80054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  6221 6141 5584 1111451 6130 27550 1231984 4692      0 81521  3505 20323 7361 79597
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 6078 6368 5424 1108467 6289 27365 1228677 4375    170 82119  3455 21069 6227 79620
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 6301 6148 5458 1110866 6223 27328 1231672 4253      0 82445  3385 20951 6798 80395
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 6069 6252 5514 1108922 6134 27228 1232796 4536    106 81647  2941 20694 6535 79794
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 6110 6060 5555 1106708 6345 27722 1230870 4433      0 81730  3056 19549 6191 79245
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 6203 6140 5569 1108747 6083 26992 1230357 4417    282 81418  3465 20662 5988 79756
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 6354 6118 5321 1107416 6399 27417 1228976 4381      0 82417  3213 20266 6727 79908
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 6395 6251 5702 1106925 6264 27357 1232332 4587      0 81945  3409 20873 6277 79644
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 6263 6094 5568 1112807 6023 27559 1232606 4044      0 82451  3197 20485 6372 79782
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 6131 6296 5564 1111373 6178 27450 1232711 4516    101 81950  3054 21430 6770 79922
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 6105 6313 5477 1109834 6124 27503 1232552 4370    184 81959  3189 20807 7135 80139
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  6071 6182 5697 1112041 6251 27369 1233343 4233    248 81568  3716 21264 6379 79636
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 6634 6554 5764 1110493 6303 27332 1231965 4470      0 81537  3355 20519 6527 78788
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 6178 6117 5657 1111314 6062 27634 1233259 4306    104 81693  3582 19238 6609 79431
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 6059 6191 5525 1111814 5900 27518 1232016 4486      0 81813  3203 20151 6276 78283
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 6253 6293 5635 1106880 6157 27278 1230627 4187     11 82098  3104 20989 6376 79400
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 6165 6216 5782 1110369 6169 27566 1232467 4306      0 82585  2627 20819 6610 79863
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 6161 6438 5702 1109864 6217 27859 1233026 4235    325 82161  3989 20954 6452 78984
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 6267 6095 5304 1110152 6129 27514 1232295 4263    115 81578  3209 20353 6111 78707
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 6521 6491 5972 1113310 6062 27304 1231072 4275     20 80963  3163 20710 6352 79320
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 6339 6302 5719 1108943 5974 27580 1233221 4354     20 82278  3802 20609 6487 79523
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 6398 6261 5409 1110750 6363 27718 1234548 4174      0 82869  3812 20589 6716 79773
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  6242 6463 5713 1110569 5962 27484 1231767 4208      0 82087  3688 20323 6084 79225
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 6320 6363 5727 1108915 6213 27338 1232886 4525      3 81883  3376 20657 5922 79595
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 6096 6337 5399 1108776 6185 27917 1235254 4291      0 82360  2945 20872 5988 79601
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 6205 6090 5534 1109530 6183 27850 1233946 4425    319 82004  3385 20319 7105 79537
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 6168 6312 5401 1111580 6111 27531 1231816 4288      0 81726  4058 20935 6667 79776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 6421 6237 5813 1111545 6373 27556 1234932 4398     77 82548  3388 20084 6538 79779
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 6295 6266 5647 1110307 6021 27486 1231415 4499      0 82266  3721 21062 6885 78767
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 6151 6374 5740 1110797 6050 27476 1231729 4414      0 81992  3931 20620 7270 79054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 6314 6153 5584 1110331 6208 27425 1232920 4196    154 82133  2843 20486 6268 78900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 6048 6202 5784 1110912 6262 27635 1232115 4517    369 82309  3217 19838 6620 80002
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 6319 6266 5657 1109422 6305 27189 1231961 4375      0 81482  2841 20831 5783 79259
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  6067 6314 5687 1108806 6136 27361 1230882 4098      0 81965  3331 20441 6499 79599
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 6183 6279 5395 1112664 6243 27699 1233245 4229      0 82258  2819 20679 5659 79966
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 6237 6373 5565 1108966 6318 27525 1232117 4503     98 81988  3323 20500 6969 79189
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 6137 6286 5550 1110787 6215 27342 1230466 4257      0 81658  3237 21255 6454 78765
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 6059 6253 5509 1110266 5955 27135 1232558 4312      0 82209  3506 20808 5918 79236
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 6111 6220 5444 1110372 6118 27123 1231596 4319    230 81517  3293 21132 6487 78927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 6182 6185 5676 1108127 6396 27312 1233211 4145      0 81712  3051 20211 6835 79202
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 6160 6097 5538 1109945 6193 27692 1232461 4515    208 82214  2690 20246 6572 80387
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 6255 6293 5556 1109476 6384 27469 1230393 4174    234 82064  3165 19931 6508 78789
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 6347 6596 5808 1108056 6157 27343 1227884 4258    291 82226  3199 21126 6318 78830
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 6194 6178 5578 1111506 6126 27129 1232075 4548    242 82146  3482 20036 6188 79182
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  6007 6182 5530 1107652 6245 26962 1230736 4519    207 81191  3783 20213 6446 79677
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 6307 6066 5359 1110488 6116 28158 1233868 4494    196 81874  2958 21269 5792 79994
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 6222 6127 5822 1113037 6032 27472 1235667 4614      0 81892  3110 20745 6241 79522
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 6167 6330 5395 1112363 5960 27660 1231022 4259      0 81711  2849 20375 7119 80322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 6141 6293 5633 1109914 6230 27210 1231511 4412    111 82166  3308 20101 6443 79855
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 6048 6409 5756 1111389 6241 27263 1231724 4439      0 82207  3037 21198 6114 79972
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 6335 6473 5672 1110297 6084 27314 1230055 4556     83 82015  3367 20699 6804 78947
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 6224 6344 5446 1112201 6314 27584 1230528 4303    149 81553  3303 20857 6418 78517
