ROI sum

Spectrum                                  Na    Mg    Al      Si     S     K      Ca    Ti     V    Fe    Zn    Sr    Zr     Rh
-------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  10009 10704 14096 1030844 10502 31524 1036422  9828 11473 91129 59307 80417 55873  95531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1   9785 10795 13993 1030228 10383 31597 1036156 10002 11461 91274 59699 79977 55937  96044
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10  9947 10677 14061 1024260 10500 31293 1032948  9823 11486 90630 59159 80404 55482  95946
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11  9885 10574 14077 1026752 10516 31359 1033405  9836 11310 91372 59213 80302 55137  95688
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12  9952 10643 14140 1026507 10283 31433 1034248  9886 11567 90929 59316 80464 56128  95577
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13  9891 10802 13884 1024282 10411 31376 1033866 10048 11350 91463 59409 80092 55378  95519
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14  9962 10580 13847 1026561 10418 30990 1031411  9942 11429 90898 58893 79874 55623  95299
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15  9847 10774 14111 1026691 10482 31447 1035588  9990 11459 90535 59688 80080 55685  95462
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16  9790 10615 13954 1027763 10652 31208 1034811  9858 11483 91243 59525 80184 55617  95505
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17  9757 10514 13918 1026906 10405 31624 1034087  9945 11549 90731 59645 80488 55775  95598
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 10046 10709 13927 1028248 10558 31499 1035042  9873 11560 91503 59082 80269 56201  95973
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 10027 10508 14088 1028941 10641 31336 1034324  9944 11526 91199 59852 80703 55697  96322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2   9630 10664 13838 1030239 10621 31494 1036344  9746 11560 90801 59810 80472 55346  96043
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20  9948 10795 14244 1028231 10429 31411 1035254 10005 11423 90431 59720 80075 55928  95915
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21  9988 10797 14087 1028283 10413 31318 1036555  9808 11532 91320 59379 80570 56235  95939
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22  9704 10554 14070 1028476 10494 31315 1035928  9842 11430 91330 59470 80891 55739  96212
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23  9912 10768 14084 1028158 10388 31410 1035199  9849 11562 90848 59917 80759 56230  96214
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 10033 10694 14064 1027474 10568 31702 1035675  9836 11619 91056 59177 80463 55468  95753
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25  9917 10587 14012 1027073 10374 31091 1037948  9919 11632 91398 59560 80345 55405  96462
