ROI backgr, sum

Spectrum                                     Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
--------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0     -1450    -1809    -2091    -2147    -2467    -3901    -4237    -5853    -22437    -58977    -26577
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1     -1438    -1797    -2087    -2161    -2524    -3921    -4207    -5629    -22571    -58731    -26653
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10    -1372    -1690    -1914    -1911    -2110    -3732    -4130    -5862    -22368    -58466    -26338
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11    -1407    -1732    -1957    -1948    -2210    -3814    -4138    -5628    -22553    -58438    -26530
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12    -1395    -1729    -1986    -2027    -2353    -3831    -4154    -5825    -21959    -58102    -26620
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13    -1429    -1779    -2050    -2099    -2430    -3917    -4253    -5929    -22496    -58462    -26331
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14    -1385    -1718    -1969    -1995    -2347    -3858    -4210    -5577    -22008    -58545    -25932
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15    -1441    -1798    -2079    -2137    -2490    -3966    -4304    -5691    -22363    -58724    -26518
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16    -1401    -1735    -1987    -2019    -2367    -3938    -4282    -5971    -22352    -58525    -26729
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17    -1397    -1739    -2009    -2066    -2366    -3860    -4236    -5939    -22558    -58613    -26194
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18    -1416    -1770    -2053    -2117    -2474    -3852    -4202    -5799    -22763    -58349    -26800
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19    -1414    -1760    -2028    -2073    -2433    -3846    -4145    -5777    -22802    -58579    -26499
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2     -1412    -1754    -2018    -2063    -2360    -3856    -4201    -5772    -22749    -58354    -26429
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20    -1418    -1764    -2026    -2057    -2406    -3889    -4229    -5956    -22735    -58532    -26024
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21    -1433    -1794    -2089    -2172    -2576    -3927    -4247    -5958    -22818    -58827    -26491
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22    -1465    -1821    -2101    -2159    -2491    -3880    -4199    -5876    -22513    -58450    -26312
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23    -1430    -1782    -2052    -2091    -2450    -3822    -4118    -5786    -23140    -58551    -26240
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24    -1406    -1757    -2045    -2128    -2519    -3958    -4295    -5818    -22119    -58604    -26283
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25    -1438    -1775    -2023    -2039    -2368    -3944    -4268    -5863    -22660    -58417    -26750
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26    -1433    -1779    -2033    -2047    -2404    -3903    -4253    -5844    -22868    -58807    -26552
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27    -1411    -1751    -2009    -2047    -2375    -3932    -4310    -5881    -22558    -58710    -26689
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28    -1414    -1759    -2030    -2086    -2451    -3871    -4174    -5680    -22472    -58571    -26482
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29    -1446    -1791    -2053    -2090    -2425    -3968    -4351    -5973    -22339    -58275    -26403
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3     -1409    -1735    -1970    -1977    -2284    -3872    -4199    -5655    -22290    -57800    -26491
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30    -1416    -1757    -2015    -2044    -2405    -3909    -4246    -5851    -22667    -58589    -26430
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31    -1440    -1795    -2074    -2127    -2441    -3850    -4169    -5611    -22660    -58457    -26709
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32    -1412    -1762    -2043    -2104    -2487    -3929    -4265    -5843    -22318    -58560    -26669
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33    -1442    -1795    -2073    -2130    -2479    -4005    -4396    -6003    -22500    -58407    -26429
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34    -1415    -1755    -2012    -2047    -2339    -3842    -4184    -5908    -22399    -58980    -26343
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35    -1400    -1728    -1967    -1980    -2318    -3944    -4303    -5870    -22650    -58259    -26610
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36    -1398    -1735    -1995    -2036    -2370    -3795    -4154    -5812    -22413    -58441    -26486
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37    -1408    -1751    -2020    -2073    -2419    -3885    -4240    -5791    -22302    -58276    -26573
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38    -1421    -1767    -2038    -2093    -2474    -3932    -4199    -5774    -22179    -58155    -25704
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39    -1443    -1797    -2066    -2098    -2336    -3922    -4231    -5699    -22817    -58325    -26415
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4     -1419    -1767    -2037    -2083    -2444    -3829    -4136    -5627    -22600    -58668    -26605
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40    -1408    -1750    -2019    -2071    -2444    -3939    -4301    -5847    -22513    -58463    -26551
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41    -1418    -1756    -2013    -2047    -2389    -3939    -4332    -5913    -22536    -58334    -26631
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42    -1416    -1751    -2005    -2037    -2391    -3945    -4289    -5707    -22514    -58237    -26392
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43    -1418    -1765    -2043    -2107    -2438    -3841    -4179    -5856    -22693    -58752    -26352
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44    -1439    -1788    -2056    -2094    -2467    -3920    -4229    -5753    -22414    -58557    -26067
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45    -1431    -1775    -2030    -2051    -2373    -3907    -4257    -5783    -22623    -58358    -26417
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46    -1413    -1748    -1999    -2026    -2305    -3860    -4222    -5889    -21746    -58727    -26558
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47    -1437    -1789    -2063    -2111    -2472    -3940    -4299    -5937    -22468    -58640    -26461
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48    -1413    -1769    -2061    -2137    -2457    -3929    -4244    -5588    -22167    -58274    -26256
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49    -1413    -1762    -2044    -2118    -2462    -3890    -4253    -5700    -22505    -58440    -26515
