ROI net sum

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
--------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  8559 8895 12005 1028697 8035 27623 1032185 3975 66628 21440 68954
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  8347 8998 11906 1028067 7859 27676 1031949 4373 66645 21246 69391
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 8575 8987 12147 1022349 8390 27561 1028818 3961 66235 21938 69608
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 8478 8842 12120 1024804 8306 27545 1029267 4208 66713 21864 69158
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 8557 8914 12154 1024480 7930 27602 1030094 4061 66910 22362 68957
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 8462 9023 11834 1022183 7981 27459 1029613 4119 66847 21630 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 8577 8862 11878 1024566 8071 27132 1027201 4365 66827 21329 69367
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 8406 8976 12032 1024554 7992 27481 1031284 4299 66178 21356 68944
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 8389 8880 11967 1025744 8285 27270 1030529 3887 66858 21659 68776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 8360 8775 11909 1024840 8039 27764 1029851 4006 66024 21875 69404
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 8630 8939 11874 1026131 8084 27647 1030840 4074 66664 21920 69173
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 8613 8748 12060 1026868 8208 27490 1030179 4167 66282 22124 69823
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  8218 8910 11820 1028176 8261 27638 1032143 3974 65972 22118 69614
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 8530 9031 12218 1026174 8023 27522 1031025 4049 65596 21543 69891
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 8555 9003 11998 1026111 7837 27391 1032308 3850 66311 21743 69448
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 8239 8733 11969 1026317 8003 27435 1031729 3966 66673 22441 69900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 8482 8986 12032 1026067 7938 27588 1031081 4063 65598 22208 69974
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 8627 8937 12019 1025346 8049 27744 1031380 4018 66889 21859 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 8479 8812 11989 1025034 8006 27147 1033680 4056 66574 21928 69712
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 8478 8929 11852 1026081 8144 27545 1030899 4021 66314 21480 69642
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 8722 8956 11952 1026378 7975 27802 1031888 3946 66736 21242 69262
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 8129 9099 11861 1027649 8070 27620 1032317 4079 66560 21418 69964
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 8485 8866 11885 1025690 8069 27313 1031212 3981 66200 21838 69693
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  8423 8948 11928 1026997 8024 27279 1032949 4010 67314 22678 69351
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 8610 9193 12056 1023259 7927 27507 1029856 4196 66484 21750 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 8411 8901 11873 1025511 8144 27246 1032524 4312 65992 21858 69530
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 8481 8759 11995 1026451 8123 27528 1029579 4052 66835 21800 69286
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 8411 8872 11992 1026326 7908 27295 1032641 3835 66651 22584 69973
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 8629 9189 11773 1024771 8196 27311 1031919 4008 66611 21522 69791
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 8437 8811 12079 1028023 8085 27489 1031139 4054 66501 21769 69393
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 8494 9013 12159 1022818 8071 27748 1031005 4151 66396 21857 69261
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 8602 8910 11755 1026249 8049 27584 1031963 4061 67295 21763 69354
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 8359 8871 11961 1026265 8125 27224 1033210 4195 66465 22587 69873
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 8388 8911 11740 1024844 8122 27072 1031457 4073 66312 21779 69841
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  8457 8749 11963 1027194 8048 27544 1030907 4401 66115 21696 69300
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 8349 8957 11832 1025020 8124 27412 1028192 3921 66515 22173 69206
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 8587 8886 11783 1026903 8103 27448 1030813 3864 66575 22032 70238
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 8413 8874 12065 1025321 8145 27316 1030919 4310 66032 21912 69231
