Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  17.83 4.29 0.98 64.82 0.19 0.50 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  17.14 4.44 0.99 65.21 0.18 0.50 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 17.85 4.34 1.02 64.72 0.19 0.50 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 17.62 4.30 1.00 64.93 0.19 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 17.66 4.31 1.02 64.88 0.19 0.50 11.31 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 17.54 4.40 0.97 64.94 0.19 0.50 11.34 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 17.79 4.39 0.99 64.78 0.19 0.49 11.23 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 17.21 4.36 1.01 65.17 0.19 0.51 11.43 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 17.22 4.29 1.02 65.23 0.20 0.50 11.41 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 17.21 4.21 1.00 65.29 0.19 0.51 11.45 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 17.74 4.35 0.97 64.84 0.19 0.50 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 17.90 4.20 1.00 64.82 0.19 0.50 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  16.69 4.29 0.94 65.67 0.20 0.51 11.56 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 17.58 4.48 1.07 64.81 0.19 0.49 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 17.84 4.39 1.00 64.71 0.19 0.49 11.25 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 17.01 4.10 0.98 65.54 0.19 0.50 11.54 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 17.51 4.39 1.01 64.96 0.18 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 17.75 4.44 1.01 64.72 0.19 0.50 11.25 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 17.64 4.25 1.00 64.95 0.18 0.49 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 17.60 4.32 0.99 64.95 0.19 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 17.93 4.26 0.96 64.75 0.19 0.51 11.27 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 16.84 4.43 0.98 65.44 0.19 0.51 11.48 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 17.81 4.32 0.98 64.80 0.19 0.49 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  17.41 4.28 0.97 65.14 0.19 0.50 11.39 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 17.74 4.54 1.02 64.67 0.19 0.50 11.22 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 17.51 4.30 0.97 65.03 0.19 0.50 11.37 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 17.68 4.26 0.99 64.94 0.19 0.50 11.31 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 17.25 4.22 1.00 65.26 0.19 0.50 11.44 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 17.75 4.49 0.94 64.74 0.19 0.49 11.27 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 17.47 4.22 1.02 65.12 0.19 0.50 11.35 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 17.52 4.42 1.03 64.89 0.19 0.51 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 18.08 4.36 0.96 64.58 0.19 0.50 11.21 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 17.41 4.34 0.99 65.05 0.19 0.50 11.38 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 17.44 4.28 0.96 65.10 0.19 0.50 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  17.63 4.24 0.99 65.00 0.19 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 17.33 4.41 0.96 65.12 0.20 0.50 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 17.80 4.25 0.97 64.88 0.19 0.50 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 17.32 4.33 0.98 65.14 0.19 0.50 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 17.46 4.21 0.99 65.10 0.20 0.51 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 17.62 4.25 0.99 65.00 0.19 0.49 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 17.96 4.24 0.94 64.77 0.20 0.50 11.26 0.02 0.10 0.01 0.00
