Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  14.41 3.67 0.93 63.98 0.21 0.69 15.86 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  13.82 3.79 0.94 64.26 0.21 0.69 16.03 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 14.42 3.71 0.97 63.88 0.22 0.69 15.86 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 14.23 3.67 0.95 64.05 0.21 0.69 15.93 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 14.26 3.68 0.97 64.00 0.21 0.69 15.92 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 14.16 3.76 0.92 64.05 0.21 0.69 15.96 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 14.38 3.75 0.94 63.95 0.22 0.68 15.82 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 13.88 3.72 0.96 64.21 0.21 0.70 16.06 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 13.89 3.66 0.97 64.27 0.23 0.68 16.04 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 13.88 3.59 0.95 64.31 0.22 0.70 16.10 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 14.33 3.71 0.92 63.99 0.22 0.69 15.88 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 14.47 3.59 0.95 63.98 0.22 0.69 15.85 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  13.44 3.65 0.89 64.60 0.22 0.70 16.23 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 14.20 3.83 1.01 63.96 0.21 0.68 15.85 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 14.41 3.75 0.95 63.88 0.21 0.68 15.85 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 13.70 3.49 0.93 64.50 0.22 0.69 16.20 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 14.13 3.75 0.96 64.07 0.21 0.69 15.93 0.03 0.19 0.03 0.00
