Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
-------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  6335 6237 5548 1112514 5880 27549 1236764 4198 81435 21927 78912
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  6015 6440 5589 1112045 5739 27492 1237513 4451 81663 21341 79185
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 6321 6279 5771 1105967 6052 27472 1233435 4404 80627 22237 79457
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 6211 6214 5667 1107727 5947 27441 1233527 4319 81398 22172 78714
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 6232 6228 5775 1107453 5877 27659 1234878 4185 81274 21653 79068
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 6162 6350 5451 1104868 5806 27339 1232689 4362 82045 21307 79030
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 6308 6368 5622 1108047 6043 27102 1231267 4548 81570 21291 79626
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 6021 6293 5683 1108223 5839 27642 1237131 4390 81443 21442 79087
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 6021 6194 5748 1109099 6271 27070 1234388 4257 81987 21697 78689
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 5999 6064 5645 1108483 5967 27560 1235168 4191 80916 22016 79020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 6284 6302 5510 1110346 6074 27631 1235853 4250 81538 22095 79257
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 6350 6081 5666 1110813 6129 27448 1234518 4460 80965 22084 79623
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  5770 6174 5298 1112036 6077 27500 1236580 4223 80794 21896 80035
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 6239 6527 6036 1109895 5955 27233 1235860 4453 80612 21654 79571
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 6340 6373 5690 1109452 5950 27249 1237557 4357 81196 21824 79810
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 5894 5882 5504 1110965 5974 27199 1237111 4353 81383 22175 80023
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 6181 6370 5699 1110137 5749 27598 1235972 4263 80910 22350 80150
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 6308 6457 5723 1109257 6130 27643 1236237 4404 81007 21983 80061
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 6219 6148 5623 1109277 5765 26939 1239072 4299 81298 21652 79961
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 6212 6263 5621 1110086 5868 27517 1235914 4304 81203 21940 79710
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 6364 6173 5438 1110186 5854 27935 1237692 4243 81829 21410 79606
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 5867 6412 5503 1111577 5860 27480 1237277 4135 81509 21336 80020
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 6307 6255 5535 1108434 5871 27114 1235911 4338 80897 21815 79603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  6112 6186 5488 1110931 5820 27074 1237435 4081 82022 22006 78732
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 6301 6596 5756 1106862 5849 27589 1233091 4732 81227 22191 79314
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 6153 6209 5490 1108695 6066 27223 1237142 4340 80943 21947 80483
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 6243 6163 5610 1110110 6034 27411 1235253 4368 81560 21840 79914
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 6029 6087 5623 1110096 5902 27346 1237387 4155 82219 22146 80568
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 6296 6515 5290 1108230 6118 26990 1236977 4498 81402 21726 80719
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 6146 6108 5777 1111853 5817 27194 1235683 4322 81376 21156 79627
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 6181 6402 5793 1107207 5928 27847 1235290 4396 81359 22018 79359
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 6448 6330 5441 1109340 6024 27545 1236751 4302 82165 21049 79418
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 6122 6284 5594 1109682 5983 27120 1238486 4377 81102 22272 79615
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 6117 6181 5410 1108606 5982 27000 1236799 4219 80758 21799 80054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4  6221 6141 5584 1111422 5873 27576 1235530 4633 80892 21723 79597
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40 6079 6368 5425 1108436 6115 27341 1232206 4364 81452 22262 79620
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 6302 6149 5459 1110837 6017 27287 1235327 4179 81548 22250 80395
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 6069 6252 5514 1108889 5909 27270 1236289 4518 81138 21951 79794
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 6110 6061 5556 1106676 6102 27655 1234222 4380 81249 20716 79245
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 6203 6140 5570 1108718 5838 27001 1233901 4427 80713 21818 79756
