Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  18.12 4.93 1.75 63.52 0.19 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  17.38 4.98 1.73 64.03 0.19 0.53 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 18.11 4.93 1.76 63.47 0.20 0.53 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 17.80 4.89 1.76 63.74 0.20 0.53 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 17.85 4.89 1.78 63.69 0.19 0.53 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 17.76 4.99 1.72 63.72 0.20 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 17.99 4.91 1.73 63.64 0.19 0.52 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 17.52 4.92 1.76 63.92 0.19 0.53 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 17.42 4.81 1.74 64.10 0.20 0.53 11.07 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 17.49 4.82 1.76 64.01 0.20 0.54 11.06 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 17.94 4.91 1.72 63.66 0.20 0.53 10.92 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 18.07 4.75 1.75 63.67 0.20 0.52 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  16.99 4.88 1.71 64.39 0.20 0.54 11.16 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 17.78 4.99 1.78 63.68 0.19 0.52 10.93 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 18.10 4.99 1.75 63.46 0.19 0.52 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 17.32 4.78 1.74 64.19 0.19 0.53 11.11 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 17.68 4.93 1.75 63.82 0.19 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 17.88 4.95 1.75 63.64 0.20 0.53 10.93 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 17.83 4.83 1.75 63.77 0.19 0.52 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 17.90 4.99 1.75 63.61 0.20 0.52 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 18.23 4.84 1.71 63.50 0.19 0.53 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 17.11 5.05 1.74 64.16 0.20 0.53 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 18.09 4.98 1.75 63.48 0.19 0.52 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  17.62 4.89 1.73 63.92 0.19 0.52 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 17.95 5.06 1.74 63.52 0.19 0.53 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 17.79 4.97 1.73 63.70 0.20 0.52 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 17.82 4.80 1.74 63.82 0.20 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 17.62 4.84 1.75 63.92 0.19 0.53 11.02 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 17.95 5.09 1.70 63.53 0.20 0.52 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_35 17.74 4.75 1.75 63.92 0.19 0.52 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_36 17.72 4.98 1.78 63.71 0.20 0.53 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_37 18.25 4.94 1.70 63.41 0.20 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_38 17.61 4.93 1.75 63.86 0.20 0.52 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_39 17.71 4.90 1.72 63.83 0.19 0.52 11.00 0.02 0.09 0.01 0.00
