Net counts

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
--------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  6813 7512 10303 1125147 6308 30478 1261167 4369 81716 24496 84425
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  6424 7556 10126 1124350 6199 30333 1261536 4503 81898 23904 84991
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 6771 7478 10303 1118266 6732 30429 1257900 4439 80840 24740 85004
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 6611 7412 10319 1120280 6570 30272 1257695 4365 81663 24957 84426
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 6636 7417 10405 1119927 6396 30578 1258965 4341 81495 24870 84882
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 6578 7538 10024 1117360 6427 30400 1257163 4387 82227 23791 84610
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 6713 7447 10155 1120887 6394 29887 1255420 4591 81882 23632 85336
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 6468 7444 10272 1120460 6329 30384 1260950 4586 81673 23736 84709
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 6404 7261 10166 1121347 6622 29973 1258461 4300 82351 24057 84100
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 6439 7270 10259 1120796 6569 30619 1259888 4251 81178 24487 85027
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 6696 7459 10089 1122902 6663 30473 1260155 4425 81690 24648 84701
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 6746 7209 10285 1123542 6591 30293 1259032 4486 81171 24643 85323
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  6206 7365  9962 1124570 6581 30509 1261156 4289 80962 24439 85521
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 6636 7590 10477 1122284 6370 30259 1260343 4513 80853 24167 85217
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 6795 7596 10331 1122283 6299 30223 1261877 4385 81332 24460 85319
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 6359 7220 10191 1123456 6305 30220 1261542 4405 81549 24969 85369
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 6568 7477 10274 1122742 6349 30504 1260346 4399 81015 25052 86182
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 6673 7512 10273 1121904 6579 30508 1260481 4438 81129 24482 85373
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 6621 7314 10240 1121693 6161 29761 1262835 4437 81459 24344 85703
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 6691 7591 10256 1122271 6484 30402 1260450 4447 81327 24399 85469
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 6832 7354 10033 1122788 6382 30712 1261675 4279 82009 23733 85147
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 6300 7663 10199 1124002 6469 30262 1261567 4283 81654 23941 85831
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 6784 7576 10277 1121207 6349 30015 1260132 4444 81111 24493 85664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  6525 7407 10144 1123299 6265 29916 1261158 4127 82295 24703 84537
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 6710 7691 10224 1119254 6290 30575 1257521 4777 81373 24492 84841
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 6623 7543 10173 1121290 6559 30141 1261563 4406 81087 24298 86061
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 6618 7271 10196 1122883 6555 30348 1259525 4459 81836 24302 85641
SRM_1831_300s_100_repeat_Rh_FE_D1_0_33 6520 7325 10260 1122603 6321 30223 1261311 4235 82396 25122 86090
SRM_1831_300s_100_repeat_Rh_FE_D1_0_34 6716 7743  9951 1121170 6557 30071 1261505 4521 81570 24224 85960
