ROI backgr, sum

Spectrum                             Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0      -2101    -2621    -3036    -3136    -3686    -5829    -6339    -8858    -33012    -85249    -41203
SRM_1831_300s_20x20det_1_0_1      -2101    -2605    -2986    -3037    -3490    -5820    -6353    -8739    -33449    -85193    -39999
SRM_1831_300s_20x20det_1_0_10     -2108    -2629    -3040    -3126    -3558    -5793    -6341    -8916    -33527    -85809    -39437
SRM_1831_300s_20x20det_1_0_11     -2114    -2645    -3073    -3181    -3707    -5798    -6329    -8936    -33897    -86196    -39690
SRM_1831_300s_20x20det_1_0_12     -2083    -2612    -3039    -3146    -3690    -5835    -6407    -8931    -32909    -86190    -40283
SRM_1831_300s_20x20det_1_0_13     -2073    -2567    -2938    -2980    -3430    -5673    -6152    -8400    -33032    -86233    -39496
SRM_1831_300s_20x20det_1_0_14     -2098    -2615    -3027    -3120    -3699    -5762    -6242    -8871    -33032    -85938    -39493
SRM_1831_300s_20x20det_1_0_15     -2123    -2644    -3048    -3119    -3657    -5730    -6171    -8650    -33739    -86276    -39921
SRM_1831_300s_20x20det_1_0_16     -2081    -2579    -2949    -2986    -3510    -5855    -6368    -8813    -33576    -86061    -39952
SRM_1831_300s_20x20det_1_0_17     -2064    -2579    -2990    -3085    -3615    -5723    -6259    -8923    -33317    -86155    -39333
SRM_1831_300s_20x20det_1_0_18     -2155    -2688    -3110    -3198    -3776    -5937    -6487    -8798    -33513    -86460    -39737
SRM_1831_300s_20x20det_1_0_19     -2068    -2570    -2948    -2990    -3494    -5820    -6418    -8831    -33651    -86023    -39549
SRM_1831_300s_20x20det_1_0_2      -2114    -2638    -3043    -3110    -3667    -5895    -6451    -8701    -33070    -85351    -39734
SRM_1831_300s_20x20det_1_0_3      -2097    -2613    -3016    -3091    -3659    -5845    -6350    -8694    -33030    -85942    -39914
SRM_1831_300s_20x20det_1_0_4      -2143    -2672    -3086    -3164    -3735    -5917    -6441    -8901    -33256    -85740    -39786
SRM_1831_300s_20x20det_1_0_5      -2128    -2660    -3091    -3205    -3761    -5773    -6219    -8858    -33588    -85810    -39761
SRM_1831_300s_20x20det_1_0_6      -2096    -2601    -2989    -3051    -3569    -5803    -6342    -8751    -33194    -86081    -39822
SRM_1831_300s_20x20det_1_0_7      -2147    -2669    -3072    -3140    -3598    -5861    -6443    -8865    -33661    -86165    -39976
SRM_1831_300s_20x20det_1_0_8      -2166    -2702    -3126    -3218    -3770    -5921    -6453    -8864    -33364    -86457    -39898
SRM_1831_300s_20x20det_1_0_9      -2158    -2695    -3126    -3228    -3789    -5959    -6480    -8656    -34014    -86067    -39624
SRM_1831_300s_20x20det_1_10_0     -2120    -2640    -3049    -3131    -3584    -5910    -6527    -9051    -33627    -85751    -41533
SRM_1831_300s_20x20det_1_10_1      -311     -385     -441     -449     -519     -845     -903    -1183     -4710    -11756     -5621
SRM_1831_300s_20x20det_1_10_10    -2076    -2575    -2961    -3029    -3508    -5837    -6388    -8606    -33493    -86079    -39045
