Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
----------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   17.89 4.91 1.79 63.79 0.19 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_1   18.12 4.94 1.75 63.59 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_10  18.22 5.04 1.77 63.45 0.20 0.51 10.68 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_11  17.93 4.94 1.78 63.69 0.20 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_12  17.55 4.99 1.75 63.97 0.20 0.53 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_13  18.15 4.93 1.79 63.52 0.20 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_14  18.52 4.90 1.77 63.29 0.19 0.52 10.69 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_15  18.32 4.85 1.75 63.48 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_16  18.30 5.00 1.75 63.40 0.20 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_17  18.28 4.96 1.75 63.46 0.19 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_18  18.09 4.86 1.72 63.67 0.19 0.53 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_19  18.22 4.89 1.77 63.53 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_2   18.02 4.96 1.75 63.67 0.19 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_3   18.13 4.87 1.73 63.67 0.19 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_4   18.07 4.95 1.75 63.61 0.19 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_5   18.18 4.94 1.78 63.51 0.19 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_6   18.13 4.88 1.76 63.60 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_7   17.95 4.99 1.75 63.67 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_8   18.07 4.94 1.75 63.63 0.19 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_0_9   17.69 5.06 1.72 63.62 0.20 0.53 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_0  18.13 5.04 1.76 63.49 0.20 0.52 10.74 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_1  18.10 4.47 1.74 63.93 0.18 0.53 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_10 18.00 4.98 1.74 63.57 0.20 0.52 10.86 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_11 18.16 5.00 1.75 63.50 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_12 18.27 4.80 1.74 63.56 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_13 18.31 4.97 1.76 63.39 0.20 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_14 18.19 4.93 1.76 63.53 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_10_15 17.71 5.12 1.73 63.76 0.20 0.52 10.83 0.02 0.09 0.01 0.00
