Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti     Fe    Sr     Rh
-----------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0    9979 11127 15664 1677420  9477 44884 1855831 6623 119361 36364 126498
SRM_1831_300s_20x20det_1_0_1   10126 11183 15330 1671657  9719 45223 1854700 6714 118789 37153 128367
SRM_1831_300s_20x20det_1_0_10  10278 11504 15589 1678400  9778 44483 1858440 6282 119829 36442 127645
SRM_1831_300s_20x20det_1_0_11  10010 11211 15596 1676867  9664 45598 1865290 6717 119226 36684 127413
SRM_1831_300s_20x20det_1_0_12   9737 11312 15367 1679558  9569 45804 1864204 6449 118964 37271 127520
SRM_1831_300s_20x20det_1_0_13  10170 11187 15684 1674561  9976 45430 1864922 6895 119956 36730 128276
SRM_1831_300s_20x20det_1_0_14  10456 11149 15576 1674119  9586 45529 1861719 6566 118929 37330 128350
SRM_1831_300s_20x20det_1_0_15  10289 11011 15338 1676055  9848 45148 1864057 6345 118928 36078 128086
SRM_1831_300s_20x20det_1_0_16  10310 11385 15378 1676143  9813 45132 1862898 6326 119727 36048 128118
SRM_1831_300s_20x20det_1_0_17  10271 11276 15340 1674766  9648 45439 1859106 6409 119660 36785 128040
SRM_1831_300s_20x20det_1_0_18  10117 11032 15141 1678633  9460 45579 1865452 6680 120207 37317 128060
SRM_1831_300s_20x20det_1_0_19  10225 11120 15529 1677161  9798 45118 1862717 6603 118716 37284 128362
SRM_1831_300s_20x20det_1_0_2   10029 11203 15275 1669240  9426 44774 1850475 6770 118842 36047 127085
SRM_1831_300s_20x20det_1_0_3   10155 11061 15242 1680127  9410 45164 1860096 6476 119308 36755 127755
SRM_1831_300s_20x20det_1_0_4   10104 11235 15349 1673750  9567 44574 1859397 6422 119621 36484 126865
SRM_1831_300s_20x20det_1_0_5   10184 11216 15622 1672770  9625 44982 1859497 6589 119223 36253 127895
SRM_1831_300s_20x20det_1_0_6   10159 11080 15457 1678652  9689 45098 1867336 6429 120625 36264 128490
SRM_1831_300s_20x20det_1_0_7   10035 11332 15380 1677650  9640 45186 1864761 6644 118846 36444 127443
SRM_1831_300s_20x20det_1_0_8   10143 11242 15434 1681131  9468 45331 1865413 6722 119849 37094 128706
SRM_1831_300s_20x20det_1_0_9    9592 11213 14663 1633216  9677 44978 1856152 6154 118124 36472 127549
SRM_1831_300s_20x20det_1_10_0  10203 11494 15490 1678019  9681 45281 1863944 6107 118999 36122 128895
SRM_1831_300s_20x20det_1_10_1   1441  1445  2186  241435  1299  6545  268987  939  16922  5165  17878
SRM_1831_300s_20x20det_1_10_10  9965 11207 15156 1659543  9936 44774 1857703 6628 119238 36519 129326
SRM_1831_300s_20x20det_1_10_11 10174 11351 15334 1672456  9782 44896 1860109 6147 118920 36256 127527
SRM_1831_300s_20x20det_1_10_12 10212 10850 15218 1673525  9733 45387 1863125 6617 119600 35783 128133
SRM_1831_300s_20x20det_1_10_13 10296 11299 15496 1672841  9870 45160 1860684 6835 120326 37160 128597
SRM_1831_300s_20x20det_1_10_14 10210 11209 15455 1676335  9780 45006 1861967 6526 119750 36440 128005
SRM_1831_300s_20x20det_1_10_15  9855 11625 15161 1673602  9641 45141 1860083 6654 118559 36972 128749
SRM_1831_300s_20x20det_1_10_16 10231 11307 15614 1675910  9852 45214 1861325 6559 119006 37494 128720
SRM_1831_300s_20x20det_1_10_17 10055 11003 15109 1671925  9823 44968 1859888 6725 119264 36785 129339
SRM_1831_300s_20x20det_1_10_18  9762 10919 15517 1668169  9880 44993 1859916 6175 119108 37012 128505
SRM_1831_300s_20x20det_1_10_19  9884 11228 15477 1676517  9833 45398 1861685 6526 118318 36437 128161
SRM_1831_300s_20x20det_1_10_2  10111 11424 15444 1675661  9665 44732 1859350 6705 119384 36002 127860
SRM_1831_300s_20x20det_1_10_3  10192 11033 15435 1672930  9524 44753 1861628 6595 120494 36887 129172
SRM_1831_300s_20x20det_1_10_4  10048 11277 15214 1675199  9786 44814 1856037 6327 118909 37538 128056
SRM_1831_300s_20x20det_1_10_5  10060 11287 15797 1675199  9801 45062 1858854 6643 119094 36628 129177
SRM_1831_300s_20x20det_1_10_6  10225 10965 15473 1672161  9760 44979 1860478 6289 118727 35586 127077
SRM_1831_300s_20x20det_1_10_7   9935 11160 15441 1672569  9747 45375 1861537 6783 118330 36301 128575
SRM_1831_300s_20x20det_1_10_8   9850 10918 15435 1676282  9707 44865 1858328 6534 120561 36587 128574
SRM_1831_300s_20x20det_1_10_9   9825 11280 15349 1675750  9940 45234 1860680 6314 119751 36306 128788
SRM_1831_300s_20x20det_1_11_0   9831 11174 15167 1668239  9691 44915 1854374 6647 119098 37015 129924
SRM_1831_300s_20x20det_1_11_1   9849 11166 15242 1674464  9837 44947 1859755 6689 118568 36417 128367
SRM_1831_300s_20x20det_1_11_10 10069 11194 15367 1674289  9505 45206 1860618 6070 119732 36155 129490
SRM_1831_300s_20x20det_1_11_11 10237 11210 15511 1676040  9829 45281 1863399 6866 119008 36558 128952
SRM_1831_300s_20x20det_1_11_12 10080 10960 15421 1673631  9382 45350 1859431 6526 119486 36572 128295
SRM_1831_300s_20x20det_1_11_13 10043 11086 15453 1675868  9987 45339 1859184 6597 119434 36456 127757
SRM_1831_300s_20x20det_1_11_14 10102 11408 15204 1676692  9823 45125 1862257 6518 119445 36583 127741
SRM_1831_300s_20x20det_1_11_15 10041 11203 15329 1671654  9762 45056 1860889 6920 118645 36421 128418
SRM_1831_300s_20x20det_1_11_16  9930 11296 15197 1672084  9884 45175 1861947 6577 119158 36730 128071
SRM_1831_300s_20x20det_1_11_17  9351 10386 14441 1616787  9449 44872 1852603 6568 119241 36226 128672
SRM_1831_300s_20x20det_1_11_18  9976 11043 15658 1674535  9944 45390 1863127 6378 119406 37214 128494
SRM_1831_300s_20x20det_1_11_19  9844 10924 15355 1672112  9629 45296 1859018 6522 118579 36327 127694
SRM_1831_300s_20x20det_1_11_2  10262 11461 15694 1669330  9688 45255 1857630 6488 118162 37247 127148
SRM_1831_300s_20x20det_1_11_3   9899 11072 15518 1672276  9694 45303 1861349 6612 119130 36785 128118
SRM_1831_300s_20x20det_1_11_4  10125 10913 15336 1670321  9850 44972 1856511 6525 118934 36647 128115
SRM_1831_300s_20x20det_1_11_5   9969 11162 15450 1675237  9796 45372 1860758 6392 119535 36662 128188
SRM_1831_300s_20x20det_1_11_6  10372 11135 15155 1674063  9611 44931 1861944 6505 119019 36144 128462
SRM_1831_300s_20x20det_1_11_7  10104 11167 15400 1675489  9653 45020 1859456 6450 118980 36408 127999
SRM_1831_300s_20x20det_1_11_8   9966 11159 15504 1674457  9745 45195 1858370 6412 120408 36819 128577
SRM_1831_300s_20x20det_1_11_9   9910 11171 15184 1665729  9414 45199 1853009 6560 119469 36116 128448
SRM_1831_300s_20x20det_1_12_0  10076 11253 15768 1672119  9523 45215 1858978 6370 119134 36258 128946
SRM_1831_300s_20x20det_1_12_1  10026 11147 15523 1673936  9747 45127 1864100 6962 119379 36617 129166
SRM_1831_300s_20x20det_1_12_10 10070 11308 15171 1678532  9717 45208 1863797 6673 119839 36704 128456
SRM_1831_300s_20x20det_1_12_11 10026 11221 15331 1670049  9504 44895 1858006 6671 118669 36561 127485
SRM_1831_300s_20x20det_1_12_12 10186 11188 15354 1673217  9429 44154 1858001 6287 119468 36890 128212
SRM_1831_300s_20x20det_1_12_13  9998 10995 15364 1675188  9670 45009 1860624 6692 119491 36238 127910
SRM_1831_300s_20x20det_1_12_14 10329 10971 15444 1672132  9806 45385 1858173 6522 119078 36892 128487
SRM_1831_300s_20x20det_1_12_15  9681 11195 15151 1672583  9642 44451 1858539 6563 119612 36720 128369
SRM_1831_300s_20x20det_1_12_16 10273 11315 15311 1671093  9539 45567 1858394 6559 118945 36675 127386
SRM_1831_300s_20x20det_1_12_17 10014 11122 15722 1671753  9684 45176 1861708 6820 119590 36592 128522
SRM_1831_300s_20x20det_1_12_18 10073 11068 15164 1670500  9603 45109 1858874 6452 120412 36222 128890
SRM_1831_300s_20x20det_1_12_19 10069 10904 15079 1660917  9522 45040 1856161 6289 118406 36830 128695
SRM_1831_300s_20x20det_1_12_2  10002 11068 15025 1676539  9544 45385 1862948 6549 120220 37384 128396
SRM_1831_300s_20x20det_1_12_3  10009 10966 15151 1673705  9627 45060 1863371 6915 119877 36331 128845
SRM_1831_300s_20x20det_1_12_4  10238 11055 15374 1671234  9880 44847 1856512 6567 118716 36296 129236
SRM_1831_300s_20x20det_1_12_5   9756 11317 15228 1672597  9429 45001 1859423 6530 119344 37479 128526
SRM_1831_300s_20x20det_1_12_6   9683 11056 15495 1674374  9809 45209 1858967 6526 119775 36618 128984
SRM_1831_300s_20x20det_1_12_7   9979 11041 15282 1676641  9537 44609 1860095 6140 119609 36198 128036
SRM_1831_300s_20x20det_1_12_8  10116 11078 15213 1673316  9814 45574 1857437 6560 119910 37625 128748
SRM_1831_300s_20x20det_1_12_9   9964 11277 15563 1673614  9417 45668 1861757 6626 119351 36469 126858
SRM_1831_300s_20x20det_1_13_0  10049 11134 15695 1673959  9838 46001 1860057 6547 118815 36914 129279
SRM_1831_300s_20x20det_1_13_1  10284 11054 15392 1672780  9879 45274 1861442 6682 119538 35450 128650
SRM_1831_300s_20x20det_1_13_10  9839 11158 15235 1678884  9738 45649 1862289 6518 120236 37225 128094
SRM_1831_300s_20x20det_1_13_11 10093 11130 15512 1678948  9590 45099 1863217 6781 120133 36872 128316
SRM_1831_300s_20x20det_1_13_12 10151 11411 15296 1664867  9664 44689 1856253 6336 118910 36669 127067
SRM_1831_300s_20x20det_1_13_13 10041 10933 15698 1678533  9667 44936 1862927 6637 119041 35924 128750
SRM_1831_300s_20x20det_1_13_14 10199 11245 15566 1674580  9922 45119 1861079 6313 118995 36434 128141
SRM_1831_300s_20x20det_1_13_15  9912 11231 15302 1676480  9754 45431 1859640 6628 119425 37301 128235
