ROI backgr, sum

Spectrum                                     Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
--------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0     -1569    -1944    -2216    -2226    -2584    -4344    -4706    -6327    -24027    -59745    -27562
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1     -1573    -1958    -2260    -2313    -2666    -4328    -4655    -6225    -23471    -59333    -27360
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10    -1563    -1947    -2247    -2301    -2716    -4328    -4650    -6202    -23405    -59704    -26783
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11    -1547    -1926    -2212    -2242    -2547    -4242    -4592    -6185    -23940    -59955    -27469
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12    -1574    -1965    -2272    -2333    -2662    -4201    -4560    -6247    -23657    -59276    -27473
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13    -1550    -1924    -2209    -2245    -2592    -4309    -4695    -6305    -23462    -59527    -26948
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14    -1565    -1953    -2268    -2348    -2788    -4374    -4722    -6229    -23354    -59648    -27547
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15    -1548    -1918    -2196    -2224    -2623    -4378    -4694    -6007    -23783    -59545    -27552
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16    -1551    -1936    -2242    -2308    -2712    -4247    -4541    -6040    -23618    -59169    -27432
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17    -1559    -1954    -2277    -2363    -2809    -4301    -4611    -6166    -23893    -59575    -27428
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18    -1534    -1911    -2205    -2259    -2651    -4254    -4614    -6054    -23369    -59526    -27453
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19    -1615    -2032    -2382    -2494    -2915    -4358    -4696    -6180    -23803    -59802    -27415
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2     -1551    -1939    -2252    -2331    -2739    -4356    -4726    -6303    -23338    -59826    -27752
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20    -1564    -1960    -2281    -2363    -2825    -4295    -4610    -6351    -23286    -59786    -27501
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21    -1552    -1943    -2257    -2329    -2794    -4323    -4664    -6234    -23339    -59476    -26942
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22    -1545    -1931    -2242    -2313    -2771    -4325    -4634    -6363    -24109    -59796    -27839
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23    -1538    -1926    -2243    -2325    -2799    -4394    -4753    -6187    -23830    -59863    -27206
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24    -1545    -1939    -2264    -2358    -2766    -4206    -4509    -6077    -23709    -59317    -27058
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25    -1578    -1973    -2288    -2358    -2806    -4369    -4707    -6279    -23591    -59810    -27650
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26    -1498    -1888    -2213    -2311    -2772    -4413    -4773    -6241    -23766    -59223    -27562
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27    -1531    -1902    -2177    -2192    -2604    -4267    -4538    -6292    -23742    -59392    -27143
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28    -1538    -1927    -2241    -2316    -2809    -4335    -4641    -6227    -23537    -59621    -27300
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29    -1542    -1936    -2261    -2354    -2828    -4326    -4590    -6220    -23819    -59569    -27298
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3     -1576    -1966    -2264    -2301    -2703    -4222    -4523    -6156    -23761    -59404    -27614
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30    -1587    -1987    -2305    -2372    -2708    -4284    -4603    -6226    -23138    -59740    -27418
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31    -1543    -1937    -2257    -2338    -2781    -4297    -4583    -6234    -23923    -59298    -27295
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32    -1525    -1888    -2158    -2180    -2569    -4318    -4659    -6302    -23629    -59865    -27485
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33    -1580    -1968    -2264    -2300    -2713    -4371    -4702    -6341    -23782    -59696    -27598
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34    -1543    -1921    -2212    -2259    -2590    -4232    -4563    -6297    -23488    -59611    -27376
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35    -1569    -1969    -2300    -2392    -2887    -4400    -4708    -6086    -23808    -59443    -27825
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36    -1562    -1946    -2248    -2306    -2722    -4343    -4653    -6223    -23321    -59537    -26873
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37    -1551    -1936    -2238    -2296    -2677    -4300    -4653    -6250    -23721    -59651    -27464
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38    -1529    -1901    -2186    -2225    -2621    -4240    -4572    -6277    -23653    -59617    -27241
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39    -1554    -1940    -2247    -2315    -2743    -4404    -4728    -6260    -23573    -59765    -27853
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4     -1536    -1919    -2224    -2291    -2662    -4320    -4686    -6120    -23194    -59683    -27520
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40    -1572    -1968    -2286    -2363    -2821    -4421    -4778    -6233    -23688    -59639    -27478
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41    -1588    -2003    -2357    -2480    -2928    -4407    -4746    -6241    -23893    -59796    -27418
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42    -1555    -1939    -2242    -2303    -2693    -4240    -4522    -6184    -23512    -59381    -27429
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43    -1517    -1880    -2158    -2194    -2562    -4253    -4633    -6227    -23361    -59694    -27376
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44    -1540    -1903    -2166    -2173    -2535    -4280    -4607    -6258    -23849    -59286    -27040
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45    -1535    -1913    -2207    -2256    -2673    -4228    -4566    -6102    -23472    -59731    -27666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46    -1577    -1982    -2314    -2404    -2805    -4318    -4666    -6209    -23911    -59770    -27536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47    -1547    -1933    -2236    -2292    -2653    -4374    -4769    -6328    -23470    -59575    -27400
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48    -1531    -1904    -2192    -2237    -2649    -4289    -4623    -6243    -23718    -58758    -27337
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49    -1547    -1929    -2228    -2284    -2700    -4323    -4659    -6312    -23646    -59561    -27340
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5     -1529    -1906    -2201    -2255    -2680    -4319    -4627    -6264    -23407    -59399    -27262
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50    -1547    -1938    -2255    -2335    -2766    -4341    -4696    -6261    -23665    -59668    -27443
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51    -1568    -1950    -2243    -2287    -2681    -4397    -4778    -6352    -23504    -59586    -27592
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52    -1536    -1923    -2241    -2327    -2780    -4385    -4732    -6383    -23299    -59682    -27532
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53    -1547    -1926    -2220    -2268    -2696    -4306    -4614    -6270    -23527    -59969    -27666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54    -1562    -1957    -2273    -2343    -2752    -4387    -4721    -6292    -23641    -59901    -27724
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55    -1531    -1903    -2193    -2243    -2677    -4325    -4647    -6369    -23494    -59599    -27618
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56    -1550    -1940    -2255    -2334    -2760    -4407    -4743    -6226    -23650    -59524    -27511
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57    -1554    -1933    -2222    -2263    -2665    -4344    -4691    -6341    -23507    -59538    -27809
