ROI net sum

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
--------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  8781 9352 13021 1082963 8307 28460 1088349 4069 69386 23029 71607
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  8796 9063 12756 1078180 8458 28717 1084536 4199 70372 22606 72265
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 8842 9318 12825 1075552 8285 28819 1085237 4265 69732 22292 72740
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 8768 9268 12849 1076587 8437 29353 1083416 4345 69382 21952 71964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 8783 9102 13030 1076086 8085 29048 1084629 4333 69906 23068 71456
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 8702 9431 12837 1077281 8198 28921 1082178 4209 70552 22657 72082
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 8676 9372 12660 1077475 8170 28643 1083028 4309 69920 22618 71215
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 9069 9191 12791 1078774 8295 28623 1085858 4643 69277 22526 71613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 8747 9293 12728 1079486 8268 28641 1083746 4360 70405 22506 71832
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 8848 9260 12657 1079267 8078 28940 1084787 4314 69851 22781 72093
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 8691 9301 12798 1078684 8277 29164 1084406 4409 70384 23023 72244
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 8883 9175 12503 1079368 7879 28725 1087166 4303 69278 22723 72216
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  8877 9133 12994 1078768 8149 29095 1084573 4168 70422 22284 71932
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 8820 9315 12713 1078252 7772 28943 1084711 4027 70517 22294 72104
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 8856 9175 12825 1079486 8336 29043 1084102 4244 70648 22774 72666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 8954 9262 12800 1080923 8116 28871 1085303 3946 69903 22414 71589
