Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  13.96 4.12 1.70 63.34 0.21 0.74 15.67 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  14.32 4.09 1.68 63.12 0.21 0.75 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 14.34 4.18 1.69 63.00 0.22 0.75 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 14.19 4.11 1.69 63.17 0.22 0.76 15.61 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 14.13 4.07 1.71 63.21 0.21 0.76 15.66 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 13.95 4.20 1.69 63.29 0.22 0.75 15.64 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 13.85 4.15 1.67 63.39 0.22 0.75 15.71 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 14.36 4.06 1.67 63.12 0.21 0.74 15.58 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 13.99 4.14 1.68 63.31 0.22 0.74 15.65 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 14.24 4.16 1.69 63.12 0.21 0.75 15.58 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 13.91 4.14 1.68 63.34 0.22 0.76 15.71 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 14.19 4.08 1.64 63.22 0.20 0.75 15.67 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  14.21 4.05 1.71 63.20 0.21 0.76 15.60 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 14.16 4.17 1.68 63.18 0.19 0.75 15.61 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 14.27 4.09 1.69 63.14 0.22 0.76 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 14.29 4.09 1.68 63.17 0.21 0.75 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 14.22 4.16 1.71 63.13 0.21 0.75 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 14.28 4.17 1.71 63.09 0.21 0.75 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 14.05 4.10 1.69 63.27 0.20 0.74 15.69 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 14.40 4.11 1.75 63.04 0.20 0.74 15.52 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 14.15 4.09 1.68 63.23 0.22 0.75 15.63 0.03 0.19 0.03 0.00
