ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     Fe    Sr     Rh
------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0   13639 14379 19733 1656012 12265 44195 1641549  6464 103962 34178 110630
SRM_1831_300s_20x20det_2_0_1   13708 14124 19715 1652840 12515 43725 1639687  6488 105666 33885 110999
SRM_1831_300s_20x20det_2_0_10  13848 14361 19645 1658659 12691 44475 1649559  6319 105685 35151 111397
SRM_1831_300s_20x20det_2_0_11  13697 14283 19531 1659162 12315 44451 1650692  6545 105045 34394 111120
SRM_1831_300s_20x20det_2_0_12  13593 14089 19493 1660864 12702 43932 1652584  6222 106000 34367 111882
SRM_1831_300s_20x20det_2_0_13  13629 14156 19745 1659573 12248 44146 1650132  6250 104792 34506 111867
SRM_1831_300s_20x20det_2_0_14  13681 14226 19800 1660400 12461 44267 1651932  6385 105669 34076 111473
SRM_1831_300s_20x20det_2_0_15  13664 14327 19590 1656038 12663 44562 1648864  6147 105744 34000 112053
SRM_1831_300s_20x20det_2_0_16  13669 14199 19902 1659863 12563 44044 1649488  6321 105166 35043 111379
SRM_1831_300s_20x20det_2_0_17  13667 14379 19865 1658558 12726 43966 1645826  6752 104874 34152 111551
SRM_1831_300s_20x20det_2_0_18  13834 14363 20202 1655988 12901 44012 1648370  6245 105046 34101 110905
SRM_1831_300s_20x20det_2_0_19  13794 14258 19665 1660350 12522 43784 1650119  6663 105443 34405 111378
SRM_1831_300s_20x20det_2_0_2    2542  2607  3520  300556  2361  7920  298564  1247  19401  6891  20277
SRM_1831_300s_20x20det_2_0_3   13717 14146 19768 1655511 12460 43950 1642400  6667 104662 33964 112156
SRM_1831_300s_20x20det_2_0_4   13769 14122 19881 1658250 12613 43832 1646708  6617 104659 34697 111700
SRM_1831_300s_20x20det_2_0_5   13645 14425 19729 1656492 12715 43700 1646800  6614 107133 34134 111277
SRM_1831_300s_20x20det_2_0_6   13555 14200 20084 1663642 12512 44319 1653369  6501 105681 33950 111213
SRM_1831_300s_20x20det_2_0_7   13695 14239 19912 1661931 12552 44115 1651974  6562 105644 34204 111962
SRM_1831_300s_20x20det_2_0_8   13776 14322 19840 1660637 12635 44241 1651097  6378 105293 34595 111385
SRM_1831_300s_20x20det_2_0_9   13327 13846 19283 1617732 12642 44043 1645565  6657 105839 33951 111746
SRM_1831_300s_20x20det_2_10_0  13732 14112 19996 1655619 12651 43945 1646644  6634 105704 34251 111636
SRM_1831_300s_20x20det_2_10_1  13447 14295 19937 1654969 12595 43950 1648318  6257 105174 34367 111562
SRM_1831_300s_20x20det_2_10_10 13113 13880 19178 1626512 12761 44183 1642177  6244 104580 34992 111243
SRM_1831_300s_20x20det_2_10_11 13576 14224 19854 1657118 12734 44508 1649042  6643 104904 34507 109489
SRM_1831_300s_20x20det_2_10_12 13647 14349 19759 1656542 12301 44088 1648493  6739 105168 34650 110263
SRM_1831_300s_20x20det_2_10_13 13546 14241 19784 1653687 12596 44208 1645424  6471 105591 34857 110654
SRM_1831_300s_20x20det_2_10_14 13547 14202 19564 1654657 12373 43349 1647629  6285 104928 34379 111158
SRM_1831_300s_20x20det_2_10_15 13716 14037 19760 1660098 12532 44099 1649255  6402 105184 33856 110641
SRM_1831_300s_20x20det_2_10_16 13861 14369 19888 1658089 12425 43961 1646950  6122 105793 34664 111434
SRM_1831_300s_20x20det_2_10_17 13669 14190 19714 1652867 12548 44293 1646413  6289 104165 35399 111028
SRM_1831_300s_20x20det_2_10_18 13497 14400 19526 1655787 12479 44217 1648104  6578 105105 34530 111296
SRM_1831_300s_20x20det_2_10_19 13560 14183 19713 1654776 12489 43781 1648892  6631 105975 34363 111499
SRM_1831_300s_20x20det_2_10_2  13546 14565 19771 1658578 12450 44076 1649556  6617 105616 33578 111178
SRM_1831_300s_20x20det_2_10_3  13651 14080 19775 1658559 12538 44551 1645462  6444 105480 34816 110973
SRM_1831_300s_20x20det_2_10_4  13561 14138 19933 1657113 12822 43948 1647707  6518 105701 34353 111146
SRM_1831_300s_20x20det_2_10_5  13764 14124 19756 1656454 12379 44007 1647920  6714 105462 33869 110142
SRM_1831_300s_20x20det_2_10_6  13485 13901 19724 1656083 12542 44002 1645527  6446 105069 34330 110500
SRM_1831_300s_20x20det_2_10_7  13586 14087 19733 1657731 12837 43983 1648676  5936 104824 34580 110300
SRM_1831_300s_20x20det_2_10_8  13785 14311 20066 1655113 12600 44077 1648941  6611 104454 34812 111158
SRM_1831_300s_20x20det_2_10_9   8424  8957 12310 1033635  8041 27532 1028355  4093  65282 22135  69321
SRM_1831_300s_20x20det_2_11_0  13657 14069 20080 1651897 12528 44117 1643719  6391 104544 34374 112047
SRM_1831_300s_20x20det_2_11_1  13811 14314 19718 1654551 12742 44033 1646389  6213 104867 34391 111327
SRM_1831_300s_20x20det_2_11_10 13608 14330 19725 1658512 12570 43621 1648945  6582 104612 35197 110818
SRM_1831_300s_20x20det_2_11_11 13702 14185 19829 1658504 12520 44277 1650162  6770 104962 34342 110513
SRM_1831_300s_20x20det_2_11_12 13585 14327 19679 1658469 12693 44271 1649071  6842 105511 33901 110255
SRM_1831_300s_20x20det_2_11_13 13761 14151 19707 1655671 12625 43780 1649310  6884 105907 34630 110545
SRM_1831_300s_20x20det_2_11_14 13444 13988 19956 1656583 12195 43868 1650768  6584 105797 34315 110615
SRM_1831_300s_20x20det_2_11_15 13644 14245 19744 1658541 12513 44517 1650514  6276 104746 33865 111471
SRM_1831_300s_20x20det_2_11_16  6199  6515  9231  774923  6029 20318  772102  3149  50109 16650  52621
SRM_1831_300s_20x20det_2_11_17 13555 14103 19471 1650417 12644 43840 1648608  6017 105572 34091 110132
SRM_1831_300s_20x20det_2_11_18 13536 14344 19673 1657604 12972 43994 1646671  6248 105649 34399 110465
SRM_1831_300s_20x20det_2_11_19 13634 14092 19843 1653485 12630 44398 1648825  6382 104569 34706 110973
SRM_1831_300s_20x20det_2_11_2  13617 14086 19900 1655176 12536 44149 1647871  6237 106102 35450 111096
SRM_1831_300s_20x20det_2_11_3   4536  4812  6657  551185  4119 14692  548257  2398  35506 11824  37097
SRM_1831_300s_20x20det_2_11_4  13890 14186 19929 1654343 12750 44196 1648725  6537 105238 34482 110399
SRM_1831_300s_20x20det_2_11_5  13808 14276 19828 1658134 12563 44423 1650217  6452 105255 34717 110858
SRM_1831_300s_20x20det_2_11_6  13883 14150 19737 1655420 12485 44236 1647119  6657 104866 34482 111067
SRM_1831_300s_20x20det_2_11_7  13508 14331 19707 1658888 12461 43825 1647012  6256 105066 34753 110493
SRM_1831_300s_20x20det_2_11_8  13461 13898 19638 1654847 12391 43720 1647829  6696 104988 34470 110372
SRM_1831_300s_20x20det_2_11_9   8227  8491 11845  994219  7450 26587  989558  4118  63336 21111  66637
SRM_1831_300s_20x20det_2_12_0  13750 14443 19679 1657270 12570 43819 1647470  6568 104913 33697 111776
SRM_1831_300s_20x20det_2_12_1   5741  6140  8253  695509  5271 18716  692360  2855  44129 14824  47018
SRM_1831_300s_20x20det_2_12_10 13537 14224 19586 1659860 12459 44017 1650133  6706 105272 34469 110828
SRM_1831_300s_20x20det_2_12_11 13929 14294 19423 1653787 12050 44083 1647908  6237 105255 34773 109687
SRM_1831_300s_20x20det_2_12_12 13440 14271 19624 1652426 12475 44120 1644934  6444 105219 34689 110511
SRM_1831_300s_20x20det_2_12_13 13394 14200 19789 1657214 12536 43933 1649643  6444 103979 34919 111226
SRM_1831_300s_20x20det_2_12_14 13770 14287 19928 1657460 12554 44365 1649018  6268 104442 34996 109990
SRM_1831_300s_20x20det_2_12_15 13512 14230 19871 1653135 12587 43147 1647723  6499 105168 34280 110396
SRM_1831_300s_20x20det_2_12_16 13538 14135 19489 1653678 12223 43975 1648255  6393 105175 34024 110988
SRM_1831_300s_20x20det_2_12_17 13526 14023 19808 1656099 12339 44030 1647069  6406 105749 34479 110619
