Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
----------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0   14.04 4.15 1.69 63.39 0.21 0.76 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_1   14.45 4.14 1.70 63.13 0.21 0.75 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_10  14.43 4.13 1.68 63.13 0.22 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_11  14.28 4.16 1.67 63.21 0.21 0.76 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_12  14.21 4.10 1.68 63.29 0.21 0.75 15.52 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_13  14.04 4.05 1.68 63.43 0.21 0.76 15.57 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_14  14.24 4.12 1.70 63.25 0.21 0.76 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_15  14.29 4.19 1.69 63.16 0.22 0.76 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_16  14.48 4.15 1.72 63.08 0.21 0.75 15.37 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_17  14.26 4.20 1.71 63.21 0.21 0.74 15.41 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_18  14.42 4.18 1.73 63.08 0.22 0.75 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_19  14.41 4.17 1.69 63.15 0.21 0.74 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_2   14.26 3.99 1.63 63.39 0.21 0.74 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_3   14.37 4.10 1.70 63.21 0.21 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_4   14.46 4.11 1.71 63.12 0.21 0.75 15.39 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_5   14.22 4.18 1.68 63.24 0.22 0.74 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_6   14.17 4.10 1.74 63.29 0.21 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_7   14.13 4.11 1.69 63.33 0.21 0.75 15.52 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_8   14.42 4.16 1.70 63.11 0.21 0.76 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_0_9   14.20 4.10 1.69 63.01 0.22 0.77 15.76 0.04 0.19 0.04 0.00
SRM_1831_300s_20x20det_2_10_0  14.26 4.10 1.72 63.22 0.22 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_1  14.22 4.18 1.72 63.21 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_10 13.97 4.09 1.66 63.27 0.22 0.77 15.76 0.03 0.19 0.04 0.00
SRM_1831_300s_20x20det_2_10_11 14.24 4.14 1.70 63.22 0.22 0.76 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_12 14.27 4.16 1.69 63.21 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_13 14.24 4.15 1.71 63.21 0.21 0.76 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_14 14.26 4.12 1.67 63.24 0.21 0.74 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_15 14.49 4.09 1.71 63.10 0.22 0.75 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_16 14.56 4.24 1.72 62.99 0.21 0.75 15.30 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_17 14.41 4.16 1.70 63.09 0.21 0.76 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_18 14.13 4.22 1.68 63.25 0.21 0.76 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_19 14.27 4.15 1.69 63.20 0.21 0.74 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_2  14.15 4.24 1.68 63.24 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_3  14.37 4.09 1.69 63.20 0.21 0.76 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_4  14.16 4.11 1.72 63.29 0.22 0.75 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_5  14.55 4.12 1.71 63.05 0.20 0.75 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_6  14.26 4.04 1.70 63.29 0.21 0.75 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_7  14.22 4.10 1.69 63.27 0.21 0.75 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_8  14.35 4.11 1.73 63.15 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_10_9  14.10 4.17 1.69 63.31 0.22 0.75 15.52 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_0  14.34 4.11 1.73 63.16 0.21 0.76 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_1  14.54 4.16 1.72 63.01 0.22 0.75 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_10 14.01 4.13 1.69 63.41 0.21 0.75 15.56 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_11_11 14.25 4.10 1.70 63.25 0.21 0.76 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_12 14.34 4.21 1.68 63.14 0.21 0.75 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_13 14.43 4.13 1.70 63.10 0.22 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_14 14.05 4.06 1.72 63.39 0.21 0.75 15.58 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_15 14.16 4.14 1.69 63.29 0.21 0.76 15.52 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_16 13.86 4.01 1.67 63.56 0.22 0.74 15.68 0.03 0.19 0.03 0.00
SRM_1831_300s_20x20det_2_11_17 14.25 4.13 1.69 63.19 0.21 0.75 15.53 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_18 14.17 4.17 1.68 63.28 0.22 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_19 14.40 4.14 1.69 63.10 0.21 0.76 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_2  14.22 4.09 1.72 63.26 0.21 0.75 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_3  14.15 4.15 1.70 63.30 0.21 0.76 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_4  14.40 4.10 1.71 63.13 0.22 0.75 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_5  14.50 4.16 1.70 63.06 0.21 0.75 15.37 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_6  14.47 4.09 1.70 63.10 0.21 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_7  14.05 4.14 1.70 63.38 0.21 0.75 15.51 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_8  14.04 4.05 1.69 63.41 0.21 0.75 15.59 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_11_9  14.26 4.08 1.70 63.26 0.21 0.75 15.48 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_0  14.39 4.19 1.70 63.11 0.21 0.74 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_1  14.05 4.17 1.69 63.33 0.21 0.76 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_10 14.27 4.18 1.69 63.21 0.21 0.75 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_11 14.55 4.18 1.67 63.02 0.20 0.75 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_12 14.28 4.24 1.71 63.14 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_13 14.00 4.16 1.71 63.37 0.21 0.75 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_14 14.35 4.13 1.73 63.14 0.21 0.76 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_15 14.28 4.19 1.70 63.16 0.22 0.74 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_16 14.34 4.14 1.68 63.17 0.20 0.75 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_17 14.39 4.11 1.73 63.16 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_18 14.56 4.20 1.66 63.01 0.21 0.75 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_19 14.44 4.09 1.66 63.16 0.20 0.75 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_2  13.94 4.16 1.74 63.37 0.21 0.76 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_3  14.38 4.21 1.73 63.09 0.21 0.75 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_4  14.11 4.18 1.73 63.29 0.22 0.74 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_5  13.92 4.09 1.71 63.44 0.22 0.75 15.62 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_6  14.45 4.26 1.72 63.01 0.21 0.74 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_7  14.10 4.15 1.72 63.32 0.21 0.75 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_8  14.13 4.07 1.69 63.36 0.21 0.75 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_12_9  14.09 4.23 1.71 63.28 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_0  14.06 3.97 1.66 63.49 0.20 0.75 15.61 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_1  14.17 4.16 1.73 63.26 0.21 0.76 15.47 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_10 14.37 4.18 1.71 63.13 0.21 0.74 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_11 14.27 4.14 1.68 63.22 0.22 0.76 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_12 14.11 4.13 1.70 63.28 0.21 0.75 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_13 14.06 4.07 1.70 63.40 0.21 0.75 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_14 14.37 4.14 1.67 63.16 0.22 0.75 15.43 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_15 14.16 4.11 1.73 63.29 0.21 0.75 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_16 14.20 4.14 1.69 63.28 0.22 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_13_17 14.25 4.10 1.69 63.26 0.21 0.75 15.48 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_13_18 14.27 4.23 1.71 63.18 0.21 0.75 15.40 0.03 0.18 0.03 0.00
