Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     Fe    Sr     Rh
------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0   10409 11958 16966 1828252  9669 51544 2034759  7365 129532 39971 134193
SRM_1831_300s_20x20det_2_0_1   10793 11905 17056 1825421  9953 50745 2034475  7531 130651 38998 135069
SRM_1831_300s_20x20det_2_0_10  10811 11932 16911 1831569 10283 51301 2044250  7375 131354 41073 136306
SRM_1831_300s_20x20det_2_0_11  10669 12024 16832 1832310 10050 51455 2046160  7392 130671 40320 135480
SRM_1831_300s_20x20det_2_0_12  10589 11815 16865 1833463 10131 50840 2049145  7252 131597 40186 136975
SRM_1831_300s_20x20det_2_0_13  10407 11670 16873 1832277  9734 51301 2044768  7203 130633 40089 137265
SRM_1831_300s_20x20det_2_0_14  10628 11893 17103 1833077  9841 51393 2047038  7102 131619 39536 136635
SRM_1831_300s_20x20det_2_0_15  10670 12086 16986 1828126 10212 51556 2043720  6875 132410 39684 136993
SRM_1831_300s_20x20det_2_0_16  10869 11999 17365 1831667 10084 51224 2043992  7133 131030 40757 135449
SRM_1831_300s_20x20det_2_0_17  10666 12153 17216 1831993 10066 50672 2041455  7652 130882 39855 136029
SRM_1831_300s_20x20det_2_0_18  10809 12071 17453 1829518 10330 51017 2043170  7061 130526 39927 135534
SRM_1831_300s_20x20det_2_0_19  10807 12051 17029 1833830 10024 50851 2044582  7337 130298 39831 135817
SRM_1831_300s_20x20det_2_0_2    1915  2074  2955  331630  1764  9075  369912  1163  23236  7106  24022
SRM_1831_300s_20x20det_2_0_3   10727 11802 17118 1828614 10093 51153 2036608  7048 130468 39760 136585
SRM_1831_300s_20x20det_2_0_4   10828 11866 17183 1830210 10076 51048 2042563  7615 130065 40605 136171
SRM_1831_300s_20x20det_2_0_5   10589 12047 16831 1828428 10188 50557 2041683  7387 132177 39903 135349
SRM_1831_300s_20x20det_2_0_6   10587 11869 17530 1836864  9868 51257 2049185  7406 131559 40012 136196
SRM_1831_300s_20x20det_2_0_7   10518 11871 17018 1834598 10041 51239 2048017  7493 130555 40330 137426
SRM_1831_300s_20x20det_2_0_8   10824 12045 17173 1833739 10206 51642 2046133  7027 130651 40027 136092
SRM_1831_300s_20x20det_2_0_9   10326 11574 16580 1785762  9997 51166 2039741  7592 131166 39820 136361
SRM_1831_300s_20x20det_2_10_0  10621 11822 17263 1828459 10273 51154 2042904  7401 131326 39490 135635
SRM_1831_300s_20x20det_2_10_1  10602 12064 17328 1828165  9957 50653 2043857  7154 131341 40359 135940
SRM_1831_300s_20x20det_2_10_10 10159 11584 16432 1797463 10180 51071 2036215  7049 130954 40991 135549
SRM_1831_300s_20x20det_2_10_11 10624 11960 17076 1830526 10268 51675 2044582  7321 130086 39922 133253
SRM_1831_300s_20x20det_2_10_12 10642 11999 16951 1829382  9719 51191 2045118  7438 130911 39796 134486
