Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
-----------------------------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0.spx   10141 11484 16088 1678040  9817     0  49649 1851768  6595   738  2783 120118  2591 15069  7094 35328 11256 129126     0
SRM_1831_300s_20x20det_1_0_1.spx   10269 11544 15785 1672350 10005     0  52531 1850499  6715   531  2802 119216  2549 15018  6152 36091 11255 130727     0
SRM_1831_300s_20x20det_1_0_10.spx  10444 11889 16055 1679078 10130     0  48018 1854593  6302   367  2639 120385  2485 14404  6754 35321 11708 129945     0
SRM_1831_300s_20x20det_1_0_11.spx  10154 11571 16038 1677517  9998   234  53544 1861152  6677   638  2626 119814  1852 14324  6873 35733 10918 129706     0
SRM_1831_300s_20x20det_1_0_12.spx   9907 11674 15804 1680203  9949     0  48566 1860261  6482   334  2714 119677  2659 14707  7249 36211 11334 129875     0
SRM_1831_300s_20x20det_1_0_13.spx  10338 11594 16184 1675310 10247   131  54618 1860487  6916   453  2394 120753  2469 15045  7969 35560 11769 130612     0
SRM_1831_300s_20x20det_1_0_14.spx  10624 11536 16040 1674775  9961     1  49814 1857543  6633    65  2348 119738  2181 14033  6852 36312 11034 130647     0
SRM_1831_300s_20x20det_1_0_15.spx  10486 11396 15809 1676739 10169     0  56106 1859572  6332   587  2507 119819  2556 15312  6776 34973 11425 130277     0
SRM_1831_300s_20x20det_1_0_16.spx  10491 11788 15863 1676851 10151     0  53849 1858845  6350   331  2977 120306  2479 14845  6766 34877 11387 130427     0
SRM_1831_300s_20x20det_1_0_17.spx  10428 11634 15776 1675409  9945   228  53580 1854888  6443   373  2316 120140  2637 14751  7211 35806 10808 130321     0
SRM_1831_300s_20x20det_1_0_18.spx  10294 11397 15576 1679265  9788     0  52102 1861115  6602   610  2681 120836  3194 15252  6485 36247 11369 130374     0
SRM_1831_300s_20x20det_1_0_19.spx  10403 11512 16004 1677866 10111   228  49117 1858685  6551   765  2607 119511  2804 14710  7048 36106 11819 130710     0
SRM_1831_300s_20x20det_1_0_2.spx   10187 11594 15760 1669947  9787     0  47438 1846540  6759   604  2276 119551  2562 14757  6661 34981 11848 129379     0
SRM_1831_300s_20x20det_1_0_3.spx   10338 11428 15668 1680751  9822   111  53228 1856018  6503   381  2592 120088  2474 14480  6948 35666 11929 130030     0
SRM_1831_300s_20x20det_1_0_4.spx   10259 11603 15800 1674419  9954     0  52570 1855467  6434   328  2757 119928  2353 14342  6948 35499 10972 129296     0
SRM_1831_300s_20x20det_1_0_5.spx   10345 11592 16078 1673450  9928     0  51863 1855539  6567   691  2363 119940  2059 14643  6264 35108 11653 130225     0
SRM_1831_300s_20x20det_1_0_6.spx   10319 11460 15918 1679333 10052     0  50047 1862987  6430   455  2748 121069  2593 14998  6757 35164 11853 130767     0
SRM_1831_300s_20x20det_1_0_7.spx   10215 11718 15845 1678341  9958    67  58555 1860340  6654   447  2527 119645  2261 14547  7076 35266 11857 129847     0
SRM_1831_300s_20x20det_1_0_8.spx   10300 11618 15897 1681808  9870     0  53619 1861267  6707   426  2865 120488  2001 14323  7367 36072 11282 131006     0
SRM_1831_300s_20x20det_1_0_9.spx    9758 11606 15143 1633932  9994  1203  53163 1852198  6132   667  2630 118852  2042 14227  6316 35474 11043 129731     0
SRM_1831_300s_20x20det_1_1_0.spx   10186 11750 15719 1674003 10267     0  46369 1862533  6540   218  2053 119876  1200 14681  7177 35064 11698 131795     0
SRM_1831_300s_20x20det_1_1_1.spx   10025 11771 15947 1677244 10032     0  53337 1861220  6796   306  2503 120163  3116 15113  6629 35800 11759 131414     0
SRM_1831_300s_20x20det_1_1_10.spx  10087 11539 15612 1674023 10207   170  50284 1858461  6444   423  2135 119992  2679 15468  7231 35380 11027 129814     0
SRM_1831_300s_20x20det_1_1_11.spx  10459 11545 16002 1675377 10153   107  54901 1858480  6448   268  2245 119997  2185 14807  6491 35843 11673 130657     0
SRM_1831_300s_20x20det_1_1_12.spx  10044 11814 15611 1672828 10032     0  51541 1857968  6237   685  1830 120504  2552 15243  6728 35318 11360 130446     0
SRM_1831_300s_20x20det_1_1_13.spx  10174 11594 15556 1675946 10052     0  54126 1859027  6921   574  2620 120503  2479 14622  6290 35272 11651 129398     0
SRM_1831_300s_20x20det_1_1_14.spx  10379 11525 15677 1675138 10170     0  46168 1857172  6640   592  2681 119763  2148 15118  6821 36580 11391 130657     0
SRM_1831_300s_20x20det_1_1_15.spx  10007 11480 15640 1674839 10083     0  47735 1859081  6674   723  1724 119572  2120 14030  6799 35598 11478 131521     0
SRM_1831_300s_20x20det_1_1_16.spx  10087 11568 16477 1675477  9978   467  46880 1860024  6906   584  2525 120681  2364 14110  6801 36119 11594 129884     0
SRM_1831_300s_20x20det_1_1_17.spx  10145 11462 15914 1672832 10044   157  50578 1852535  6456   597  2377 119979  2781 14193  6349 36234 10755 131244     0
SRM_1831_300s_20x20det_1_1_18.spx  10333 11510 15770 1673465  9991     0  47370 1857238  6358   341  2389 119795  1879 14469  6749 36181 11640 129986     0
SRM_1831_300s_20x20det_1_1_19.spx  10301 11692 16015 1672043 10049   135  52005 1856617  6858   553  2617 120409  2441 14479  7020 34690 11278 130882     0
SRM_1831_300s_20x20det_1_1_2.spx   10276 11735 16147 1679839 10010     0  50543 1858708  6762   582  2161 120177  2723 14908  7086 36096 11491 130480     0
SRM_1831_300s_20x20det_1_1_3.spx    9950 11695 15723 1674163  9825     0  51229 1858213  6163  1005  2262 120614  2296 14537  6896 35585 11756 130864     0
SRM_1831_300s_20x20det_1_1_4.spx   10010 11752 15733 1675824  9719     0  54562 1861177  6817   445  2244 121396  2529 14671  6043 34889 10771 130862     0
SRM_1831_300s_20x20det_1_1_5.spx   10374 11811 15707 1674036  9957   183  57555 1857141  6463   313  2553 120499  2166 14836  7805 35946 10766 131293     0
SRM_1831_300s_20x20det_1_1_6.spx   10194 11392 16061 1677031  9992    49  53847 1855996  6624   618  2645 120512  2308 13694  7093 35896 11541 130276     0
SRM_1831_300s_20x20det_1_1_7.spx   10241 11629 15855 1672231  9729   125  45727 1857266  6611   749  2150 120071  2478 14144  7367 36562 11474 130544     0
SRM_1831_300s_20x20det_1_1_8.spx   10270 11622 15909 1674052  9881     0  54561 1859152  6581   412  2288 118948  2589 14802  6029 35818 11072 130002     0
SRM_1831_300s_20x20det_1_1_9.spx   10238 11319 15461 1672943  9965     0  52910 1857856  6607   250  2640 120068  2383 14073  6937 36106 12067 130694     0
SRM_1831_300s_20x20det_1_10_0.spx  10368 11873 15951 1678706  9954     0  51630 1860165  6121   304  2112 119772  2447 14846  7246 35024 11237 131337     0
SRM_1831_300s_20x20det_1_10_1.spx   1478  1509  2259  241538  1363    22   6931  268575   950    46   142  17112   241  1834  1078  5035  1561  18395     0
SRM_1831_300s_20x20det_1_10_10.spx 10153 11619 15647 1660265 10167   129  49885 1853644  6639   365  2570 119635  1534 14179  6999 35450 11276 131554     0
