Net counts

Spectrum                            Si      Ca     Rh
-----------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   1658759 1819528 117948
SRM_1831_300s_20x20det_1_0_1   1652514 1818754 119765
SRM_1831_300s_20x20det_1_0_10  1659391 1822695 119063
SRM_1831_300s_20x20det_1_0_11  1657514 1829239 119433
SRM_1831_300s_20x20det_1_0_12  1660947 1828444 119259
SRM_1831_300s_20x20det_1_0_13  1655264 1827939 119005
SRM_1831_300s_20x20det_1_0_14  1655124 1825386 119627
SRM_1831_300s_20x20det_1_0_15  1657189 1827352 119350
SRM_1831_300s_20x20det_1_0_16  1656961 1826502 119252
SRM_1831_300s_20x20det_1_0_17  1655748 1822534 119881
SRM_1831_300s_20x20det_1_0_18  1660094 1829070 119317
SRM_1831_300s_20x20det_1_0_19  1657941 1826255 119978
SRM_1831_300s_20x20det_1_0_2   1650205 1814633 118696
SRM_1831_300s_20x20det_1_0_3   1660880 1824259 119806
SRM_1831_300s_20x20det_1_0_4   1654706 1824007 117944
SRM_1831_300s_20x20det_1_0_5   1653701 1823382 119621
SRM_1831_300s_20x20det_1_0_6   1659717 1830797 120161
SRM_1831_300s_20x20det_1_0_7   1658775 1828340 119100
SRM_1831_300s_20x20det_1_0_8   1662448 1829350 120398
SRM_1831_300s_20x20det_1_0_9   1614620 1820446 119286
SRM_1831_300s_20x20det_1_1_0   1654103 1830475 120403
SRM_1831_300s_20x20det_1_1_1   1657619 1829172 120672
SRM_1831_300s_20x20det_1_1_10  1654225 1826295 119113
SRM_1831_300s_20x20det_1_1_11  1655515 1825872 119263
SRM_1831_300s_20x20det_1_1_12  1653236 1825597 119894
SRM_1831_300s_20x20det_1_1_13  1656169 1826366 119032
SRM_1831_300s_20x20det_1_1_14  1655237 1824879 120025
SRM_1831_300s_20x20det_1_1_15  1655099 1827363 120420
SRM_1831_300s_20x20det_1_1_16  1655774 1827386 119043
SRM_1831_300s_20x20det_1_1_17  1653106 1820410 120926
SRM_1831_300s_20x20det_1_1_18  1653661 1825270 119593
SRM_1831_300s_20x20det_1_1_19  1651966 1824430 120233
SRM_1831_300s_20x20det_1_1_2   1660335 1826546 119739
SRM_1831_300s_20x20det_1_1_3   1654148 1826076 119690
SRM_1831_300s_20x20det_1_1_4   1656279 1829155 119491
SRM_1831_300s_20x20det_1_1_5   1654415 1824981 120302
SRM_1831_300s_20x20det_1_1_6   1657355 1823471 119580
SRM_1831_300s_20x20det_1_1_7   1652323 1824938 119832
SRM_1831_300s_20x20det_1_1_8   1654002 1826953 119433
SRM_1831_300s_20x20det_1_1_9   1653359 1825557 119936
