ROI net sum

Spectrum                            Si      Ca     Rh
-----------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   1531720 1516896 103162
SRM_1831_300s_20x20det_1_0_1   1527607 1514254 104443
SRM_1831_300s_20x20det_1_0_10  1532341 1518082 103754
SRM_1831_300s_20x20det_1_0_11  1531946 1524469 103629
SRM_1831_300s_20x20det_1_0_12  1533820 1523903 103624
SRM_1831_300s_20x20det_1_0_13  1530885 1523586 103774
SRM_1831_300s_20x20det_1_0_14  1529245 1521678 103957
SRM_1831_300s_20x20det_1_0_15  1531207 1523453 103611
SRM_1831_300s_20x20det_1_0_16  1531485 1523177 103784
SRM_1831_300s_20x20det_1_0_17  1530392 1520350 104384
SRM_1831_300s_20x20det_1_0_18  1533338 1524105 103948
SRM_1831_300s_20x20det_1_0_19  1531993 1522716 104233
SRM_1831_300s_20x20det_1_0_2   1524405 1513150 103212
SRM_1831_300s_20x20det_1_0_3   1534381 1518920 103753
SRM_1831_300s_20x20det_1_0_4   1528534 1518875 103419
SRM_1831_300s_20x20det_1_0_5   1528489 1520097 103827
SRM_1831_300s_20x20det_1_0_6   1534006 1526424 103950
SRM_1831_300s_20x20det_1_0_7   1532502 1523432 103648
SRM_1831_300s_20x20det_1_0_8   1535671 1525547 104350
SRM_1831_300s_20x20det_1_0_9   1492444 1516522 103283
SRM_1831_300s_20x20det_1_1_0   1528110 1526020 105728
SRM_1831_300s_20x20det_1_1_1   1531649 1524808 105089
SRM_1831_300s_20x20det_1_1_10  1529643 1522691 103976
SRM_1831_300s_20x20det_1_1_11  1530041 1522932 104300
SRM_1831_300s_20x20det_1_1_12  1527909 1521755 104227
SRM_1831_300s_20x20det_1_1_13  1529512 1522872 103200
SRM_1831_300s_20x20det_1_1_14  1529127 1521629 104220
SRM_1831_300s_20x20det_1_1_15  1529614 1522504 104724
SRM_1831_300s_20x20det_1_1_16  1530577 1522581 103676
SRM_1831_300s_20x20det_1_1_17  1527966 1517338 104884
SRM_1831_300s_20x20det_1_1_18  1528977 1521516 103661
SRM_1831_300s_20x20det_1_1_19  1526656 1519729 104375
SRM_1831_300s_20x20det_1_1_2   1533112 1522203 104620
SRM_1831_300s_20x20det_1_1_3   1529344 1520985 104377
SRM_1831_300s_20x20det_1_1_4   1530510 1524098 104482
SRM_1831_300s_20x20det_1_1_5   1529337 1520676 104317
SRM_1831_300s_20x20det_1_1_6   1531011 1520155 103577
SRM_1831_300s_20x20det_1_1_7   1527396 1520233 103914
SRM_1831_300s_20x20det_1_1_8   1529293 1522474 103719
SRM_1831_300s_20x20det_1_1_9   1528372 1521892 104378
SRM_1831_300s_20x20det_1_10_0  1533211 1524589 104616
SRM_1831_300s_20x20det_1_10_1   220658  220108  15295
SRM_1831_300s_20x20det_1_10_10 1516233 1518854 105173
SRM_1831_300s_20x20det_1_10_11 1527763 1521105 103201
SRM_1831_300s_20x20det_1_10_12 1529448 1522683 103543
