ROI sum

Spectrum                            Si      Ca     Rh
-----------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   1534856 1523235 144365
SRM_1831_300s_20x20det_1_0_1   1530644 1520607 144442
SRM_1831_300s_20x20det_1_0_10  1535467 1524423 143191
SRM_1831_300s_20x20det_1_0_11  1535127 1530798 143319
SRM_1831_300s_20x20det_1_0_12  1536966 1530310 143907
SRM_1831_300s_20x20det_1_0_13  1533865 1529738 143270
SRM_1831_300s_20x20det_1_0_14  1532365 1527920 143450
SRM_1831_300s_20x20det_1_0_15  1534326 1529624 143532
SRM_1831_300s_20x20det_1_0_16  1534471 1529545 143736
SRM_1831_300s_20x20det_1_0_17  1533477 1526609 143717
SRM_1831_300s_20x20det_1_0_18  1536536 1530592 143685
SRM_1831_300s_20x20det_1_0_19  1534983 1529134 143782
SRM_1831_300s_20x20det_1_0_2   1527515 1519601 142946
SRM_1831_300s_20x20det_1_0_3   1537472 1525270 143667
SRM_1831_300s_20x20det_1_0_4   1531698 1525316 143205
SRM_1831_300s_20x20det_1_0_5   1531694 1526316 143588
SRM_1831_300s_20x20det_1_0_6   1537057 1532766 143772
SRM_1831_300s_20x20det_1_0_7   1535642 1529875 143624
SRM_1831_300s_20x20det_1_0_8   1538889 1532000 144248
SRM_1831_300s_20x20det_1_0_9   1495672 1523002 142907
SRM_1831_300s_20x20det_1_1_0   1531233 1532511 147933
SRM_1831_300s_20x20det_1_1_1   1534819 1531091 145660
SRM_1831_300s_20x20det_1_1_10  1532738 1529209 143070
SRM_1831_300s_20x20det_1_1_11  1532960 1529201 143519
SRM_1831_300s_20x20det_1_1_12  1531130 1527986 143651
SRM_1831_300s_20x20det_1_1_13  1532623 1529023 143250
SRM_1831_300s_20x20det_1_1_14  1532341 1527911 143961
SRM_1831_300s_20x20det_1_1_15  1532786 1528808 144286
SRM_1831_300s_20x20det_1_1_16  1533722 1528722 143255
SRM_1831_300s_20x20det_1_1_17  1530997 1523626 144347
SRM_1831_300s_20x20det_1_1_18  1532141 1527935 143502
SRM_1831_300s_20x20det_1_1_19  1529647 1526042 143578
SRM_1831_300s_20x20det_1_1_2   1536148 1528619 144862
SRM_1831_300s_20x20det_1_1_3   1532469 1527410 143925
SRM_1831_300s_20x20det_1_1_4   1533719 1530464 143781
SRM_1831_300s_20x20det_1_1_5   1532392 1526922 144111
SRM_1831_300s_20x20det_1_1_6   1534126 1526518 143418
SRM_1831_300s_20x20det_1_1_7   1530542 1526524 143822
SRM_1831_300s_20x20det_1_1_8   1532377 1528687 142973
SRM_1831_300s_20x20det_1_1_9   1531420 1528331 144076
SRM_1831_300s_20x20det_1_10_0  1536342 1531116 146149
SRM_1831_300s_20x20det_1_10_1   221107  221011  20916
SRM_1831_300s_20x20det_1_10_10 1519262 1525242 144218
SRM_1831_300s_20x20det_1_10_11 1530767 1527396 142932
SRM_1831_300s_20x20det_1_10_12 1532535 1529057 143128
SRM_1831_300s_20x20det_1_10_13 1530499 1527526 144491
SRM_1831_300s_20x20det_1_10_14 1534997 1529984 143497
SRM_1831_300s_20x20det_1_10_15 1531846 1526838 143480
SRM_1831_300s_20x20det_1_10_16 1533822 1528024 143527
SRM_1831_300s_20x20det_1_10_17 1532085 1527025 143959
SRM_1831_300s_20x20det_1_10_18 1527463 1526322 143583
SRM_1831_300s_20x20det_1_10_19 1535480 1528030 144352
SRM_1831_300s_20x20det_1_10_2  1534640 1526579 144328
SRM_1831_300s_20x20det_1_10_3  1532145 1528626 144413
SRM_1831_300s_20x20det_1_10_4  1533593 1523442 143926
SRM_1831_300s_20x20det_1_10_5  1534085 1525760 143779
SRM_1831_300s_20x20det_1_10_6  1531496 1528059 143596
SRM_1831_300s_20x20det_1_10_7  1532030 1527484 143966
SRM_1831_300s_20x20det_1_10_8  1535103 1525752 143652
SRM_1831_300s_20x20det_1_10_9  1533985 1528039 143704
SRM_1831_300s_20x20det_1_11_0  1527517 1522645 146760
SRM_1831_300s_20x20det_1_11_1  1533287 1527614 145745
SRM_1831_300s_20x20det_1_11_10 1532902 1528189 144384
SRM_1831_300s_20x20det_1_11_11 1534578 1529180 143435
SRM_1831_300s_20x20det_1_11_12 1532795 1526044 143491
SRM_1831_300s_20x20det_1_11_13 1535054 1527592 143293
SRM_1831_300s_20x20det_1_11_14 1534976 1528244 143127
SRM_1831_300s_20x20det_1_11_15 1530365 1528225 143494
SRM_1831_300s_20x20det_1_11_16 1531069 1528198 143151
SRM_1831_300s_20x20det_1_11_17 1480720 1521803 143366
SRM_1831_300s_20x20det_1_11_18 1533891 1529776 143240
SRM_1831_300s_20x20det_1_11_19 1531625 1527291 143227
SRM_1831_300s_20x20det_1_11_2  1527594 1525312 143800
SRM_1831_300s_20x20det_1_11_3  1531507 1528593 143515
SRM_1831_300s_20x20det_1_11_4  1528264 1523554 143179
SRM_1831_300s_20x20det_1_11_5  1533877 1527195 143561
SRM_1831_300s_20x20det_1_11_6  1533332 1528105 143270
SRM_1831_300s_20x20det_1_11_7  1534210 1526857 143168
SRM_1831_300s_20x20det_1_11_8  1533434 1526455 143864
SRM_1831_300s_20x20det_1_11_9  1524678 1520911 143367
SRM_1831_300s_20x20det_1_12_0  1531247 1525896 146617
SRM_1831_300s_20x20det_1_12_1  1533705 1529972 145014
SRM_1831_300s_20x20det_1_12_10 1537406 1530525 143713
SRM_1831_300s_20x20det_1_12_11 1529057 1524426 143308
SRM_1831_300s_20x20det_1_12_12 1532318 1525988 143407
SRM_1831_300s_20x20det_1_12_13 1534480 1527539 143328
SRM_1831_300s_20x20det_1_12_14 1531284 1527035 143418
SRM_1831_300s_20x20det_1_12_15 1532098 1526067 143628
SRM_1831_300s_20x20det_1_12_16 1530470 1525732 142796
SRM_1831_300s_20x20det_1_12_17 1530307 1528330 143049
SRM_1831_300s_20x20det_1_12_18 1529065 1527190 143926
SRM_1831_300s_20x20det_1_12_19 1520258 1525652 143235
SRM_1831_300s_20x20det_1_12_2  1535601 1529681 144272
SRM_1831_300s_20x20det_1_12_3  1532694 1530295 144090
SRM_1831_300s_20x20det_1_12_4  1530083 1525925 144659
SRM_1831_300s_20x20det_1_12_5  1531534 1526737 143346
SRM_1831_300s_20x20det_1_12_6  1532993 1527285 143539
SRM_1831_300s_20x20det_1_12_7  1534930 1527603 143575
SRM_1831_300s_20x20det_1_12_8  1532411 1524541 143932
SRM_1831_300s_20x20det_1_12_9  1531835 1529237 142810
SRM_1831_300s_20x20det_1_13_0  1532631 1526903 146111
SRM_1831_300s_20x20det_1_13_1  1532142 1528321 145229
SRM_1831_300s_20x20det_1_13_10 1537247 1529742 143524
SRM_1831_300s_20x20det_1_13_11 1537550 1530768 143383
SRM_1831_300s_20x20det_1_13_12 1524102 1525185 143037
SRM_1831_300s_20x20det_1_13_13 1536181 1528865 143561
SRM_1831_300s_20x20det_1_13_14 1533538 1528930 143861
SRM_1831_300s_20x20det_1_13_15 1534281 1526310 143395
SRM_1831_300s_20x20det_1_13_16 1534000 1532297 143782
SRM_1831_300s_20x20det_1_13_17 1532743 1525122 143271
SRM_1831_300s_20x20det_1_13_18 1537285 1530002 143844
SRM_1831_300s_20x20det_1_13_19 1534970 1529584 143881
SRM_1831_300s_20x20det_1_13_2  1531684 1528840 143722
SRM_1831_300s_20x20det_1_13_3  1533587 1524967 143005
SRM_1831_300s_20x20det_1_13_4  1530595 1525806 143473
SRM_1831_300s_20x20det_1_13_5  1531669 1525498 143341
SRM_1831_300s_20x20det_1_13_6  1533443 1527881 143581
SRM_1831_300s_20x20det_1_13_7  1527644 1527924 143314
SRM_1831_300s_20x20det_1_13_8  1534444 1528539 142679
SRM_1831_300s_20x20det_1_13_9  1531583 1527802 143788
SRM_1831_300s_20x20det_1_14_0  1537611 1529367 146453
SRM_1831_300s_20x20det_1_14_1  1532132 1527939 145501
SRM_1831_300s_20x20det_1_14_10 1535430 1528683 143991
SRM_1831_300s_20x20det_1_14_11 1533960 1528275 143906
SRM_1831_300s_20x20det_1_14_12 1535775 1527518 144488
SRM_1831_300s_20x20det_1_14_13 1537163 1529091 143920
SRM_1831_300s_20x20det_1_14_14 1536704 1529476 144081
SRM_1831_300s_20x20det_1_14_15 1533577 1525965 142970
SRM_1831_300s_20x20det_1_14_16 1535411 1529487 143529
SRM_1831_300s_20x20det_1_14_17 1534348 1527811 143446
SRM_1831_300s_20x20det_1_14_18 1534487 1529292 143425
SRM_1831_300s_20x20det_1_14_19 1535472 1528966 143865
SRM_1831_300s_20x20det_1_14_2  1530479 1528736 143441
SRM_1831_300s_20x20det_1_14_3  1534027 1527123 144279
SRM_1831_300s_20x20det_1_14_4  1532373 1526946 143519
SRM_1831_300s_20x20det_1_14_5  1533495 1525618 143357
SRM_1831_300s_20x20det_1_14_6  1534066 1527784 144111
SRM_1831_300s_20x20det_1_14_7  1528627 1527432 143843
SRM_1831_300s_20x20det_1_14_8  1532489 1526053 143251
SRM_1831_300s_20x20det_1_14_9  1483539 1519283 143685
SRM_1831_300s_20x20det_1_15_0  1535970 1528982 146802
SRM_1831_300s_20x20det_1_15_1  1536029 1529060 144565
SRM_1831_300s_20x20det_1_15_10 1532985 1525704 142914
SRM_1831_300s_20x20det_1_15_11 1530259 1525192 143242
SRM_1831_300s_20x20det_1_15_12 1529790 1526517 144046
SRM_1831_300s_20x20det_1_15_13 1533238 1525572 143503
SRM_1831_300s_20x20det_1_15_14 1529063 1526160 144053
SRM_1831_300s_20x20det_1_15_15 1532039 1530236 142942
SRM_1831_300s_20x20det_1_15_16 1534938 1529650 143988
SRM_1831_300s_20x20det_1_15_17 1536385 1530358 143107
SRM_1831_300s_20x20det_1_15_18 1533147 1527310 143501
SRM_1831_300s_20x20det_1_15_19 1537136 1530237 143496
SRM_1831_300s_20x20det_1_15_2  1532185 1532940 144554
SRM_1831_300s_20x20det_1_15_3  1533689 1528520 143697
SRM_1831_300s_20x20det_1_15_4  1530506 1528250 143389
SRM_1831_300s_20x20det_1_15_5  1533900 1528466 143883
SRM_1831_300s_20x20det_1_15_6  1534597 1531076 143736
SRM_1831_300s_20x20det_1_15_7  1534303 1527942 144225
SRM_1831_300s_20x20det_1_15_8  1532091 1525996 143535
SRM_1831_300s_20x20det_1_15_9  1532124 1524798 143652
SRM_1831_300s_20x20det_1_16_0  1536060 1529897 146478
SRM_1831_300s_20x20det_1_16_1  1533687 1529036 144309
SRM_1831_300s_20x20det_1_16_10 1533903 1528374 144141
SRM_1831_300s_20x20det_1_16_11 1536410 1531090 143278
SRM_1831_300s_20x20det_1_16_12 1533643 1530174 143023
SRM_1831_300s_20x20det_1_16_13 1413211 1511526 143667
SRM_1831_300s_20x20det_1_16_14 1534301 1526806 143818
SRM_1831_300s_20x20det_1_16_15 1533235 1528478 143506
SRM_1831_300s_20x20det_1_16_16 1536064 1528269 143629
SRM_1831_300s_20x20det_1_16_17 1533228 1529082 143753
SRM_1831_300s_20x20det_1_16_18 1537925 1531253 143774
SRM_1831_300s_20x20det_1_16_19 1533975 1528878 143868
SRM_1831_300s_20x20det_1_16_2  1536693 1528663 144279
SRM_1831_300s_20x20det_1_16_3  1528766 1525059 143472
SRM_1831_300s_20x20det_1_16_4  1535217 1529532 143921
SRM_1831_300s_20x20det_1_16_5  1535666 1526338 143703
SRM_1831_300s_20x20det_1_16_6  1532943 1527703 142978
SRM_1831_300s_20x20det_1_16_7  1531887 1527716 143960
SRM_1831_300s_20x20det_1_16_8  1532824 1528284 144247
SRM_1831_300s_20x20det_1_16_9  1532656 1526053 143537
SRM_1831_300s_20x20det_1_17_0  1537273 1533546 146498
SRM_1831_300s_20x20det_1_17_1  1534721 1530866 145145
SRM_1831_300s_20x20det_1_17_10 1536639 1529264 143659
SRM_1831_300s_20x20det_1_17_11 1537548 1529838 144182
SRM_1831_300s_20x20det_1_17_12 1536242 1529949 143756
SRM_1831_300s_20x20det_1_17_13 1535209 1527898 143852
SRM_1831_300s_20x20det_1_17_14 1537149 1530810 143967
SRM_1831_300s_20x20det_1_17_15 1532086 1526719 143643
SRM_1831_300s_20x20det_1_17_16 1536952 1527919 143242
SRM_1831_300s_20x20det_1_17_17 1534585 1525741 143950
SRM_1831_300s_20x20det_1_17_18 1534141 1528065 143378
SRM_1831_300s_20x20det_1_17_19 1535443 1527343 143936
SRM_1831_300s_20x20det_1_17_2  1536945 1529562 144536
SRM_1831_300s_20x20det_1_17_3  1538063 1531201 144394
SRM_1831_300s_20x20det_1_17_4  1530966 1523832 144434
SRM_1831_300s_20x20det_1_17_5  1537058 1532365 143726
SRM_1831_300s_20x20det_1_17_6  1537732 1528364 144070
SRM_1831_300s_20x20det_1_17_7  1535115 1527139 143708
SRM_1831_300s_20x20det_1_17_8  1534848 1526482 144669
SRM_1831_300s_20x20det_1_17_9  1537298 1532679 143504
SRM_1831_300s_20x20det_1_18_0  1535084 1530229 146757
SRM_1831_300s_20x20det_1_18_1  1532426 1526993 145564
SRM_1831_300s_20x20det_1_18_10 1533620 1524751 143488
SRM_1831_300s_20x20det_1_18_11 1534548 1529482 143859
SRM_1831_300s_20x20det_1_18_12 1535410 1523983 143564
SRM_1831_300s_20x20det_1_18_13 1534494 1527049 143887
SRM_1831_300s_20x20det_1_18_14 1532354 1526679 144247
SRM_1831_300s_20x20det_1_18_15 1531096 1524752 144221
SRM_1831_300s_20x20det_1_18_16 1530186 1525675 143422
SRM_1831_300s_20x20det_1_18_17 1533204 1525845 143914
SRM_1831_300s_20x20det_1_18_18 1532521 1527164 143755
SRM_1831_300s_20x20det_1_18_19 1531994 1525295 144124
SRM_1831_300s_20x20det_1_18_2  1535156 1530719 144277
SRM_1831_300s_20x20det_1_18_3  1532966 1524714 143918
SRM_1831_300s_20x20det_1_18_4  1536578 1528319 144326
SRM_1831_300s_20x20det_1_18_5  1530241 1529274 143062
SRM_1831_300s_20x20det_1_18_6  1533684 1525415 143452
SRM_1831_300s_20x20det_1_18_7  1526003 1526496 143039
SRM_1831_300s_20x20det_1_18_8  1535018 1525737 143549
SRM_1831_300s_20x20det_1_18_9  1533612 1526874 143937
SRM_1831_300s_20x20det_1_19_0  1533832 1526020 146625
SRM_1831_300s_20x20det_1_19_1  1531896 1525289 144754
SRM_1831_300s_20x20det_1_19_10 1531535 1525772 144730
SRM_1831_300s_20x20det_1_19_11 1536044 1527430 144147
SRM_1831_300s_20x20det_1_19_12 1535171 1526763 144037
SRM_1831_300s_20x20det_1_19_13 1537991 1528957 143899
SRM_1831_300s_20x20det_1_19_14 1533696 1529025 144442
SRM_1831_300s_20x20det_1_19_15 1529619 1522090 143997
SRM_1831_300s_20x20det_1_19_16 1535121 1526150 144612
SRM_1831_300s_20x20det_1_19_17 1533348 1525345 143403
SRM_1831_300s_20x20det_1_19_18 1538152 1529496 144185
SRM_1831_300s_20x20det_1_19_19 1536329 1531047 144259
SRM_1831_300s_20x20det_1_19_2  1532129 1526394 144769
SRM_1831_300s_20x20det_1_19_3  1530562 1525035 144444
SRM_1831_300s_20x20det_1_19_4  1532081 1527301 143518
SRM_1831_300s_20x20det_1_19_5  1536581 1528757 143433
SRM_1831_300s_20x20det_1_19_6  1531764 1526517 143736
SRM_1831_300s_20x20det_1_19_7  1531665 1526553 143654
SRM_1831_300s_20x20det_1_19_8  1531416 1525602 144141
SRM_1831_300s_20x20det_1_19_9  1535569 1527855 144488
SRM_1831_300s_20x20det_1_2_0   1533451 1530766 147604
SRM_1831_300s_20x20det_1_2_1   1533361 1528811 145057
SRM_1831_300s_20x20det_1_2_10  1531901 1529655 143788
SRM_1831_300s_20x20det_1_2_11  1526973 1526669 143575
SRM_1831_300s_20x20det_1_2_12  1532358 1527719 142989
SRM_1831_300s_20x20det_1_2_13  1534077 1529868 144224
SRM_1831_300s_20x20det_1_2_14  1530043 1524646 143254
SRM_1831_300s_20x20det_1_2_15  1528748 1524182 142575
SRM_1831_300s_20x20det_1_2_16  1521282 1519136 143135
SRM_1831_300s_20x20det_1_2_17  1530247 1523176 143188
SRM_1831_300s_20x20det_1_2_18  1531307 1528886 143614
SRM_1831_300s_20x20det_1_2_19  1533153 1531571 144141
SRM_1831_300s_20x20det_1_2_2   1530078 1526868 144490
SRM_1831_300s_20x20det_1_2_3   1534794 1530816 143648
SRM_1831_300s_20x20det_1_2_4   1528729 1525397 143515
SRM_1831_300s_20x20det_1_2_5   1530650 1525854 144004
SRM_1831_300s_20x20det_1_2_6   1533928 1527624 143934
SRM_1831_300s_20x20det_1_2_7   1529220 1525079 143147
SRM_1831_300s_20x20det_1_2_8   1532138 1525585 143740
SRM_1831_300s_20x20det_1_2_9   1533346 1526856 143879
SRM_1831_300s_20x20det_1_3_0   1530327 1529981 147230
SRM_1831_300s_20x20det_1_3_1   1532206 1529373 145261
SRM_1831_300s_20x20det_1_3_10  1531802 1528967 143119
