Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0    9339  9401  8942 1659001  9049 40318 1814021  6521   511 119634  5356 30478 10067 117948
SRM_1831_300s_20x20det_1_0_1    9568  9539  8534 1652756  9248 40575 1813244  6641   318 119068  5516 31687  9940 119765
SRM_1831_300s_20x20det_1_0_10   9600  9634  8637 1659640  9470 39891 1817246  6264    49 120173  4603 30806 10414 119063
SRM_1831_300s_20x20det_1_0_11   9429  9543  8713 1657766  9160 40904 1823683  6424   232 119834  4463 30850  9768 119433
SRM_1831_300s_20x20det_1_0_12   9193  9709  8553 1661183  9283 41207 1822809  6378    98 119787  4746 31842 10067 119259
SRM_1831_300s_20x20det_1_0_13   9589  9428  8724 1655512  9489 40475 1822416  6702     0 120601  4999 30664 10490 119005
SRM_1831_300s_20x20det_1_0_14   9751  9318  8715 1655369  9079 40815 1819824  6549     0 119588  4728 31528  9855 119627
SRM_1831_300s_20x20det_1_0_15   9677  9330  8486 1657440  9471 40204 1821889  6266   299 119799  5364 30224 10310 119350
SRM_1831_300s_20x20det_1_0_16   9673  9636  8479 1657218  9397 40439 1820995  6185    78 120040  4896 30948 10064 119252
SRM_1831_300s_20x20det_1_0_17   9693  9685  8472 1656004  9251 40572 1817007  6341    22 119938  5020 31499  9520 119881
SRM_1831_300s_20x20det_1_0_18   9502  9399  8512 1660340  9245 40713 1823522  6501   211 120637  5208 31722 10191 119317
SRM_1831_300s_20x20det_1_0_19   9542  9336  8569 1658184  9324 40346 1820748  6527   382 119111  4643 31620 10687 119978
SRM_1831_300s_20x20det_1_0_2    9361  9207  8173 1650452  9206 40113 1809162  6657   349 119463  4695 30018 10577 118696
SRM_1831_300s_20x20det_1_0_3    9558  9477  8606 1661130  9203 40603 1818753  6342     0 119752  4578 30380 10765 119806
SRM_1831_300s_20x20det_1_0_4    9444  9454  8487 1654950  9174 40269 1818543  6425   146 119822  4453 30903  9698 117944
SRM_1831_300s_20x20det_1_0_5    9539  9435  8670 1653952  9311 40304 1817899  6515   400 119773  4680 30768 10572 119621
SRM_1831_300s_20x20det_1_0_6    9527  9280  8543 1659962  9445 40531 1825270  6379   263 120888  4603 30602 10718 120161
SRM_1831_300s_20x20det_1_0_7    9401  9471  8479 1659020  9245 40338 1822890  6563    81 119555  4529 30876 10481 119100
SRM_1831_300s_20x20det_1_0_8    9506  9429  8533 1662694  9223 40727 1823813  6619   163 120503  4225 31266 10145 120398
SRM_1831_300s_20x20det_1_0_9    8978  9513  8068 1614864  9175 40308 1814971  6050   341 118774  4374 31180  9801 119286
SRM_1831_300s_20x20det_1_1_0    9328  9614  8366 1654355  9343 40644 1824939  6500   101 119865  5209 30452 10423 120403
SRM_1831_300s_20x20det_1_1_1    9250  9689  8697 1657864  9327 40666 1823644  6629     0 119906  4907 31168 10320 120672
SRM_1831_300s_20x20det_1_1_10   9270  9412  8270 1654469  9489 40826 1820740  6343    73 119728  5744 30436 10012 119113
SRM_1831_300s_20x20det_1_1_11   9675  9358  8569 1655755  9296 40464 1820368  6327     0 119880  5055 31343 10297 119263
SRM_1831_300s_20x20det_1_1_12   9270  9707  8387 1653485  9254 40314 1820107  6188   576 120150  4867 30235 10286 119894
SRM_1831_300s_20x20det_1_1_13   9393  9492  8265 1656418  9236 39947 1820937  6833   173 120208  4459 30809 10329 119032
SRM_1831_300s_20x20det_1_1_14   9602  9355  8221 1655482  9507 39789 1819437  6541   258 119790  4871 31693 10233 120025
