ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti    Fe    Sr     Rh
----------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   12814 13307 18321 1531720 11804 40392 1516896 5887 96621 31898 103162
SRM_1831_300s_20x20det_1_0_1   12965 13387 17960 1527607 12122 40923 1514254 6086 96184 32620 104443
SRM_1831_300s_20x20det_1_0_10  12848 13472 18068 1532341 12121 40364 1518082 5625 96786 31967 103754
SRM_1831_300s_20x20det_1_0_11  12644 13301 18145 1531946 11925 40964 1524469 5832 96547 31867 103629
SRM_1831_300s_20x20det_1_0_12  12631 13478 17934 1533820 11826 41374 1523903 5752 97420 32862 103624
SRM_1831_300s_20x20det_1_0_13  13044 13446 18325 1530885 12213 40854 1523586 6339 97734 31717 103774
SRM_1831_300s_20x20det_1_0_14  12957 13132 17947 1529245 11879 40965 1521678 5974 96992 32671 103957
SRM_1831_300s_20x20det_1_0_15  13045 13255 17801 1531207 12016 40631 1523453 5806 96508 31743 103611
SRM_1831_300s_20x20det_1_0_16  13008 13498 18006 1531485 12221 40923 1523177 5681 96977 32076 103784
SRM_1831_300s_20x20det_1_0_17  13010 13431 17849 1530392 11826 40889 1520350 5816 97091 32457 104384
SRM_1831_300s_20x20det_1_0_18  12724 13161 17665 1533338 11960 40829 1524105 6003 97347 32591 103948
SRM_1831_300s_20x20det_1_0_19  12882 13194 18146 1531993 12069 40747 1522716 5864 95993 32781 104233
SRM_1831_300s_20x20det_1_0_2   12724 13162 17786 1524405 11909 40412 1513150 6067 96975 31850 103212
SRM_1831_300s_20x20det_1_0_3   12932 13197 17838 1534381 11795 40745 1518920 5834 97116 31822 103753
SRM_1831_300s_20x20det_1_0_4   12707 13318 17969 1528534 11886 40419 1518875 5792 96995 32086 103419
SRM_1831_300s_20x20det_1_0_5   12812 13276 18086 1528489 11976 40615 1520097 5899 96189 31467 103827
SRM_1831_300s_20x20det_1_0_6   12812 13269 18104 1534006 12096 40749 1526424 5894 98031 31972 103950
SRM_1831_300s_20x20det_1_0_7   12817 13487 17925 1532502 11968 40712 1523432 5940 96665 31722 103648
SRM_1831_300s_20x20det_1_0_8   12812 13359 17942 1535671 11909 40728 1525547 6013 97248 32480 104350
SRM_1831_300s_20x20det_1_0_9   12310 13195 17220 1492444 12047 40374 1516522 5816 96257 31939 103283
SRM_1831_300s_20x20det_1_10_0  13039 13729 18045 1533211 12021 40868 1524589 5580 97161 32145 104616
SRM_1831_300s_20x20det_1_10_1   1897  1842  2583  220658  1718  5956  220108  966 14124  5360  15295
SRM_1831_300s_20x20det_1_10_10 12588 13228 17670 1516233 12243 40524 1518854 6239 96820 32088 105173
SRM_1831_300s_20x20det_1_10_11 12828 13373 17894 1527763 12023 40631 1521105 5426 96683 31824 103201
SRM_1831_300s_20x20det_1_10_12 12865 13059 17838 1529448 11994 40839 1522683 5929 97191 31843 103543
SRM_1831_300s_20x20det_1_10_13 12903 13403 18093 1527561 12144 40689 1521184 6132 97605 32677 104502
SRM_1831_300s_20x20det_1_10_14 12916 13326 18000 1532027 12310 40664 1523592 5945 97738 32040 103726
SRM_1831_300s_20x20det_1_10_15 12552 13641 17669 1528704 11879 40877 1520576 5792 96191 32267 103986
SRM_1831_300s_20x20det_1_10_16 12938 13364 18033 1530719 12043 40698 1521675 5941 96648 32443 104017
SRM_1831_300s_20x20det_1_10_17 12796 13133 17809 1528881 12165 40538 1520598 5938 97252 32226 104476
SRM_1831_300s_20x20det_1_10_18 12562 13120 17963 1524267 12057 40681 1519864 5723 96423 32392 104326
SRM_1831_300s_20x20det_1_10_19 12670 13418 18027 1532331 12098 40911 1521630 5926 96502 31706 104775
SRM_1831_300s_20x20det_1_10_2  12735 13422 17948 1531481 11871 40549 1520277 6185 96851 31356 104201
SRM_1831_300s_20x20det_1_10_3  12780 13143 17865 1528903 11874 40419 1522191 5856 98660 32540 104463
SRM_1831_300s_20x20det_1_10_4  12722 13382 17913 1530569 12237 40488 1516952 5687 96354 32659 103941
SRM_1831_300s_20x20det_1_10_5  12702 13325 18170 1530899 11995 40718 1519357 5917 96732 32209 104894
SRM_1831_300s_20x20det_1_10_6  13017 13288 18038 1528437 12102 40805 1521837 5753 96436 31613 103845
SRM_1831_300s_20x20det_1_10_7  12589 13119 17862 1528773 11937 41034 1521136 6177 96432 31969 104083
SRM_1831_300s_20x20det_1_10_8  12551 12992 17901 1531883 11992 40524 1519344 6024 98113 32044 103826
SRM_1831_300s_20x20det_1_10_9  12578 13397 17991 1531014 12337 40682 1521659 5623 96936 32143 104421
SRM_1831_300s_20x20det_1_11_0  12767 13365 17940 1524400 11951 40582 1516353 6237 96632 32496 105717
SRM_1831_300s_20x20det_1_11_1  12707 13461 17932 1530172 12089 40440 1521079 6155 96213 31641 104856
SRM_1831_300s_20x20det_1_11_10 12706 13251 17872 1529769 11779 40599 1521703 5379 96950 32175 104911
SRM_1831_300s_20x20det_1_11_11 12897 13327 18108 1531520 12198 40904 1522808 6034 96935 31952 104020
SRM_1831_300s_20x20det_1_11_12 12901 13206 17987 1529650 11698 40823 1519839 5856 96830 32033 103941
SRM_1831_300s_20x20det_1_11_13 12795 13229 18080 1531986 12186 41005 1521223 5732 96733 32053 103608
SRM_1831_300s_20x20det_1_11_14 12871 13579 17740 1532064 12239 40690 1521905 5833 96677 31514 103672
SRM_1831_300s_20x20det_1_11_15 12667 13332 17733 1527275 11929 40782 1521820 6197 96219 31944 103988
SRM_1831_300s_20x20det_1_11_16 12666 13375 17623 1528042 12099 40604 1521897 6271 96762 31956 103736
SRM_1831_300s_20x20det_1_11_17 12117 12612 17030 1477635 11887 40692 1515447 5991 96961 31666 103954
SRM_1831_300s_20x20det_1_11_18 12566 13137 18090 1530840 12211 41006 1523423 5646 97198 32324 103959
SRM_1831_300s_20x20det_1_11_19 12529 13111 17889 1528433 11937 40876 1520848 5797 96780 31280 103314
SRM_1831_300s_20x20det_1_11_2  12845 13425 18050 1524546 11837 40896 1518976 6133 96192 32894 103385
SRM_1831_300s_20x20det_1_11_3  12646 13179 17880 1528384 12018 41014 1522210 6030 96785 32051 104176
SRM_1831_300s_20x20det_1_11_4  12845 13080 17879 1525177 12163 40479 1517188 5951 96806 32041 103989
SRM_1831_300s_20x20det_1_11_5  12866 13379 17949 1530703 12066 40897 1521106 5985 97223 31918 104055
