ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
----------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   12814 13307 18321 1531720 40392 1516896 5887  3544 96621 15566 10529 31898 14333 103162
SRM_1831_300s_20x20det_1_0_1   12965 13387 17960 1527607 40923 1514254 6086  3734 96184 16010 10131 32620 15140 104443
SRM_1831_300s_20x20det_1_0_10  12848 13472 18068 1532341 40364 1518082 5625  3259 96786 15450 10602 31967 14636 103754
SRM_1831_300s_20x20det_1_0_11  12644 13301 18145 1531946 40964 1524469 5832  3197 96547 15659 10359 31867 13940 103629
SRM_1831_300s_20x20det_1_0_12  12631 13478 17934 1533820 41374 1523903 5752  4598 97420 15416 10925 32862 15028 103624
SRM_1831_300s_20x20det_1_0_13  13044 13446 18325 1530885 40854 1523586 6339  3747 97734 15935 11382 31717 14241 103774
SRM_1831_300s_20x20det_1_0_14  12957 13132 17947 1529245 40965 1521678 5974  3937 96992 15079 10573 32671 14728 103957
SRM_1831_300s_20x20det_1_0_15  13045 13255 17801 1531207 40631 1523453 5806  3272 96508 15804 10527 31743 14366 103611
SRM_1831_300s_20x20det_1_0_16  13008 13498 18006 1531485 40923 1523177 5681  3772 96977 16270 10747 32076 14976 103784
SRM_1831_300s_20x20det_1_0_17  13010 13431 17849 1530392 40889 1520350 5816  3458 97091 16000 10544 32457 13968 104384
SRM_1831_300s_20x20det_1_0_18  12724 13161 17665 1533338 40829 1524105 6003  3667 97347 16058 10294 32591 14157 103948
SRM_1831_300s_20x20det_1_0_19  12882 13194 18146 1531993 40747 1522716 5864  3184 95993 15994 10785 32781 14998 104233
SRM_1831_300s_20x20det_1_0_2   12724 13162 17786 1524405 40412 1513150 6067  3885 96975 15707 10610 31850 14450 103212
SRM_1831_300s_20x20det_1_0_3   12932 13197 17838 1534381 40745 1518920 5834  3556 97116 15306 10410 31822 15235 103753
SRM_1831_300s_20x20det_1_0_4   12707 13318 17969 1528534 40419 1518875 5792  3829 96995 15751 10801 32086 14134 103419
SRM_1831_300s_20x20det_1_0_5   12812 13276 18086 1528489 40615 1520097 5899  3148 96189 15545 10282 31467 14162 103827
SRM_1831_300s_20x20det_1_0_6   12812 13269 18104 1534006 40749 1526424 5894  3862 98031 15644 10564 31972 15437 103950
SRM_1831_300s_20x20det_1_0_7   12817 13487 17925 1532502 40712 1523432 5940  3156 96665 15145 10686 31722 14730 103648
SRM_1831_300s_20x20det_1_0_8   12812 13359 17942 1535671 40728 1525547 6013  4026 97248 15262 10893 32480 13992 104350
SRM_1831_300s_20x20det_1_0_9   12310 13195 17220 1492444 40374 1516522 5816  3415 96257 15581  9992 31939 14260 103283
SRM_1831_300s_20x20det_1_10_0  13039 13729 18045 1533211 40868 1524589 5580  3253 97161 15665 11086 32145 14586 104616
SRM_1831_300s_20x20det_1_10_1   1897  1842  2583  220658  5956  220108  966   553 14124  2493  2224  5360  2962  15295
SRM_1831_300s_20x20det_1_10_10 12588 13228 17670 1516233 40524 1518854 6239  3651 96820 15431 10427 32088 14796 105173
SRM_1831_300s_20x20det_1_10_11 12828 13373 17894 1527763 40631 1521105 5426  3240 96683 15546 11175 31824 14923 103201
