ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr     Rh
----------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   12814 13307 18321 1531720 40392 1516896 5887 96621 31898 14333 103162
SRM_1831_300s_20x20det_1_0_1   12965 13387 17960 1527607 40923 1514254 6086 96184 32620 15140 104443
SRM_1831_300s_20x20det_1_0_10  12848 13472 18068 1532341 40364 1518082 5625 96786 31967 14636 103754
SRM_1831_300s_20x20det_1_0_11  12644 13301 18145 1531946 40964 1524469 5832 96547 31867 13940 103629
SRM_1831_300s_20x20det_1_0_12  12631 13478 17934 1533820 41374 1523903 5752 97420 32862 15028 103624
SRM_1831_300s_20x20det_1_0_13  13044 13446 18325 1530885 40854 1523586 6339 97734 31717 14241 103774
SRM_1831_300s_20x20det_1_0_14  12957 13132 17947 1529245 40965 1521678 5974 96992 32671 14728 103957
SRM_1831_300s_20x20det_1_0_15  13045 13255 17801 1531207 40631 1523453 5806 96508 31743 14366 103611
SRM_1831_300s_20x20det_1_0_16  13008 13498 18006 1531485 40923 1523177 5681 96977 32076 14976 103784
SRM_1831_300s_20x20det_1_0_17  13010 13431 17849 1530392 40889 1520350 5816 97091 32457 13968 104384
SRM_1831_300s_20x20det_1_0_18  12724 13161 17665 1533338 40829 1524105 6003 97347 32591 14157 103948
SRM_1831_300s_20x20det_1_0_19  12882 13194 18146 1531993 40747 1522716 5864 95993 32781 14998 104233
SRM_1831_300s_20x20det_1_0_2   12724 13162 17786 1524405 40412 1513150 6067 96975 31850 14450 103212
SRM_1831_300s_20x20det_1_0_3   12932 13197 17838 1534381 40745 1518920 5834 97116 31822 15235 103753
SRM_1831_300s_20x20det_1_0_4   12707 13318 17969 1528534 40419 1518875 5792 96995 32086 14134 103419
SRM_1831_300s_20x20det_1_0_5   12812 13276 18086 1528489 40615 1520097 5899 96189 31467 14162 103827
SRM_1831_300s_20x20det_1_0_6   12812 13269 18104 1534006 40749 1526424 5894 98031 31972 15437 103950
SRM_1831_300s_20x20det_1_0_7   12817 13487 17925 1532502 40712 1523432 5940 96665 31722 14730 103648
SRM_1831_300s_20x20det_1_0_8   12812 13359 17942 1535671 40728 1525547 6013 97248 32480 13992 104350
SRM_1831_300s_20x20det_1_0_9   12310 13195 17220 1492444 40374 1516522 5816 96257 31939 14260 103283
SRM_1831_300s_20x20det_1_10_0  13039 13729 18045 1533211 40868 1524589 5580 97161 32145 14586 104616
SRM_1831_300s_20x20det_1_10_1   1897  1842  2583  220658  5956  220108  966 14124  5360  2962  15295
SRM_1831_300s_20x20det_1_10_10 12588 13228 17670 1516233 40524 1518854 6239 96820 32088 14796 105173
SRM_1831_300s_20x20det_1_10_11 12828 13373 17894 1527763 40631 1521105 5426 96683 31824 14923 103201
SRM_1831_300s_20x20det_1_10_12 12865 13059 17838 1529448 40839 1522683 5929 97191 31843 14308 103543
SRM_1831_300s_20x20det_1_10_13 12903 13403 18093 1527561 40689 1521184 6132 97605 32677 14193 104502
SRM_1831_300s_20x20det_1_10_14 12916 13326 18000 1532027 40664 1523592 5945 97738 32040 13716 103726
SRM_1831_300s_20x20det_1_10_15 12552 13641 17669 1528704 40877 1520576 5792 96191 32267 15251 103986
SRM_1831_300s_20x20det_1_10_16 12938 13364 18033 1530719 40698 1521675 5941 96648 32443 14896 104017
SRM_1831_300s_20x20det_1_10_17 12796 13133 17809 1528881 40538 1520598 5938 97252 32226 14229 104476
SRM_1831_300s_20x20det_1_10_18 12562 13120 17963 1524267 40681 1519864 5723 96423 32392 13911 104326
SRM_1831_300s_20x20det_1_10_19 12670 13418 18027 1532331 40911 1521630 5926 96502 31706 14558 104775
SRM_1831_300s_20x20det_1_10_2  12735 13422 17948 1531481 40549 1520277 6185 96851 31356 14006 104201
SRM_1831_300s_20x20det_1_10_3  12780 13143 17865 1528903 40419 1522191 5856 98660 32540 15154 104463
SRM_1831_300s_20x20det_1_10_4  12722 13382 17913 1530569 40488 1516952 5687 96354 32659 14891 103941
SRM_1831_300s_20x20det_1_10_5  12702 13325 18170 1530899 40718 1519357 5917 96732 32209 15044 104894
SRM_1831_300s_20x20det_1_10_6  13017 13288 18038 1528437 40805 1521837 5753 96436 31613 13438 103845
SRM_1831_300s_20x20det_1_10_7  12589 13119 17862 1528773 41034 1521136 6177 96432 31969 15260 104083
SRM_1831_300s_20x20det_1_10_8  12551 12992 17901 1531883 40524 1519344 6024 98113 32044 13434 103826
SRM_1831_300s_20x20det_1_10_9  12578 13397 17991 1531014 40682 1521659 5623 96936 32143 14615 104421
SRM_1831_300s_20x20det_1_11_0  12767 13365 17940 1524400 40582 1516353 6237 96632 32496 13635 105717
SRM_1831_300s_20x20det_1_11_1  12707 13461 17932 1530172 40440 1521079 6155 96213 31641 13965 104856
SRM_1831_300s_20x20det_1_11_10 12706 13251 17872 1529769 40599 1521703 5379 96950 32175 14773 104911
SRM_1831_300s_20x20det_1_11_11 12897 13327 18108 1531520 40904 1522808 6034 96935 31952 14826 104020
SRM_1831_300s_20x20det_1_11_12 12901 13206 17987 1529650 40823 1519839 5856 96830 32033 14051 103941
SRM_1831_300s_20x20det_1_11_13 12795 13229 18080 1531986 41005 1521223 5732 96733 32053 14277 103608
SRM_1831_300s_20x20det_1_11_14 12871 13579 17740 1532064 40690 1521905 5833 96677 31514 13809 103672
SRM_1831_300s_20x20det_1_11_15 12667 13332 17733 1527275 40782 1521820 6197 96219 31944 13928 103988
SRM_1831_300s_20x20det_1_11_16 12666 13375 17623 1528042 40604 1521897 6271 96762 31956 14192 103736
SRM_1831_300s_20x20det_1_11_17 12117 12612 17030 1477635 40692 1515447 5991 96961 31666 14784 103954
SRM_1831_300s_20x20det_1_11_18 12566 13137 18090 1530840 41006 1523423 5646 97198 32324 14020 103959
SRM_1831_300s_20x20det_1_11_19 12529 13111 17889 1528433 40876 1520848 5797 96780 31280 14229 103314
SRM_1831_300s_20x20det_1_11_2  12845 13425 18050 1524546 40896 1518976 6133 96192 32894 14423 103385
SRM_1831_300s_20x20det_1_11_3  12646 13179 17880 1528384 41014 1522210 6030 96785 32051 14159 104176
SRM_1831_300s_20x20det_1_11_4  12845 13080 17879 1525177 40479 1517188 5951 96806 32041 15438 103989
SRM_1831_300s_20x20det_1_11_5  12866 13379 17949 1530703 40897 1521106 5985 97223 31918 13940 104055
SRM_1831_300s_20x20det_1_11_6  13060 13280 17694 1530153 40721 1521832 5973 96812 31650 14061 103796
SRM_1831_300s_20x20det_1_11_7  12865 13285 17976 1531037 40833 1520490 5928 96281 31757 13857 103244
SRM_1831_300s_20x20det_1_11_8  12629 13231 18096 1530364 40804 1519958 5732 97169 31951 14401 104084
SRM_1831_300s_20x20det_1_11_9  12495 13133 17653 1521553 40755 1514456 5909 96957 31616 14491 103774
SRM_1831_300s_20x20det_1_12_0  12838 13403 18245 1528116 40655 1519465 6030 96442 31628 14471 105214
SRM_1831_300s_20x20det_1_12_1  12792 13380 17902 1530560 40722 1523591 6130 96516 31925 14367 104546
SRM_1831_300s_20x20det_1_12_10 12698 13390 17736 1534263 40783 1524143 6049 97586 31883 14940 104054
SRM_1831_300s_20x20det_1_12_11 12764 13317 17792 1525938 40446 1518149 6127 96361 32170 14652 103443
SRM_1831_300s_20x20det_1_12_12 13072 13337 17998 1529406 40086 1519598 5627 96715 32498 15052 103872
SRM_1831_300s_20x20det_1_12_13 12679 13118 17925 1531388 40669 1521336 5905 96457 31748 14770 103570
SRM_1831_300s_20x20det_1_12_14 12986 13090 17954 1528283 41098 1520688 6080 96383 32120 14600 103903
SRM_1831_300s_20x20det_1_12_15 12315 13275 17684 1528925 40304 1519574 6051 97292 32060 14658 104081
SRM_1831_300s_20x20det_1_12_16 12799 13376 17875 1527426 41104 1519355 5788 96578 32086 14794 103018
SRM_1831_300s_20x20det_1_12_17 12754 13204 18310 1527245 40736 1522030 6028 96830 31919 14914 103564
SRM_1831_300s_20x20det_1_12_18 12650 13082 17643 1526047 40661 1520763 6039 97079 31834 13650 104593
SRM_1831_300s_20x20det_1_12_19 12818 12994 17569 1517167 40690 1519421 5727 95973 32369 14308 104051
SRM_1831_300s_20x20det_1_12_2  12695 13146 17638 1532386 40888 1523197 6021 97555 32550 14817 104336
SRM_1831_300s_20x20det_1_12_3  12769 13174 17763 1529577 40714 1523909 6100 96894 31818 14658 104088
SRM_1831_300s_20x20det_1_12_4  13049 13306 18063 1527173 40591 1519855 6002 96438 32008 14060 104943
SRM_1831_300s_20x20det_1_12_5  12557 13503 17880 1528429 40796 1520336 5805 96702 32878 14908 103721
SRM_1831_300s_20x20det_1_12_6  12453 13225 18150 1529819 40644 1520869 5971 97531 32293 14732 104149
SRM_1831_300s_20x20det_1_12_7  12734 13180 17851 1531838 40430 1521126 5570 96709 31741 14928 103728
SRM_1831_300s_20x20det_1_12_8  12791 13264 17831 1529391 41171 1518341 5916 97465 32709 14608 104315
SRM_1831_300s_20x20det_1_12_9  12594 13367 18136 1528790 41284 1522949 5731 96831 31587 14579 103061
SRM_1831_300s_20x20det_1_13_0  12846 13356 18284 1529487 41238 1520574 5904 96132 32136 15017 105054
SRM_1831_300s_20x20det_1_13_1  13057 13236 17965 1528949 40735 1521929 6049 97386 31306 13816 104499
SRM_1831_300s_20x20det_1_13_10 12590 13384 17998 1534231 41232 1523334 5835 97468 32693 14710 103622
SRM_1831_300s_20x20det_1_13_11 12913 13302 17938 1534361 40759 1524328 5917 97336 32591 15054 103994
SRM_1831_300s_20x20det_1_13_12 12788 13360 17689 1520929 40431 1518586 5599 96517 31444 14554 103285
SRM_1831_300s_20x20det_1_13_13 12772 13104 18179 1533081 40425 1522487 5830 96326 31274 14065 104200
SRM_1831_300s_20x20det_1_13_14 12990 13436 18221 1530473 40666 1522668 5667 97068 31858 14171 104099
SRM_1831_300s_20x20det_1_13_15 12819 13402 17925 1531202 40848 1519839 6002 96589 32424 14709 103785
SRM_1831_300s_20x20det_1_13_16 12608 13356 17872 1530818 40916 1525960 6135 97616 32562 14187 104204
SRM_1831_300s_20x20det_1_13_17 12742 13384 17785 1529659 40852 1518712 6007 96437 32699 14373 103738
SRM_1831_300s_20x20det_1_13_18 12986 13350 18172 1534248 40931 1523722 5602 97359 31854 14331 104168
SRM_1831_300s_20x20det_1_13_19 12872 13196 17715 1531905 40786 1523187 5760 97979 31808 14317 104743
SRM_1831_300s_20x20det_1_13_2  12688 13289 18139 1528500 40398 1522594 6244 97107 32254 14411 104061
SRM_1831_300s_20x20det_1_13_3  12789 13154 17771 1530283 40859 1518630 5746 96649 32109 14589 103427
SRM_1831_300s_20x20det_1_13_4  12856 13132 17914 1527436 40500 1519412 5614 96552 32459 14145 103723
SRM_1831_300s_20x20det_1_13_5  12782 13281 17853 1528600 40768 1519130 5953 96754 32302 14647 104049
SRM_1831_300s_20x20det_1_13_6  12663 13292 17897 1530249 40599 1521529 5968 97023 32250 14372 104499
SRM_1831_300s_20x20det_1_13_7  12871 13344 17926 1524441 40820 1521499 5871 97017 32139 13310 103513
SRM_1831_300s_20x20det_1_13_8  12672 13057 18190 1531280 40867 1522177 6092 97133 31831 14104 103191
SRM_1831_300s_20x20det_1_13_9  12765 13266 17992 1528388 40813 1521437 5890 97438 32404 14653 104531
SRM_1831_300s_20x20det_1_14_0  12767 13537 18073 1534402 40624 1522893 6000 96196 32081 13536 105544
SRM_1831_300s_20x20det_1_14_1  12711 13461 18091 1528964 40590 1521864 6055 97049 31318 14065 105158
SRM_1831_300s_20x20det_1_14_10 12745 13360 18031 1532298 40513 1522359 5733 96187 32951 14372 104517
SRM_1831_300s_20x20det_1_14_11 12751 13415 18169 1530921 40654 1521813 6010 96115 32241 13865 104411
SRM_1831_300s_20x20det_1_14_12 12743 13072 17908 1532748 40841 1521282 6046 96894 31571 14271 104625
SRM_1831_300s_20x20det_1_14_13 12864 13279 17932 1534056 40680 1522824 5972 96409 31832 14396 104574
SRM_1831_300s_20x20det_1_14_14 12593 13292 17877 1533496 40885 1523185 5911 96861 32548 14457 104366
SRM_1831_300s_20x20det_1_14_15 12924 13476 18280 1530718 41049 1519851 6075 96937 32493 14814 103197
SRM_1831_300s_20x20det_1_14_16 12743 13455 17823 1532344 40621 1523239 6126 97062 32039 14388 103542
SRM_1831_300s_20x20det_1_14_17 12823 13438 17918 1531132 39867 1521432 5754 97215 31794 14928 104120
SRM_1831_300s_20x20det_1_14_18 12888 13358 17962 1531278 40604 1522928 5810 96330 31440 13600 103853
SRM_1831_300s_20x20det_1_14_19 12645 13225 17735 1532226 41153 1522581 6215 96558 32383 14754 104135
SRM_1831_300s_20x20det_1_14_2  12700 13427 17986 1527520 40778 1522497 6299 96535 31331 14711 103869
SRM_1831_300s_20x20det_1_14_3  12628 13350 17977 1531014 40797 1520705 5739 96742 31957 14264 104593
SRM_1831_300s_20x20det_1_14_4  12834 13237 17856 1529268 41025 1520626 5823 96194 32583 13574 103933
SRM_1831_300s_20x20det_1_14_5  12682 13270 18054 1530354 40356 1519127 6019 96779 32648 14722 103664
SRM_1831_300s_20x20det_1_14_6  12628 13425 17771 1530901 40873 1521242 5838 96475 31654 14256 104708
SRM_1831_300s_20x20det_1_14_7  12882 13373 17917 1525606 40566 1521198 5836 96717 31931 14286 104112
SRM_1831_300s_20x20det_1_14_8  12885 13136 18190 1529554 41050 1519774 6361 97046 31908 15385 103392
SRM_1831_300s_20x20det_1_14_9  12029 12984 17274 1480409 39952 1512912 5561 96304 31768 14695 103684
SRM_1831_300s_20x20det_1_15_0  12908 13382 18139 1532787 40832 1522796 6050 96799 32626 14496 105532
SRM_1831_300s_20x20det_1_15_1  13018 13505 17989 1532813 41187 1522714 6273 96919 32275 14779 104302
SRM_1831_300s_20x20det_1_15_10 12891 13360 17891 1530090 40588 1519280 6029 96732 31988 13887 103456
SRM_1831_300s_20x20det_1_15_11 12649 13390 17927 1527036 41061 1518748 5965 96445 31611 14354 103384
SRM_1831_300s_20x20det_1_15_12 12767 13191 18044 1526832 40936 1520174 5693 96850 31632 13942 104671
SRM_1831_300s_20x20det_1_15_13 12740 13450 17938 1530298 40240 1519267 5887 96658 31457 14958 103784
SRM_1831_300s_20x20det_1_15_14 12962 13221 17932 1526065 40844 1519904 5926 96520 32045 14502 104643
SRM_1831_300s_20x20det_1_15_15 12871 13301 17839 1528875 40936 1523991 6082 96701 32132 14353 103657
SRM_1831_300s_20x20det_1_15_16 12648 13423 18074 1531823 40674 1523460 6085 97289 31783 15313 104822
SRM_1831_300s_20x20det_1_15_17 12712 13140 18241 1533262 40625 1523820 5863 97302 32103 14598 103506
SRM_1831_300s_20x20det_1_15_18 12721 13519 18218 1530239 40538 1520934 5885 96567 31823 15064 103717
SRM_1831_300s_20x20det_1_15_19 12764 13367 17500 1533956 40823 1524030 5793 96339 32639 14791 103698
