ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn   Rb    Sr    Zr    Rh
--------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  8781 9352 13021 1082963 28460 1088349 4069  2200 69386 11227 7952 23029 10422 71607
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  8796 9063 12756 1078180 28717 1084536 4199  2638 70372 10907 7592 22606 10730 72265
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 8842 9318 12825 1075552 28819 1085237 4265  2726 69732 10922 7603 22292 10568 72740
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 8768 9268 12849 1076587 29353 1083416 4345  2221 69382 11106 7942 21952 10049 71964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 8783 9102 13030 1076086 29048 1084629 4333  2514 69906 11211 7897 23068 10449 71456
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 8702 9431 12837 1077281 28921 1082178 4209  2419 70552 11316 7883 22657 10306 72082
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 8676 9372 12660 1077475 28643 1083028 4309  2542 69920 11723 8393 22618 10869 71215
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 9069 9191 12791 1078774 28623 1085858 4643  2202 69277 11109 7741 22526  9921 71613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 8747 9293 12728 1079486 28641 1083746 4360  2612 70405 11055 8380 22506 10770 71832
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 8848 9260 12657 1079267 28940 1084787 4314  2408 69851 11265 8167 22781 10556 72093
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 8691 9301 12798 1078684 29164 1084406 4409  2671 70384 11855 8171 23023  9921 72244
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 8883 9175 12503 1079368 28725 1087166 4303  2332 69278 11682 8173 22723  9605 72216
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  8877 9133 12994 1078768 29095 1084573 4168  2703 70422 12062 7530 22284 10033 71932
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 8820 9315 12713 1078252 28943 1084711 4027  2454 70517 11710 8047 22294 10521 72104
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 8856 9175 12825 1079486 29043 1084102 4244  2899 70648 11814 8736 22774 10582 72666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 8954 9262 12800 1080923 28871 1085303 3946  2345 69903 11806 7251 22414 10140 71589
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 8891 9367 13014 1079898 29010 1085604 4222  2449 69879 11790 7661 22574 10142 72494
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 8865 9272 12976 1079343 28827 1084356 4425  2441 69845 11927 8299 22918 10673 72688
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 8722 9163 12761 1078554 28684 1087184 4150  2444 69932 11956 7896 22853 10449 71946
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 8969 9173 12971 1078028 28875 1084211 4297  2250 68955 11709 8322 22878 10416 71633
