ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca    Ti    Mn     Fe    Zn    Rb    Sr    Zr     Rh
------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0   13639 14379 19733 1656012 44195 1641549  6464  3339 103962 17014 10989 34178 14815 110630
SRM_1831_300s_20x20det_2_0_1   13708 14124 19715 1652840 43725 1639687  6488  4563 105666 16479 11880 33885 15586 110999
SRM_1831_300s_20x20det_2_0_10  13848 14361 19645 1658659 44475 1649559  6319  4206 105685 16703 11763 35151 15582 111397
SRM_1831_300s_20x20det_2_0_11  13697 14283 19531 1659162 44451 1650692  6545  3992 105045 16393 12032 34394 17233 111120
SRM_1831_300s_20x20det_2_0_12  13593 14089 19493 1660864 43932 1652584  6222  3564 106000 16631 11055 34367 15750 111882
SRM_1831_300s_20x20det_2_0_13  13629 14156 19745 1659573 44146 1650132  6250  3254 104792 16302 11340 34506 16084 111867
SRM_1831_300s_20x20det_2_0_14  13681 14226 19800 1660400 44267 1651932  6385  3684 105669 16862 11416 34076 14568 111473
SRM_1831_300s_20x20det_2_0_15  13664 14327 19590 1656038 44562 1648864  6147  3643 105744 16182 12231 34000 15813 112053
SRM_1831_300s_20x20det_2_0_16  13669 14199 19902 1659863 44044 1649488  6321  3678 105166 16604 11865 35043 15394 111379
SRM_1831_300s_20x20det_2_0_17  13667 14379 19865 1658558 43966 1645826  6752  3244 104874 17296 11454 34152 14895 111551
SRM_1831_300s_20x20det_2_0_18  13834 14363 20202 1655988 44012 1648370  6245  3769 105046 16656 12527 34101 15349 110905
SRM_1831_300s_20x20det_2_0_19  13794 14258 19665 1660350 43784 1650119  6663  3739 105443 16567 11586 34405 15215 111378
SRM_1831_300s_20x20det_2_0_2    2542  2607  3520  300556  7920  298564  1247  1060  19401  3051  2544  6891  3361  20277
SRM_1831_300s_20x20det_2_0_3   13717 14146 19768 1655511 43950 1642400  6667  3285 104662 16723 11277 33964 15567 112156
SRM_1831_300s_20x20det_2_0_4   13769 14122 19881 1658250 43832 1646708  6617  3301 104659 16886 11840 34697 16138 111700
SRM_1831_300s_20x20det_2_0_5   13645 14425 19729 1656492 43700 1646800  6614  4003 107133 16218 11918 34134 16196 111277
SRM_1831_300s_20x20det_2_0_6   13555 14200 20084 1663642 44319 1653369  6501  3351 105681 16949 11344 33950 16213 111213
SRM_1831_300s_20x20det_2_0_7   13695 14239 19912 1661931 44115 1651974  6562  3686 105644 16889 12287 34204 15534 111962
SRM_1831_300s_20x20det_2_0_8   13776 14322 19840 1660637 44241 1651097  6378  3944 105293 17556 11525 34595 15838 111385
SRM_1831_300s_20x20det_2_0_9   13327 13846 19283 1617732 44043 1645565  6657  3826 105839 17376 11863 33951 15934 111746
SRM_1831_300s_20x20det_2_10_0  13732 14112 19996 1655619 43945 1646644  6634  4086 105704 17008 11348 34251 15297 111636
SRM_1831_300s_20x20det_2_10_1  13447 14295 19937 1654969 43950 1648318  6257  3342 105174 16696 11041 34367 15718 111562
SRM_1831_300s_20x20det_2_10_10 13113 13880 19178 1626512 44183 1642177  6244  3384 104580 17144 11698 34992 15616 111243
SRM_1831_300s_20x20det_2_10_11 13576 14224 19854 1657118 44508 1649042  6643  3637 104904 16561 12478 34507 15966 109489
SRM_1831_300s_20x20det_2_10_12 13647 14349 19759 1656542 44088 1648493  6739  3479 105168 16851 12127 34650 15442 110263
SRM_1831_300s_20x20det_2_10_13 13546 14241 19784 1653687 44208 1645424  6471  3204 105591 16468 11953 34857 15665 110654
SRM_1831_300s_20x20det_2_10_14 13547 14202 19564 1654657 43349 1647629  6285  3778 104928 16471 11576 34379 15222 111158
SRM_1831_300s_20x20det_2_10_15 13716 14037 19760 1660098 44099 1649255  6402  3398 105184 16294 11099 33856 15307 110641
SRM_1831_300s_20x20det_2_10_16 13861 14369 19888 1658089 43961 1646950  6122  3610 105793 16424 11017 34664 15023 111434
SRM_1831_300s_20x20det_2_10_17 13669 14190 19714 1652867 44293 1646413  6289  3250 104165 17019 12496 35399 15404 111028
SRM_1831_300s_20x20det_2_10_18 13497 14400 19526 1655787 44217 1648104  6578  3303 105105 17168 11177 34530 15978 111296
SRM_1831_300s_20x20det_2_10_19 13560 14183 19713 1654776 43781 1648892  6631  4316 105975 17490 11863 34363 15688 111499
SRM_1831_300s_20x20det_2_10_2  13546 14565 19771 1658578 44076 1649556  6617  4065 105616 17057 11307 33578 15809 111178
SRM_1831_300s_20x20det_2_10_3  13651 14080 19775 1658559 44551 1645462  6444  3018 105480 16077 11915 34816 15728 110973
SRM_1831_300s_20x20det_2_10_4  13561 14138 19933 1657113 43948 1647707  6518  4393 105701 16482 11604 34353 15408 111146
SRM_1831_300s_20x20det_2_10_5  13764 14124 19756 1656454 44007 1647920  6714  3620 105462 17018 11858 33869 15290 110142
SRM_1831_300s_20x20det_2_10_6  13485 13901 19724 1656083 44002 1645527  6446  3363 105069 16228 11176 34330 15401 110500
SRM_1831_300s_20x20det_2_10_7  13586 14087 19733 1657731 43983 1648676  5936  3588 104824 16986 11344 34580 16096 110300
SRM_1831_300s_20x20det_2_10_8  13785 14311 20066 1655113 44077 1648941  6611  3903 104454 16443 12140 34812 15817 111158
SRM_1831_300s_20x20det_2_10_9   8424  8957 12310 1033635 27532 1028355  4093  2324  65282 10446  8312 22135 10938  69321
SRM_1831_300s_20x20det_2_11_0  13657 14069 20080 1651897 44117 1643719  6391  3223 104544 17330 12033 34374 15342 112047
SRM_1831_300s_20x20det_2_11_1  13811 14314 19718 1654551 44033 1646389  6213  3490 104867 16856 11681 34391 15738 111327
SRM_1831_300s_20x20det_2_11_10 13608 14330 19725 1658512 43621 1648945  6582  3445 104612 17365 11569 35197 16089 110818
SRM_1831_300s_20x20det_2_11_11 13702 14185 19829 1658504 44277 1650162  6770  3378 104962 16395 12306 34342 15644 110513
SRM_1831_300s_20x20det_2_11_12 13585 14327 19679 1658469 44271 1649071  6842  3869 105511 17068 11661 33901 14753 110255
SRM_1831_300s_20x20det_2_11_13 13761 14151 19707 1655671 43780 1649310  6884  3536 105907 16553 11862 34630 15669 110545
SRM_1831_300s_20x20det_2_11_14 13444 13988 19956 1656583 43868 1650768  6584  3948 105797 16750 12032 34315 15604 110615
SRM_1831_300s_20x20det_2_11_15 13644 14245 19744 1658541 44517 1650514  6276  3499 104746 16887 11276 33865 14347 111471
SRM_1831_300s_20x20det_2_11_16  6199  6515  9231  774923 20318  772102  3149  2253  50109  8188  5705 16650  7951  52621
SRM_1831_300s_20x20det_2_11_17 13555 14103 19471 1650417 43840 1648608  6017  3929 105572 16812 12287 34091 15187 110132
SRM_1831_300s_20x20det_2_11_18 13536 14344 19673 1657604 43994 1646671  6248  3914 105649 17069 11570 34399 15179 110465
SRM_1831_300s_20x20det_2_11_19 13634 14092 19843 1653485 44398 1648825  6382  3584 104569 16991 11621 34706 16273 110973
SRM_1831_300s_20x20det_2_11_2  13617 14086 19900 1655176 44149 1647871  6237  3961 106102 16933 12324 35450 16527 111096
SRM_1831_300s_20x20det_2_11_3   4536  4812  6657  551185 14692  548257  2398  1660  35506  6430  4272 11824  5335  37097
SRM_1831_300s_20x20det_2_11_4  13890 14186 19929 1654343 44196 1648725  6537  3924 105238 16932 11673 34482 15282 110399
SRM_1831_300s_20x20det_2_11_5  13808 14276 19828 1658134 44423 1650217  6452  3813 105255 16461 11678 34717 16749 110858
SRM_1831_300s_20x20det_2_11_6  13883 14150 19737 1655420 44236 1647119  6657  3562 104866 16676 12073 34482 15385 111067
SRM_1831_300s_20x20det_2_11_7  13508 14331 19707 1658888 43825 1647012  6256  4015 105066 17406 12163 34753 15983 110493
SRM_1831_300s_20x20det_2_11_8  13461 13898 19638 1654847 43720 1647829  6696  3313 104988 16620 11393 34470 15932 110372
SRM_1831_300s_20x20det_2_11_9   8227  8491 11845  994219 26587  989558  4118  2221  63336 10318  7246 21111  9458  66637
SRM_1831_300s_20x20det_2_12_0  13750 14443 19679 1657270 43819 1647470  6568  3667 104913 16340 11593 33697 15258 111776
SRM_1831_300s_20x20det_2_12_1   5741  6140  8253  695509 18716  692360  2855  2253  44129  7300  5304 14824  7401  47018
SRM_1831_300s_20x20det_2_12_10 13537 14224 19586 1659860 44017 1650133  6706  3701 105272 16646 11744 34469 15201 110828
SRM_1831_300s_20x20det_2_12_11 13929 14294 19423 1653787 44083 1647908  6237  3327 105255 17313 11506 34773 15603 109687
SRM_1831_300s_20x20det_2_12_12 13440 14271 19624 1652426 44120 1644934  6444  3592 105219 16144 12088 34689 16135 110511
SRM_1831_300s_20x20det_2_12_13 13394 14200 19789 1657214 43933 1649643  6444  3248 103979 16586 11285 34919 15236 111226
SRM_1831_300s_20x20det_2_12_14 13770 14287 19928 1657460 44365 1649018  6268  3624 104442 16566 11670 34996 16029 109990
SRM_1831_300s_20x20det_2_12_15 13512 14230 19871 1653135 43147 1647723  6499  3681 105168 16844 11848 34280 15243 110396
SRM_1831_300s_20x20det_2_12_16 13538 14135 19489 1653678 43975 1648255  6393  3832 105175 16618 11004 34024 14812 110988
SRM_1831_300s_20x20det_2_12_17 13526 14023 19808 1656099 44030 1647069  6406  3783 105749 17005 12023 34479 15468 110619
SRM_1831_300s_20x20det_2_12_18 13765 14295 19221 1655365 44247 1648825  6470  3635 105346 17548 12440 34432 15692 110685
SRM_1831_300s_20x20det_2_12_19 10263 10573 14550 1234265 32975 1227935  4886  2768  78819 12279  8641 25574 12749  82255
SRM_1831_300s_20x20det_2_12_2  13284 14361 19922 1657091 44139 1649583  6420  3078 105024 16838 11309 34232 15712 111070
