ROI net sum

Spectrum               Na    Mg    Al      Si      K      Ca    Ti    Mn     Fe    Zn    Rb     Sr    Zr     Rh
---------------------------------------------------------------------------------------------------------------
002                 50771 51169 66215 5362229 143275 5324972 19988  9884 337823 52023 23808 103797 46482 464162
003                 51008 51728 66814 5395637 143095 5346503 20428 10861 340836 51630 25072 103382 45014 462556
004                 51561 52145 67056 5397657 144678 5365423 20246 10331 341801 50604 24589 106074 45378 468502
005                 51209 52239 67131 5417574 143227 5373633 20793 10160 342397 51005 23655 105938 49148 472094
006                 50420 52207 67270 5424972 143097 5382567 20834 10234 341866 52512 26042 105577 47781 465118
007                 50876 52349 66770 5420791 143585 5378713 19785 10763 343092 52827 25044 105537 47768 463938
008                 50460 52004 67076 5416170 144368 5380430 20106 10387 342015 53009 25070 104349 46859 461548
009                 50032 51320 66695 5412538 143615 5376099 19488 10371 342173 52524 25410 107608 48900 457999
010                 50328 51118 66326 5406279 143262 5368053 19704  9731 341731 52548 25839 105292 45144 454954
011                 50074 51415 66381 5404367 143701 5372559 21311 11272 342572 53700 26259 106158 46497 456911
012                 50149 51242 66600 5398805 143716 5362875 20089  9607 339934 53371 26692 105326 48514 456924
013                 49414 51168 66343 5395025 143746 5361202 20374  9724 339870 53184 26478 104414 48331 455005
014                 49333 50446 66329 5383815 142649 5354426 20412  9668 342334 54207 27393 104912 48807 450929
015                 49644 50912 66078 5386468 144037 5358878 20150  9793 339865 53131 26975 105823 48687 452360
016                 49622 51337 66793 5387819 143378 5356914 20178 10085 341025 54336 26307 104815 46001 452047
017                 49641 50935 66060 5379695 143567 5359614 20265  9700 340161 54229 26873 106356 47935 451549
018                 49225 50710 65825 5374253 143424 5355049 20052 12219 340847 54421 26947 104856 46993 449291
019                 49562 50416 65648 5371213 144017 5348659 19935 10890 341974 53774 28441 105276 46542 448879
020                 49147 50597 65826 5374638 143296 5354664 21212  9891 340714 53595 28156 105478 48815 446490
021                 49287 50909 65622 5363479 144270 5348751 20426  9841 340460 54550 28239 106821 47478 443467
022                 48944 50220 64886 5365284 143164 5344474 20445  9538 341536 53301 28249 104372 48042 444258
023                 46859 48765 65457 5440584 145075 5407954 19936 10068 343349 54366 34564 113085 49297 412670
024                 46389 48551 65454 5436375 145214 5403982 20269 10702 344721 54000 34523 111228 45822 392437
025                 46050 48332 65267 5438252 144917 5395810 20491 11059 344106 54506 35500 110714 48425 387533
026                 46046 48357 64127 5434564 144344 5395982 20249 11125 344933 53719 36589 112114 48928 388958
027                 46009 47706 64691 5419246 144822 5385653 20478  9551 340621 54684 33909 111077 47425 386416
028                 45798 47515 64584 5397110 143693 5364158 20756  9524 339789 53085 35790 111409 48167 386497
029                 45821 48043 65169 5417880 143541 5380283 19909  9581 340684 54961 36140 111879 45423 385378
030                 45818 48125 64452 5428645 144674 5391113 20266 10253 343702 54624 34753 112406 48543 387845
031                 46505 48255 64755 5425420 144224 5392062 20194  9639 341961 54417 35518 111623 47678 387825
032                 45775 47508 64562 5419787 144280 5392342 20595  9848 341574 53637 36961 112989 48928 385475
033                 46099 47870 64575 5418373 144266 5382254 20444 10393 341433 53967 36251 112537 47435 384638
034                 45637 47332 64474 5411412 144039 5381564 20525 10994 343722 54412 35427 110643 49016 384323
035                 46105 47844 64532 5401724 144220 5373311 19844 11112 342604 53999 36316 111793 47687 384241
036                 46238 47747 64301 5405007 143886 5376371 19837 10574 342283 55416 36287 110530 47827 384789
037                 45309 47717 64187 5403042 143415 5377369 20412 11285 342217 53297 35888 111333 48486 385527
038                 45626 47607 64312 5390830 143563 5360902 20085 10735 340447 53248 35716 111105 47271 383504
039                 45618 47260 64208 5387228 144779 5373084 20665 12103 343625 54049 35552 109755 46771 383541
040                 45903 47825 63993 5398543 143589 5374923 20115 10391 343941 54445 35204 113718 47889 383587
041                 45617 47590 63999 5394449 144168 5376781 20636 10218 341082 54271 35829 110448 48386 383645
042                 45990 47496 63839 5379892 144118 5353754 21011  9602 341481 54628 35373 111906 47413 382094
043                 46042 47814 64129 5388187 144119 5366029 20599  9993 340890 53948 37074 110547 46885 384610
044                 46425 48074 64975 5432050 145307 5411914 20613  9798 344896 54951 35238 114307 49658 404328
045                 45309 47828 65373 5449854 145714 5413908 20295 10570 343114 55004 36118 113074 46386 379349
046                 45392 47134 64439 5416565 145337 5410152 20495 10547 345089 54380 35829 114278 49865 375827
047                 45364 47521 64338 5437169 144340 5403652 21148 11937 345501 53371 36086 113287 47893 374301
048                 45875 47612 64785 5436376 144503 5401103 20164 10355 343276 52826 35872 112446 46573 373107
049                 44997 47432 65072 5436640 144601 5404527 20337 10147 342784 54104 35400 111942 47303 372964
050                 45220 47547 64443 5427453 144704 5403936 19958  9248 341043 53623 35822 111703 47003 372926
051                 45396 47024 63722 5420624 144277 5398436 19965  9752 342115 53495 37364 112396 46500 373274
052                 45500 47161 64294 5416662 144250 5384676 20966  9709 340816 53656 36828 114189 49386 370112
053                 45340 47067 63965 5419394 143885 5392397 20248  9922 341621 53578 35708 112727 47692 373871
054                 45304 47176 63861 5416151 144453 5387289 20134  9933 342349 54204 35885 112714 46867 371995
055                 44833 46648 64453 5400241 143435 5375035 20479 10379 342992 54283 36380 110883 46881 369760
056                 45163 46965 63263 5401476 145196 5377868 20505 10548 342446 55243 35006 112056 46161 370723
057                 45033 47245 63677 5407758 144164 5381391 20514 10526 342231 53113 35897 111949 47138 370999
058                 45095 46823 63751 5397973 144394 5379905 20266 10210 343298 53456 36370 112073 47042 370712
059                 44938 46908 63098 5388456 143415 5367596 20869  9773 341094 53559 36165 111950 46690 370000
060                 45628 46970 63532 5393383 144830 5375646 19668  9709 341719 54038 37259 112504 47760 369396
061                 45445 47063 64267 5398047 143632 5379027 20417 10694 342325 53258 36007 111202 47854 370765
062                 44805 46980 64195 5396329 143853 5373070 20278 10149 341321 53702 37919 112694 48296 370111
063                 45044 47081 63369 5385865 143885 5371368 19960  9928 340635 53575 36364 111141 46437 371061
064                 45244 47078 63875 5377519 144069 5362001 20595  9788 340597 54423 36271 113060 48231 374940
065                 46081 48591 64796 5433731 145677 5407948 20399 10051 343209 53213 35443 113108 48723 399552
066                 45550 47327 63956 5429319 145499 5402738 20390 11367 342791 52151 35899 112524 49198 376353
067                 45231 47675 64344 5434047 144512 5407346 20255  9898 343416 55596 35598 113241 47387 369566
068                 44756 46897 64227 5433439 144618 5402105 20578 10140 343181 53437 35903 111898 47561 369529
069                 44939 47415 64181 5429757 144549 5400714 20888 11043 344674 53149 34743 112107 49277 370634
070                 44582 47237 63955 5416616 144463 5396061 20476 10168 342263 54205 35589 111883 46896 369233
071                 44858 47035 63802 5417447 144514 5392853 20718 10808 343190 52548 37692 113778 47629 367347
072                 44764 46996 64373 5416570 143892 5385424 21286 10115 342968 54010 35554 111670 47580 368181
073                 45159 46730 64192 5420807 144122 5399151 20363  9516 342649 52375 35467 112748 46714 368844
074                 45124 47196 64084 5415052 144321 5401016 20187  9989 342153 54726 37311 113765 47929 369044
075                 44528 46429 63954 5419039 143471 5394758 20361  9961 342305 54726 37099 112731 47477 368346
076                 44849 46670 63840 5405810 143685 5378203 19993 11317 342969 53746 36748 112831 48138 365353
077                 45386 46896 63654 5405540 144878 5383152 20213 12220 342535 54339 35861 112277 47196 366539
078                 45058 46659 63558 5404032 144031 5380498 20867 10623 342109 54742 37375 111971 47854 368196
079                 45310 46856 63395 5400846 144324 5377484 20607 10246 341864 53730 36756 112292 47213 366420
080                 44951 46649 63673 5394907 143460 5376369 20504 10922 342843 53848 37588 110940 46818 367468
081                 44997 46704 63709 5391437 143945 5372635 20932  9826 340849 54037 37836 112733 49169 365374
082                 44445 46969 64028 5394400 143606 5372830 20287 10798 342938 54620 36033 111524 47108 367029
083                 44481 46318 63189 5355893 144074 5350425 20652 10524 340478 53893 35399 112842 46937 364462
084                 44989 46846 63310 5384437 143709 5357442 20289 10029 339950 55074 36324 111684 47215 365083
085                 44882 46809 63939 5383256 143599 5365857 20126  9629 341640 53828 36419 111916 47080 372121
086                 45922 47814 64425 5422012 145601 5402575 21212  9652 343864 53532 35562 114712 50147 398096
087                 45270 47322 64192 5432020 145257 5406296 21325 10070 343989 54880 36018 113118 48003 374950
088                 44978 47152 63927 5426944 145229 5404928 20313 10135 343341 53313 36653 113721 46956 367954
089                 44148 47058 64169 5427792 144506 5400197 20276  9660 343248 54901 36187 114563 48963 367663
090                 44919 46767 63777 5412566 144615 5390743 20089 10463 343135 53526 36532 113380 49339 367800
091                 44901 46820 64250 5416872 144273 5391985 20248 10343 342647 54120 37234 112608 48387 367132
092                 44963 46922 64423 5425918 144040 5397236 20916 11666 344991 53181 35545 112541 48212 367843
093                 44994 47151 63683 5403551 143233 5380023 19993 10192 340912 53300 36512 114009 48570 365508
094                 44945 46517 64087 5415825 144879 5387557 20377 10065 342112 53605 37019 114387 48124 367839
095                 44806 46637 63861 5406598 144553 5386428 20498 10292 343170 53855 36599 113226 47861 366597
096                 44788 46593 63773 5405918 143977 5387570 20322  9942 341565 54537 36857 113833 47912 367696
097                 44738 46718 63849 5405307 143875 5387991 19947  9625 342109 54936 36871 112897 46768 366466
098                 44919 47034 63673 5404728 144753 5378185 19798 10142 341512 54310 37255 113380 47052 365387
099                 44348 46878 63716 5402826 144303 5377425 20153  9166 341123 53900 36664 111204 47320 364761
100                 44414 46877 63926 5396907 143889 5378071 20796 10849 341263 52932 36201 112875 47207 365729
101                 44881 46550 63724 5393293 144644 5376211 20086 10518 341676 55099 35847 112697 47596 366747
102                 44887 46473 63241 5391115 144040 5369898 20174 10416 340438 54190 35781 112322 48983 364197
103                 44693 46586 63662 5384672 143720 5369229 19903 10291 340658 54503 36394 112184 48817 366065
104                 45078 46787 63203 5388412 144366 5369004 20441 10461 341976 53789 35732 111618 47242 366681
105                 44592 46279 63743 5380496 143336 5362292 20606  9683 339225 54509 36235 112006 46688 366101
106                 44787 47014 63797 5373990 142865 5358610 20004 10504 340448 53726 36014 110737 45068 372036
107                 46095 48062 64778 5432911 145568 5407073 20364 10284 344421 53440 35341 113140 47625 396180
108                 45491 47196 64547 5438410 145766 5411445 20838 10449 344611 53861 37129 112762 48234 376796
109                 44798 46974 64340 5434839 145495 5410019 20454 10683 344727 53638 35510 112705 47137 371175
110                 44904 47070 64297 5438928 145252 5413418 19974 10100 342604 52817 37202 114072 47111 368104
111                 44948 46820 63808 5431033 144344 5406159 20332 11531 346562 54856 36720 112974 47393 369746
112                 44778 46913 63776 5430572 144649 5403007 20489 10813 343982 54045 36472 113441 47952 367712
113                 45445 47055 64750 5426779 144362 5400043 20671 10373 342994 54136 36138 112805 49068 367659
114                 44953 47036 63634 5424293 144636 5399619 20359 10046 343374 54302 35142 113181 46926 367844
115                 45222 46861 64072 5417551 144473 5394863 20680 10189 343331 54070 36408 113144 46949 367201
116                 44617 46708 63614 5411993 144182 5393967 20560 11271 342006 53003 36730 112920 48797 367146
117                 44922 46557 63485 5405974 143887 5390773 20300 10169 343240 53924 36209 111466 46533 365502
118                 45325 46814 64206 5412129 144526 5390600 20255 11267 343604 54134 36807 113894 48365 366461
119                 45016 47027 64119 5408488 144581 5385609 20496 10991 341450 53849 37473 113108 47866 366117
120                 45100 46756 63692 5399949 143631 5381426 20151 10234 341847 54030 35422 112970 48098 365594
121                 45278 46719 63691 5396340 143599 5376651 20104 10754 342467 53739 36812 113474 48216 366505
122                 45222 46837 63832 5393683 144109 5375489 19813  9391 341262 53399 35956 111068 46469 365488
123                 44578 46817 64016 5389795 143326 5373519 20324  9987 341819 53988 37491 111775 47858 365433
124                 44803 46842 63533 5390009 144178 5373212 20207  9846 341937 54098 37284 113426 49999 367118
125                 44730 47036 63908 5382474 143777 5372034 20585 10406 341247 53344 36230 113611 48939 366046
126                 44973 46977 63518 5388360 143521 5374541 20183 10285 341818 54225 37476 112492 48080 365215
127                 44824 47285 63919 5384421 144100 5369281 20404 10429 340300 54283 36485 111808 48859 372464
128                 46036 47592 64678 5422527 145424 5395633 20901 10558 343530 52710 35717 113837 49011 394354
129                 45040 47375 63925 5419486 144720 5401509 21154 10216 342965 53336 35891 113960 48251 372781
130                 44704 47258 64417 5422677 145529 5393920 19650  9017 342115 54364 36109 113148 47415 369933
131                 45184 46932 64098 5425663 144909 5396179 20055 10692 344149 54197 36228 113859 47384 367657
132                 44875 46936 63692 5422887 144505 5395690 19817  9477 342225 53332 36368 113975 47015 367399
133                 45155 47317 64257 5420479 144919 5397690 20112  9875 343142 53380 36166 112391 47065 366684
134                 45017 46208 63406 5413614 143979 5396228 20201  9614 342650 53769 36927 112500 48192 367148
135                 44766 46806 63341 5406942 144984 5388389 19965  9762 342108 53364 35668 112648 47283 368193
136                 44737 46907 63606 5403779 144266 5381249 20415 11132 342747 53708 37292 112094 47569 366085
137                 44382 46984 64457 5405865 143707 5385130 20566 10408 342087 54056 36948 111500 48074 365211
138                 44482 46441 63591 5391991 144232 5370729 20966 13045 343647 54546 36249 111795 47523 365141
139                 44668 46403 63491 5398116 143706 5380314 19725 10349 340608 54100 35951 112266 47185 365948
140                 44539 46368 63650 5395228 144078 5376203 20374 10436 342551 54933 36508 112779 47707 364635
141                 45040 46909 64001 5390882 144129 5369712 20310 10708 341611 52856 36326 112227 47480 365968
142                 44989 46269 63488 5391994 144280 5373125 20107 10256 341598 53910 37326 110714 45874 364398
143                 44476 46860 63463 5399450 142664 5370200 20025 10842 340887 53550 35582 112196 47902 364977
144                 44893 46614 63375 5390904 144066 5372026 19892  9763 340630 53880 36760 113440 46864 364344
145                 44716 46551 63236 5381239 143577 5368608 20308 10401 341786 55268 37206 112137 47988 364736
146                 44511 46773 63619 5382708 143570 5360136 20170 10547 342294 54026 36404 113371 47514 364488
147                 44348 46828 63496 5379547 143548 5359167 20718 10368 342357 54025 36962 112089 47734 367081
148                 45054 47394 63373 5371645 143861 5357911 20219 10161 340575 53756 36798 111193 48174 371254
149                 45980 47961 64850 5428155 145284 5398838 20226 10263 342551 54529 35731 112769 48198 392900
150                 45593 47381 63989 5433178 144033 5400744 20895  9848 343202 53712 35875 113331 48144 373357
151                 44642 47631 63803 5428900 144790 5398011 21112 10030 342939 54099 35524 112627 48334 369086
152                 44751 46995 63809 5422831 144150 5396056 20454 10166 343269 53672 37058 113724 47673 367702
153                 44776 46617 63967 5421159 145015 5391689 20900 11072 343149 53613 35915 112839 47544 368069
154                 45101 47149 63962 5421707 144729 5394675 20626  9906 343719 53303 36317 113757 47608 369098
155                 45261 46970 63406 5425239 144840 5402167 19984  9218 342524 53116 35364 112232 48197 367133
156                 44890 46730 63541 5426224 144759 5398353 20510 10900 342185 54402 36312 111712 48372 367653
157                 44965 46145 63746 5410940 143992 5387291 20236 10320 343589 53213 36140 112568 48090 366968
158                 44875 46788 63410 5407092 143547 5383059 19873 10973 342769 53765 35992 112446 45544 365317
